Name,New Name,Type
COMM-OK,COMM-OK,VAR_EXTERNAL
LOCK-SW-DI,LOCK-SW-DI,VAR_EXTERNAL
PB-FAIL,PB-FAIL,VAR_EXTERNAL
TBKWM-PB-DI,TBKWM-PB-DI,VAR_EXTERNAL
TKGWM-PB-DI,TKGWM-PB-DI,VAR_EXTERNAL
VDR-DI,VDR-DI,VAR_EXTERNAL
W11A/21A_10,W11A/21A_10,nFC51 SW CTRL
W11A/21A_11,W11A/21A_11,nFC51 SW CTRL
W11A/21A_12,W11A/21A_12,nFC51 SW CTRL
W11A/21A_13,W11A/21A_13,nFC51 SW CTRL
W11A/21A_14,W11A/21A_14,nFC51 SW CTRL
W11A/21A_15,W11A/21A_15,nFC51 SW CTRL
W11A/21A_16,W11A/21A_16,nFC51 SW CTRL
W11A/21A_17,W11A/21A_17,nFC51 SW CTRL
W11A/21A_18,W11A/21A_18,nFC51 SW CTRL
W11A/21A_19,W11A/21A_19,nFC51 SW CTRL
Wxx-B-CTRL_1,Wxx-B-CTRL_1,VAR_EXTERNAL
Wxx-B-CTRL_2,Wxx-B-CTRL_2,VAR_EXTERNAL
Wxx-B-CTRL_3,Wxx-B-CTRL_3,VAR_EXTERNAL
Wxx-B-CTRL_4,Wxx-B-CTRL_4,VAR_EXTERNAL
Wxx-B-CTRL_5,Wxx-B-CTRL_5,VAR_EXTERNAL
Wxx-B-CTRL_6,Wxx-B-CTRL_6,VAR_EXTERNAL
Wxx-B-CTRL_7,Wxx-B-CTRL_7,VAR_EXTERNAL
Wxx-B-CTRL_8,Wxx-B-CTRL_8,VAR_EXTERNAL
Wxx-B-CTRL_9,Wxx-B-CTRL_9,VAR_EXTERNAL
Wxx-B-CTRL_10,Wxx-B-CTRL_10,VAR_EXTERNAL
Wxx-PB-DI_1,Wxx-PB-DI_1,VAR_EXTERNAL
Wxx-PB-DI_2,Wxx-PB-DI_2,VAR_EXTERNAL
Wxx-PB-DI_3,Wxx-PB-DI_3,VAR_EXTERNAL
Wxx-PB-DI_4,Wxx-PB-DI_4,VAR_EXTERNAL
Wxx-PB-DI_5,Wxx-PB-DI_5,VAR_EXTERNAL
Wxx-PB-DI_6,Wxx-PB-DI_6,VAR_EXTERNAL
Wxx-PB-DI_7,Wxx-PB-DI_7,VAR_EXTERNAL
Wxx-PB-DI_8,Wxx-PB-DI_8,VAR_EXTERNAL
Wxx-PB-DI_9,Wxx-PB-DI_9,VAR_EXTERNAL
Wxx-PB-DI_10,Wxx-PB-DI_10,VAR_EXTERNAL
Wxx-RST-CTRL_1,Wxx-RST-CTRL_1,VAR_EXTERNAL
Wxx-RST-CTRL_2,Wxx-RST-CTRL_2,VAR_EXTERNAL
Wxx-RST-CTRL_3,Wxx-RST-CTRL_3,VAR_EXTERNAL
Wxx-RST-CTRL_4,Wxx-RST-CTRL_4,VAR_EXTERNAL
Wxx-RST-CTRL_5,Wxx-RST-CTRL_5,VAR_EXTERNAL
Wxx-RST-CTRL_6,Wxx-RST-CTRL_6,VAR_EXTERNAL
Wxx-RST-CTRL_7,Wxx-RST-CTRL_7,VAR_EXTERNAL
Wxx-RST-CTRL_8,Wxx-RST-CTRL_8,VAR_EXTERNAL
Wxx-RST-CTRL_9,Wxx-RST-CTRL_9,VAR_EXTERNAL
Wxx-RST-CTRL_10,Wxx-RST-CTRL_10,VAR_EXTERNAL
