Name,New Name,Type
COMM-OK,COMM-OK,VAR_EXTERNAL
LOCK-SW-DI,LOCK-SW-DI,VAR_EXTERNAL
PB-FAIL,PB-FAIL,VAR_EXTERNAL
TBKW-PB-DI,TBKW-PB-DI,VAR_EXTERNAL
TBW-PB-DI,TBW-PB-DI,VAR_EXTERNAL
TKGW-PB-DI,TKGW-PB-DI,VAR_EXTERNAL
TKW-PB-DI,TKW-PB-DI,VAR_EXTERNAL
TWT-PB-DI,TWT-PB-DI,VAR_EXTERNAL
VDR-DI,VDR-DI,VAR_EXTERNAL
W11A/21A,W11A/21A,nFC51 SW CTRL
W11A/21A_1,W11A/21A_1,nFC51 SW CTRL
W11A/21A_2,W11A/21A_2,nFC51 SW CTRL
W11A/21A_3,W11A/21A_3,nFC51 SW CTRL
W11A/21A_4,W11A/21A_4,nFC51 SW CTRL
W11A/21A_5,W11A/21A_5,nFC51 SW CTRL
W11A/21A_6,W11A/21A_6,nFC51 SW CTRL
W11A/21A_7,W11A/21A_7,nFC51 SW CTRL
W11A/21A_8,W11A/21A_8,nFC51 SW CTRL
W11A/21A_9,W11A/21A_9,nFC51 SW CTRL
Wxx-B-CTRL_1,Wxx-B-CTRL_1,VAR_EXTERNAL
Wxx-B-CTRL_2,Wxx-B-CTRL_2,VAR_EXTERNAL
Wxx-B-CTRL_3,Wxx-B-CTRL_3,VAR_EXTERNAL
Wxx-B-CTRL_4,Wxx-B-CTRL_4,VAR_EXTERNAL
Wxx-B-CTRL_5,Wxx-B-CTRL_5,VAR_EXTERNAL
Wxx-B-CTRL_6,Wxx-B-CTRL_6,VAR_EXTERNAL
Wxx-B-CTRL_7,Wxx-B-CTRL_7,VAR_EXTERNAL
Wxx-B-CTRL_8,Wxx-B-CTRL_8,VAR_EXTERNAL
Wxx-B-CTRL_9,Wxx-B-CTRL_9,VAR_EXTERNAL
Wxx-B-CTRL_10,Wxx-B-CTRL_10,VAR_EXTERNAL
Wxx-CAL-CTRL_1,Wxx-CAL-CTRL_1,VAR_EXTERNAL
Wxx-CAL-CTRL_2,Wxx-CAL-CTRL_2,VAR_EXTERNAL
Wxx-CAL-CTRL_3,Wxx-CAL-CTRL_3,VAR_EXTERNAL
Wxx-CAL-CTRL_4,Wxx-CAL-CTRL_4,VAR_EXTERNAL
Wxx-CAL-CTRL_5,Wxx-CAL-CTRL_5,VAR_EXTERNAL
Wxx-CAL-CTRL_6,Wxx-CAL-CTRL_6,VAR_EXTERNAL
