Name,New Name,Type
COMM-OK,COMM-OK,VAR_EXTERNAL
LOCK-SW-DI,LOCK-SW-DI,VAR_EXTERNAL
PB CTRL 1_4,PB CTRL 1_4,nFC54 PB CTRL 1
PB CTRL 1_5,PB CTRL 1_5,nFC54 PB CTRL 1
PB CTRL 1_6,PB CTRL 1_6,nFC54 PB CTRL 1
PB CTRL 1_7,PB CTRL 1_7,nFC54 PB CTRL 1
PB CTRL 1_8,PB CTRL 1_8,nFC54 PB CTRL 1
PB CTRL 1_9,PB CTRL 1_9,nFC54 PB CTRL 1
PB CTRL 1_10,PB CTRL 1_10,nFC54 PB CTRL 1
PB CTRL 1_11,PB CTRL 1_11,nFC54 PB CTRL 1
PB CTRL 1_12,PB CTRL 1_12,nFC54 PB CTRL 1
PB CTRL 1_13,PB CTRL 1_13,nFC54 PB CTRL 1
PB-FAIL,PB-FAIL,VAR_EXTERNAL
VDR-DI,VDR-DI,VAR_EXTERNAL
xx-CTRL_1-1,xx-CTRL_1-1,VAR_EXTERNAL
xx-CTRL_1-2,xx-CTRL_1-2,VAR_EXTERNAL
xx-CTRL_1-3,xx-CTRL_1-3,VAR_EXTERNAL
xx-CTRL_1-4,xx-CTRL_1-4,VAR_EXTERNAL
xx-CTRL_1-5,xx-CTRL_1-5,VAR_EXTERNAL
xx-CTRL_1-6,xx-CTRL_1-6,VAR_EXTERNAL
xx-CTRL_1-7,xx-CTRL_1-7,VAR_EXTERNAL
xx-CTRL_1-8,xx-CTRL_1-8,VAR_EXTERNAL
xx-CTRL_1-9,xx-CTRL_1-9,VAR_EXTERNAL
xx-CTRL_1-10,xx-CTRL_1-10,VAR_EXTERNAL
xx-CTRL_2-1,xx-CTRL_2-1,VAR_EXTERNAL
xx-CTRL_2-2,xx-CTRL_2-2,VAR_EXTERNAL
xx-CTRL_2-3,xx-CTRL_2-3,VAR_EXTERNAL
xx-CTRL_2-4,xx-CTRL_2-4,VAR_EXTERNAL
xx-CTRL_2-5,xx-CTRL_2-5,VAR_EXTERNAL
xx-CTRL_2-6,xx-CTRL_2-6,VAR_EXTERNAL
xx-CTRL_2-7,xx-CTRL_2-7,VAR_EXTERNAL
xx-CTRL_2-8,xx-CTRL_2-8,VAR_EXTERNAL
xx-CTRL_2-9,xx-CTRL_2-9,VAR_EXTERNAL
xx-CTRL_2-10,xx-CTRL_2-10,VAR_EXTERNAL
xx-CTRL_3-1,xx-CTRL_3-1,VAR_EXTERNAL
xx-CTRL_3-2,xx-CTRL_3-2,VAR_EXTERNAL
