Name,New Name,Type
nSFC2_TPBP_7,nSFC2_TPBP_7,nSFC2_TPBP
nSFC2_TPBP_8,nSFC2_TPBP_8,nSFC2_TPBP
xx-TP_1,xx-TP_1,VAR_EXTERNAL
xx-TP_2,xx-TP_2,VAR_EXTERNAL
xx-TP_3,xx-TP_3,VAR_EXTERNAL
xx-TP_4,xx-TP_4,VAR_EXTERNAL
xx-TP_5,xx-TP_5,VAR_EXTERNAL
xx-TP_6,xx-TP_6,VAR_EXTERNAL
xx-TP_7,xx-TP_7,VAR_EXTERNAL
xx-TP_8,xx-TP_8,VAR_EXTERNAL
xx-TP_9,xx-TP_9,VAR_EXTERNAL
xx-TP_10,xx-TP_10,VAR_EXTERNAL
xx-TPBP_1,xx-TPBP_1,VAR_EXTERNAL
xx-TPBP_2,xx-TPBP_2,VAR_EXTERNAL
xx-TPBP_3,xx-TPBP_3,VAR_EXTERNAL
xx-TPBP_4,xx-TPBP_4,VAR_EXTERNAL
xx-TPBP_5,xx-TPBP_5,VAR_EXTERNAL
xx-TPBP_6,xx-TPBP_6,VAR_EXTERNAL
xx-TPBP_7,xx-TPBP_7,VAR_EXTERNAL
xx-TPBP_8,xx-TPBP_8,VAR_EXTERNAL
xx-TPBP_9,xx-TPBP_9,VAR_EXTERNAL
xx-TPBP_10,xx-TPBP_10,VAR_EXTERNAL
