Name,New Name,Type
J/JL/Lxx-CFEK/DKR_1,J/JL/Lxx-CFEK/DKR_1,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR_2,J/JL/Lxx-CFEK/DKR_2,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR_3,J/JL/Lxx-CFEK/DKR_3,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR_4,J/JL/Lxx-CFEK/DKR_4,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR_5,J/JL/Lxx-CFEK/DKR_5,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR_6,J/JL/Lxx-CFEK/DKR_6,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR_7,J/JL/Lxx-CFEK/DKR_7,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR_8,J/JL/Lxx-CFEK/DKR_8,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR_9,J/JL/Lxx-CFEK/DKR_9,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR_10,J/JL/Lxx-CFEK/DKR_10,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR-DI_1,J/JL/Lxx-CFEK/DKR-DI_1,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR-DI_2,J/JL/Lxx-CFEK/DKR-DI_2,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR-DI_3,J/JL/Lxx-CFEK/DKR-DI_3,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR-DI_4,J/JL/Lxx-CFEK/DKR-DI_4,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR-DI_5,J/JL/Lxx-CFEK/DKR-DI_5,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR-DI_6,J/JL/Lxx-CFEK/DKR-DI_6,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR-DI_7,J/JL/Lxx-CFEK/DKR-DI_7,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR-DI_8,J/JL/Lxx-CFEK/DKR-DI_8,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR-DI_9,J/JL/Lxx-CFEK/DKR-DI_9,VAR_EXTERNAL
J/JL/Lxx-CFEK/DKR-DI_10,J/JL/Lxx-CFEK/DKR-DI_10,VAR_EXTERNAL
vSFC2_DI_to_EKR6_8,vSFC2_DI_to_EKR6_8,vSFC2_DI_to_EKR6
vSFC2_DI_to_EKR6_9,vSFC2_DI_to_EKR6_9,vSFC2_DI_to_EKR6
