Name,New Name,Type
Axx-AA_1,Axx-AA_1,VAR_EXTERNAL
Axx-AA_2,Axx-AA_2,VAR_EXTERNAL
Axx-AA_3,Axx-AA_3,VAR_EXTERNAL
Axx-AA_4,Axx-AA_4,VAR_EXTERNAL
Axx-AA_5,Axx-AA_5,VAR_EXTERNAL
Axx-ATE_1,Axx-ATE_1,VAR_EXTERNAL
Axx-ATE_2,Axx-ATE_2,VAR_EXTERNAL
Axx-ATE_3,Axx-ATE_3,VAR_EXTERNAL
Axx-ATE_4,Axx-ATE_4,VAR_EXTERNAL
Axx-ATE_5,Axx-ATE_5,VAR_EXTERNAL
Axx-ATE-DO_1,Axx-ATE-DO_1,VAR_EXTERNAL
Axx-ATE-DO_2,Axx-ATE-DO_2,VAR_EXTERNAL
Axx-ATE-DO_3,Axx-ATE-DO_3,VAR_EXTERNAL
Axx-ATE-DO_4,Axx-ATE-DO_4,VAR_EXTERNAL
Axx-ATE-DO_5,Axx-ATE-DO_5,VAR_EXTERNAL
Axx-ATE-F_1,Axx-ATE-F_1,VAR_EXTERNAL
Axx-ATE-F_2,Axx-ATE-F_2,VAR_EXTERNAL
Axx-ATE-F_3,Axx-ATE-F_3,VAR_EXTERNAL
Axx-ATE-F_4,Axx-ATE-F_4,VAR_EXTERNAL
Axx-ATE-F_5,Axx-ATE-F_5,VAR_EXTERNAL
Axx-E/WFE-DO_1,Axx-E/WFE-DO_1,VAR_EXTERNAL
Axx-E/WFE-DO_2,Axx-E/WFE-DO_2,VAR_EXTERNAL
Axx-E/WFE-DO_3,Axx-E/WFE-DO_3,VAR_EXTERNAL
Axx-E/WFE-DO_4,Axx-E/WFE-DO_4,VAR_EXTERNAL
Axx-E/WFE-DO_5,Axx-E/WFE-DO_5,VAR_EXTERNAL
Axx-E/WFLE-DO_1,Axx-E/WFLE-DO_1,VAR_EXTERNAL
Axx-E/WFLE-DO_2,Axx-E/WFLE-DO_2,VAR_EXTERNAL
Axx-E/WFLE-DO_3,Axx-E/WFLE-DO_3,VAR_EXTERNAL
Axx-E/WFLE-DO_4,Axx-E/WFLE-DO_4,VAR_EXTERNAL
Axx-E/WFLE-DO_5,Axx-E/WFLE-DO_5,VAR_EXTERNAL
Axx-E/WS_1,Axx-E/WS_1,VAR_EXTERNAL
Axx-E/WS_2,Axx-E/WS_2,VAR_EXTERNAL
Axx-E/WS_3,Axx-E/WS_3,VAR_EXTERNAL
Axx-E/WS_4,Axx-E/WS_4,VAR_EXTERNAL
