Name,New Name,Type
AA-BZ-F,AA-BZ-F,VAR_EXTERNAL
Axx-AA_1,Axx-AA_1,VAR_EXTERNAL
Axx-AA_2,Axx-AA_2,VAR_EXTERNAL
Axx-AA_3,Axx-AA_3,VAR_EXTERNAL
Axx-AA_4,Axx-AA_4,VAR_EXTERNAL
Axx-AA_5,Axx-AA_5,VAR_EXTERNAL
Axx-AA_6,Axx-AA_6,VAR_EXTERNAL
Axx-AA_7,Axx-AA_7,VAR_EXTERNAL
Axx-AA_8,Axx-AA_8,VAR_EXTERNAL
Axx-BZ-TE_1,Axx-BZ-TE_1,VAR_EXTERNAL
Axx-BZ-TE_2,Axx-BZ-TE_2,VAR_EXTERNAL
Axx-BZ-TE_3,Axx-BZ-TE_3,VAR_EXTERNAL
Axx-BZ-TE_4,Axx-BZ-TE_4,VAR_EXTERNAL
Axx-BZ-TE_5,Axx-BZ-TE_5,VAR_EXTERNAL
Axx-BZ-TE_6,Axx-BZ-TE_6,VAR_EXTERNAL
Axx-BZ-TE_7,Axx-BZ-TE_7,VAR_EXTERNAL
Axx-BZ-TE_8,Axx-BZ-TE_8,VAR_EXTERNAL
BLK APP ALARM,BLK APP ALARM,nFC71 BLK APP ALARM
