Name,New Name,Type
A134-CF,A134-CF,nFC94 TBMS
A134-CF_1,A134-CF_1,nFC94 TBMS
A134-CF_2,A134-CF_2,nFC94 TBMS
A134-CF_3,A134-CF_3,nFC94 TBMS
A134-CF_4,A134-CF_4,nFC94 TBMS
Axx-E/WS_1,Axx-E/WS_1,VAR_EXTERNAL
Axx-E/WS_2,Axx-E/WS_2,VAR_EXTERNAL
Axx-E/WS_3,Axx-E/WS_3,VAR_EXTERNAL
Axx-E/WS_4,Axx-E/WS_4,VAR_EXTERNAL
Axx-E/WS_5,Axx-E/WS_5,VAR_EXTERNAL
Axx-TBMS_1,Axx-TBMS_1,VAR_EXTERNAL
Axx-TBMS_2,Axx-TBMS_2,VAR_EXTERNAL
Axx-TBMS_3,Axx-TBMS_3,VAR_EXTERNAL
Axx-TBMS_4,Axx-TBMS_4,VAR_EXTERNAL
Axx-TBMS_5,Axx-TBMS_5,VAR_EXTERNAL
Axx-TBMS-CTRL_1,Axx-TBMS-CTRL_1,VAR_EXTERNAL
Axx-TBMS-CTRL_2,Axx-TBMS-CTRL_2,VAR_EXTERNAL
Axx-TBMS-CTRL_3,Axx-TBMS-CTRL_3,VAR_EXTERNAL
Axx-TBMS-CTRL_4,Axx-TBMS-CTRL_4,VAR_EXTERNAL
Axx-TBMS-CTRL_5,Axx-TBMS-CTRL_5,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-1,J/JL/Lxx-E-AS_1-1,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-2,J/JL/Lxx-E-AS_1-2,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-3,J/JL/Lxx-E-AS_1-3,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-4,J/JL/Lxx-E-AS_1-4,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-5,J/JL/Lxx-E-AS_1-5,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-6,J/JL/Lxx-E-AS_1-6,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-7,J/JL/Lxx-E-AS_1-7,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-8,J/JL/Lxx-E-AS_1-8,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-9,J/JL/Lxx-E-AS_1-9,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-10,J/JL/Lxx-E-AS_1-10,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-11,J/JL/Lxx-E-AS_1-11,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-12,J/JL/Lxx-E-AS_1-12,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-13,J/JL/Lxx-E-AS_1-13,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-14,J/JL/Lxx-E-AS_1-14,VAR_EXTERNAL
J/JL/Lxx-E-AS_1-15,J/JL/Lxx-E-AS_1-15,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-1,J/JL/Lxx-E-AS_2-1,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-2,J/JL/Lxx-E-AS_2-2,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-3,J/JL/Lxx-E-AS_2-3,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-4,J/JL/Lxx-E-AS_2-4,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-5,J/JL/Lxx-E-AS_2-5,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-6,J/JL/Lxx-E-AS_2-6,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-7,J/JL/Lxx-E-AS_2-7,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-8,J/JL/Lxx-E-AS_2-8,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-9,J/JL/Lxx-E-AS_2-9,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-10,J/JL/Lxx-E-AS_2-10,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-11,J/JL/Lxx-E-AS_2-11,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-12,J/JL/Lxx-E-AS_2-12,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-13,J/JL/Lxx-E-AS_2-13,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-14,J/JL/Lxx-E-AS_2-14,VAR_EXTERNAL
J/JL/Lxx-E-AS_2-15,J/JL/Lxx-E-AS_2-15,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-1,J/JL/Lxx-E-AS_3-1,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-2,J/JL/Lxx-E-AS_3-2,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-3,J/JL/Lxx-E-AS_3-3,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-4,J/JL/Lxx-E-AS_3-4,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-5,J/JL/Lxx-E-AS_3-5,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-6,J/JL/Lxx-E-AS_3-6,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-7,J/JL/Lxx-E-AS_3-7,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-8,J/JL/Lxx-E-AS_3-8,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-9,J/JL/Lxx-E-AS_3-9,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-10,J/JL/Lxx-E-AS_3-10,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-11,J/JL/Lxx-E-AS_3-11,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-12,J/JL/Lxx-E-AS_3-12,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-13,J/JL/Lxx-E-AS_3-13,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-14,J/JL/Lxx-E-AS_3-14,VAR_EXTERNAL
J/JL/Lxx-E-AS_3-15,J/JL/Lxx-E-AS_3-15,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-1,J/JL/Lxx-E-AS_4-1,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-2,J/JL/Lxx-E-AS_4-2,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-3,J/JL/Lxx-E-AS_4-3,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-4,J/JL/Lxx-E-AS_4-4,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-5,J/JL/Lxx-E-AS_4-5,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-6,J/JL/Lxx-E-AS_4-6,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-7,J/JL/Lxx-E-AS_4-7,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-8,J/JL/Lxx-E-AS_4-8,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-9,J/JL/Lxx-E-AS_4-9,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-10,J/JL/Lxx-E-AS_4-10,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-11,J/JL/Lxx-E-AS_4-11,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-12,J/JL/Lxx-E-AS_4-12,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-13,J/JL/Lxx-E-AS_4-13,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-14,J/JL/Lxx-E-AS_4-14,VAR_EXTERNAL
J/JL/Lxx-E-AS_4-15,J/JL/Lxx-E-AS_4-15,VAR_EXTERNAL
