Name,New Name,Type
FLASH,FLASH,VAR_EXTERNAL
FLASH-500MS,FLASH-500MS,VAR_EXTERNAL
Jxx,Jxx,nFC64 PB IND(J)
Jxx_1,Jxx_1,nFC64 PB IND(J)
Jxx_2,Jxx_2,nFC64 PB IND(J)
Jxx_3,Jxx_3,nFC64 PB IND(J)
Jxx_4,Jxx_4,nFC64 PB IND(J)
Jxx-E-AS_1,Jxx-E-AS_1,VAR_EXTERNAL
Jxx-E-AS_2,Jxx-E-AS_2,VAR_EXTERNAL
Jxx-E-AS_3,Jxx-E-AS_3,VAR_EXTERNAL
Jxx-E-AS_4,Jxx-E-AS_4,VAR_EXTERNAL
Jxx-E-AS_5,Jxx-E-AS_5,VAR_EXTERNAL
Jxx-ER-DO_1,Jxx-ER-DO_1,VAR_EXTERNAL
Jxx-ER-DO_2,Jxx-ER-DO_2,VAR_EXTERNAL
Jxx-ER-DO_3,Jxx-ER-DO_3,VAR_EXTERNAL
Jxx-ER-DO_4,Jxx-ER-DO_4,VAR_EXTERNAL
Jxx-ER-DO_5,Jxx-ER-DO_5,VAR_EXTERNAL
Jxx-ER-RD_1,Jxx-ER-RD_1,VAR_EXTERNAL
Jxx-ER-RD_2,Jxx-ER-RD_2,VAR_EXTERNAL
Jxx-ER-RD_3,Jxx-ER-RD_3,VAR_EXTERNAL
Jxx-ER-RD_4,Jxx-ER-RD_4,VAR_EXTERNAL
Jxx-ER-RD_5,Jxx-ER-RD_5,VAR_EXTERNAL
Jxx-HR-DO_1,Jxx-HR-DO_1,VAR_EXTERNAL
Jxx-HR-DO_2,Jxx-HR-DO_2,VAR_EXTERNAL
Jxx-HR-DO_3,Jxx-HR-DO_3,VAR_EXTERNAL
Jxx-HR-DO_4,Jxx-HR-DO_4,VAR_EXTERNAL
Jxx-HR-DO_5,Jxx-HR-DO_5,VAR_EXTERNAL
Jxx-HR-RD_1,Jxx-HR-RD_1,VAR_EXTERNAL
Jxx-HR-RD_2,Jxx-HR-RD_2,VAR_EXTERNAL
Jxx-HR-RD_3,Jxx-HR-RD_3,VAR_EXTERNAL
Jxx-HR-RD_4,Jxx-HR-RD_4,VAR_EXTERNAL
Jxx-HR-RD_5,Jxx-HR-RD_5,VAR_EXTERNAL
Jxx-PBE_1,Jxx-PBE_1,VAR_EXTERNAL
Jxx-PBE_2,Jxx-PBE_2,VAR_EXTERNAL
Jxx-PBE_3,Jxx-PBE_3,VAR_EXTERNAL
Jxx-PBE_4,Jxx-PBE_4,VAR_EXTERNAL
Jxx-PBE_5,Jxx-PBE_5,VAR_EXTERNAL
Jxx-PBE-DO_1,Jxx-PBE-DO_1,VAR_EXTERNAL
Jxx-PBE-DO_2,Jxx-PBE-DO_2,VAR_EXTERNAL
Jxx-PBE-DO_3,Jxx-PBE-DO_3,VAR_EXTERNAL
Jxx-PBE-DO_4,Jxx-PBE-DO_4,VAR_EXTERNAL
Jxx-PBE-DO_5,Jxx-PBE-DO_5,VAR_EXTERNAL
Jxx-PBE-F_1,Jxx-PBE-F_1,VAR_EXTERNAL
Jxx-PBE-F_2,Jxx-PBE-F_2,VAR_EXTERNAL
Jxx-PBE-F_3,Jxx-PBE-F_3,VAR_EXTERNAL
Jxx-PBE-F_4,Jxx-PBE-F_4,VAR_EXTERNAL
Jxx-PBE-F_5,Jxx-PBE-F_5,VAR_EXTERNAL
Jxx-RRLS_1,Jxx-RRLS_1,VAR_EXTERNAL
Jxx-RRLS_2,Jxx-RRLS_2,VAR_EXTERNAL
Jxx-RRLS_3,Jxx-RRLS_3,VAR_EXTERNAL
Jxx-RRLS_4,Jxx-RRLS_4,VAR_EXTERNAL
Jxx-RRLS_5,Jxx-RRLS_5,VAR_EXTERNAL
Jxx-RST-CTRL_1,Jxx-RST-CTRL_1,VAR_EXTERNAL
Jxx-RST-CTRL_2,Jxx-RST-CTRL_2,VAR_EXTERNAL
Jxx-RST-CTRL_3,Jxx-RST-CTRL_3,VAR_EXTERNAL
Jxx-RST-CTRL_4,Jxx-RST-CTRL_4,VAR_EXTERNAL
Jxx-RST-CTRL_5,Jxx-RST-CTRL_5,VAR_EXTERNAL
Jxx-T-AS_1,Jxx-T-AS_1,VAR_EXTERNAL
Jxx-T-AS_2,Jxx-T-AS_2,VAR_EXTERNAL
Jxx-T-AS_3,Jxx-T-AS_3,VAR_EXTERNAL
Jxx-T-AS_4,Jxx-T-AS_4,VAR_EXTERNAL
Jxx-T-AS_5,Jxx-T-AS_5,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-1,Jxx-xx-E-RST-TE_1-1,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-2,Jxx-xx-E-RST-TE_1-2,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-3,Jxx-xx-E-RST-TE_1-3,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-4,Jxx-xx-E-RST-TE_1-4,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-5,Jxx-xx-E-RST-TE_1-5,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-6,Jxx-xx-E-RST-TE_1-6,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-7,Jxx-xx-E-RST-TE_1-7,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-8,Jxx-xx-E-RST-TE_1-8,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-9,Jxx-xx-E-RST-TE_1-9,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-10,Jxx-xx-E-RST-TE_1-10,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-11,Jxx-xx-E-RST-TE_1-11,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-12,Jxx-xx-E-RST-TE_1-12,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-13,Jxx-xx-E-RST-TE_1-13,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-14,Jxx-xx-E-RST-TE_1-14,VAR_EXTERNAL
Jxx-xx-E-RST-TE_1-15,Jxx-xx-E-RST-TE_1-15,VAR_EXTERNAL
Jxx-xx-E-RST-TE_2-1,Jxx-xx-E-RST-TE_2-1,VAR_EXTERNAL
Jxx-xx-E-RST-TE_2-2,Jxx-xx-E-RST-TE_2-2,VAR_EXTERNAL
Jxx-xx-E-RST-TE_2-3,Jxx-xx-E-RST-TE_2-3,VAR_EXTERNAL
Jxx-xx-E-RST-TE_2-4,Jxx-xx-E-RST-TE_2-4,VAR_EXTERNAL
Jxx-xx-E-RST-TE_2-5,Jxx-xx-E-RST-TE_2-5,VAR_EXTERNAL
