Name,New Name,Type
FLASH,FLASH,VAR_EXTERNAL
LAMP-PB,LAMP-PB,VAR_EXTERNAL
LAMPTEST,LAMPTEST,VAR_EXTERNAL
Lxx_14,Lxx_14,nFC66 PB IND(L)
Lxx_24,Lxx_24,nFC66 PB IND(L)
Lxx_34,Lxx_34,nFC66 PB IND(L)
Lxx_44,Lxx_44,nFC66 PB IND(L)
Lxx_54,Lxx_54,nFC66 PB IND(L)
Lxx-GR-DO_1,Lxx-GR-DO_1,VAR_EXTERNAL
Lxx-GR-DO_2,Lxx-GR-DO_2,VAR_EXTERNAL
Lxx-GR-DO_3,Lxx-GR-DO_3,VAR_EXTERNAL
Lxx-GR-DO_4,Lxx-GR-DO_4,VAR_EXTERNAL
Lxx-GR-DO_5,Lxx-GR-DO_5,VAR_EXTERNAL
Lxx-GR-RD_1,Lxx-GR-RD_1,VAR_EXTERNAL
Lxx-GR-RD_2,Lxx-GR-RD_2,VAR_EXTERNAL
Lxx-GR-RD_3,Lxx-GR-RD_3,VAR_EXTERNAL
Lxx-GR-RD_4,Lxx-GR-RD_4,VAR_EXTERNAL
Lxx-GR-RD_5,Lxx-GR-RD_5,VAR_EXTERNAL
Lxx-PBE_1,Lxx-PBE_1,VAR_EXTERNAL
Lxx-PBE_2,Lxx-PBE_2,VAR_EXTERNAL
Lxx-PBE_3,Lxx-PBE_3,VAR_EXTERNAL
Lxx-PBE_4,Lxx-PBE_4,VAR_EXTERNAL
Lxx-PBE_5,Lxx-PBE_5,VAR_EXTERNAL
Lxx-PBE-DO_1,Lxx-PBE-DO_1,VAR_EXTERNAL
Lxx-PBE-DO_2,Lxx-PBE-DO_2,VAR_EXTERNAL
Lxx-PBE-DO_3,Lxx-PBE-DO_3,VAR_EXTERNAL
Lxx-PBE-DO_4,Lxx-PBE-DO_4,VAR_EXTERNAL
Lxx-PBE-DO_5,Lxx-PBE-DO_5,VAR_EXTERNAL
Lxx-PBE-F_1,Lxx-PBE-F_1,VAR_EXTERNAL
Lxx-PBE-F_2,Lxx-PBE-F_2,VAR_EXTERNAL
Lxx-PBE-F_3,Lxx-PBE-F_3,VAR_EXTERNAL
Lxx-PBE-F_4,Lxx-PBE-F_4,VAR_EXTERNAL
Lxx-PBE-F_5,Lxx-PBE-F_5,VAR_EXTERNAL
Lxx-RST-CTRL_1,Lxx-RST-CTRL_1,VAR_EXTERNAL
Lxx-RST-CTRL_2,Lxx-RST-CTRL_2,VAR_EXTERNAL
Lxx-RST-CTRL_3,Lxx-RST-CTRL_3,VAR_EXTERNAL
Lxx-RST-CTRL_4,Lxx-RST-CTRL_4,VAR_EXTERNAL
Lxx-RST-CTRL_5,Lxx-RST-CTRL_5,VAR_EXTERNAL
Lxx-S-AS_1,Lxx-S-AS_1,VAR_EXTERNAL
Lxx-S-AS_2,Lxx-S-AS_2,VAR_EXTERNAL
Lxx-S-AS_3,Lxx-S-AS_3,VAR_EXTERNAL
Lxx-S-AS_4,Lxx-S-AS_4,VAR_EXTERNAL
Lxx-S-AS_5,Lxx-S-AS_5,VAR_EXTERNAL
Lxx-xx-RS_1-1,Lxx-xx-RS_1-1,VAR_EXTERNAL
Lxx-xx-RS_1-2,Lxx-xx-RS_1-2,VAR_EXTERNAL
Lxx-xx-RS_1-3,Lxx-xx-RS_1-3,VAR_EXTERNAL
Lxx-xx-RS_1-4,Lxx-xx-RS_1-4,VAR_EXTERNAL
Lxx-xx-RS_1-5,Lxx-xx-RS_1-5,VAR_EXTERNAL
