Name,New Name,Type
AA-CTRL,AA-CTRL,VAR_EXTERNAL
CFEK-JL22B_17,CFEK-JL22B_17,nFC95 S FAIL(Tipe 4)
CFEK-JL22B_27,CFEK-JL22B_27,nFC95 S FAIL(Tipe 4)
CFEK-JL22B_37,CFEK-JL22B_37,nFC95 S FAIL(Tipe 4)
CFEK-JL22B_47,CFEK-JL22B_47,nFC95 S FAIL(Tipe 4)
CFEK-JL22B_57,CFEK-JL22B_57,nFC95 S FAIL(Tipe 4)
CFEK-JL22B_67,CFEK-JL22B_67,nFC95 S FAIL(Tipe 4)
CFEK-JL22B_77,CFEK-JL22B_77,nFC95 S FAIL(Tipe 4)
CFEK-JL22B_87,CFEK-JL22B_87,nFC95 S FAIL(Tipe 4)
CFEK-JL22B_97,CFEK-JL22B_97,nFC95 S FAIL(Tipe 4)
CFEK-JL22B_107,CFEK-JL22B_107,nFC95 S FAIL(Tipe 4)
DKR-J10_13,DKR-J10_13,nFC95 S FAIL(Tipe 4)
DKR-J10_14,DKR-J10_14,nFC95 S FAIL(Tipe 4)
DKR-J10_23,DKR-J10_23,nFC95 S FAIL(Tipe 4)
DKR-J10_24,DKR-J10_24,nFC95 S FAIL(Tipe 4)
DKR-J10_33,DKR-J10_33,nFC95 S FAIL(Tipe 4)
DKR-J10_34,DKR-J10_34,nFC95 S FAIL(Tipe 4)
DKR-J10_43,DKR-J10_43,nFC95 S FAIL(Tipe 4)
DKR-J10_44,DKR-J10_44,nFC95 S FAIL(Tipe 4)
DKR-J10_53,DKR-J10_53,nFC95 S FAIL(Tipe 4)
DKR-J10_54,DKR-J10_54,nFC95 S FAIL(Tipe 4)
DKR-J10_63,DKR-J10_63,nFC95 S FAIL(Tipe 4)
DKR-J10_64,DKR-J10_64,nFC95 S FAIL(Tipe 4)
DKR-J10_73,DKR-J10_73,nFC95 S FAIL(Tipe 4)
DKR-J10_74,DKR-J10_74,nFC95 S FAIL(Tipe 4)
DKR-J10_83,DKR-J10_83,nFC95 S FAIL(Tipe 4)
DKR-J10_84,DKR-J10_84,nFC95 S FAIL(Tipe 4)
DKR-J10_93,DKR-J10_93,nFC95 S FAIL(Tipe 4)
DKR-J10_94,DKR-J10_94,nFC95 S FAIL(Tipe 4)
DKR-J10_103,DKR-J10_103,nFC95 S FAIL(Tipe 4)
DKR-J10_104,DKR-J10_104,nFC95 S FAIL(Tipe 4)
