Name,New Name,Type
AA-CTRL,AA-CTRL,VAR_EXTERNAL
Jxx_6,Jxx_6,nFC68 S FAIL(Tipe 1)
Jxx_7,Jxx_7,nFC68 S FAIL(Tipe 1)
Jxx_8,Jxx_8,nFC68 S FAIL(Tipe 1)
Jxx_9,Jxx_9,nFC68 S FAIL(Tipe 1)
Jxx_10,Jxx_10,nFC68 S FAIL(Tipe 1)
Jxx-ECR_1,Jxx-ECR_1,VAR_EXTERNAL
Jxx-ECR_2,Jxx-ECR_2,VAR_EXTERNAL
Jxx-ECR_3,Jxx-ECR_3,VAR_EXTERNAL
Jxx-ECR_4,Jxx-ECR_4,VAR_EXTERNAL
Jxx-ECR_5,Jxx-ECR_5,VAR_EXTERNAL
Jxx-ECRF_1,Jxx-ECRF_1,VAR_EXTERNAL
Jxx-ECRF_2,Jxx-ECRF_2,VAR_EXTERNAL
Jxx-ECRF_3,Jxx-ECRF_3,VAR_EXTERNAL
Jxx-ECRF_4,Jxx-ECRF_4,VAR_EXTERNAL
Jxx-ECRF_5,Jxx-ECRF_5,VAR_EXTERNAL
Jxx-EKR_1,Jxx-EKR_1,VAR_EXTERNAL
Jxx-EKR_2,Jxx-EKR_2,VAR_EXTERNAL
Jxx-EKR_3,Jxx-EKR_3,VAR_EXTERNAL
Jxx-EKR_4,Jxx-EKR_4,VAR_EXTERNAL
Jxx-EKR_5,Jxx-EKR_5,VAR_EXTERNAL
Jxx-EKR-A_1,Jxx-EKR-A_1,VAR_EXTERNAL
Jxx-EKR-A_2,Jxx-EKR-A_2,VAR_EXTERNAL
Jxx-EKR-A_3,Jxx-EKR-A_3,VAR_EXTERNAL
Jxx-EKR-A_4,Jxx-EKR-A_4,VAR_EXTERNAL
Jxx-EKR-A_5,Jxx-EKR-A_5,VAR_EXTERNAL
Jxx-EK-TE_1,Jxx-EK-TE_1,VAR_EXTERNAL
Jxx-EK-TE_2,Jxx-EK-TE_2,VAR_EXTERNAL
Jxx-EK-TE_3,Jxx-EK-TE_3,VAR_EXTERNAL
Jxx-EK-TE_4,Jxx-EK-TE_4,VAR_EXTERNAL
Jxx-EK-TE_5,Jxx-EK-TE_5,VAR_EXTERNAL
Jxx-FAIL-A_1,Jxx-FAIL-A_1,VAR_EXTERNAL
Jxx-FAIL-A_2,Jxx-FAIL-A_2,VAR_EXTERNAL
Jxx-FAIL-A_3,Jxx-FAIL-A_3,VAR_EXTERNAL
Jxx-FAIL-A_4,Jxx-FAIL-A_4,VAR_EXTERNAL
