Name,New Name,Type
Jxx1-CF-FAIL-A_1,Jxx1-CF-FAIL-A_1,VAR_EXTERNAL
Jxx1-CF-FAIL-A_2,Jxx1-CF-FAIL-A_2,VAR_EXTERNAL
Jxx1-CF-FAIL-A_3,Jxx1-CF-FAIL-A_3,VAR_EXTERNAL
Jxx1-CF-FAIL-A_4,Jxx1-CF-FAIL-A_4,VAR_EXTERNAL
Jxx1-CF-FAIL-A_5,Jxx1-CF-FAIL-A_5,VAR_EXTERNAL
Jxx1-CF-FAIL-A_6,Jxx1-CF-FAIL-A_6,VAR_EXTERNAL
Jxx1-CF-FAIL-A_7,Jxx1-CF-FAIL-A_7,VAR_EXTERNAL
Jxx1-CF-FAIL-A_8,Jxx1-CF-FAIL-A_8,VAR_EXTERNAL
Jxx1-CF-FAIL-A_9,Jxx1-CF-FAIL-A_9,VAR_EXTERNAL
Jxx1-CF-FAIL-A_10,Jxx1-CF-FAIL-A_10,VAR_EXTERNAL
Jxx1-CF-TE_1,Jxx1-CF-TE_1,VAR_EXTERNAL
Jxx1-CF-TE_2,Jxx1-CF-TE_2,VAR_EXTERNAL
Jxx1-CF-TE_3,Jxx1-CF-TE_3,VAR_EXTERNAL
Jxx1-CF-TE_4,Jxx1-CF-TE_4,VAR_EXTERNAL
Jxx1-CF-TE_5,Jxx1-CF-TE_5,VAR_EXTERNAL
Jxx1-CF-TE_6,Jxx1-CF-TE_6,VAR_EXTERNAL
Jxx1-CF-TE_7,Jxx1-CF-TE_7,VAR_EXTERNAL
Jxx1-CF-TE_8,Jxx1-CF-TE_8,VAR_EXTERNAL
Jxx1-CF-TE_9,Jxx1-CF-TE_9,VAR_EXTERNAL
Jxx1-CF-TE_10,Jxx1-CF-TE_10,VAR_EXTERNAL
Jxx1-EKR-A_1,Jxx1-EKR-A_1,VAR_EXTERNAL
Jxx1-EKR-A_2,Jxx1-EKR-A_2,VAR_EXTERNAL
Jxx1-EKR-A_3,Jxx1-EKR-A_3,VAR_EXTERNAL
Jxx1-EKR-A_4,Jxx1-EKR-A_4,VAR_EXTERNAL
Jxx1-EKR-A_5,Jxx1-EKR-A_5,VAR_EXTERNAL
Jxx1-EKR-A_6,Jxx1-EKR-A_6,VAR_EXTERNAL
Jxx1-EKR-A_7,Jxx1-EKR-A_7,VAR_EXTERNAL
Jxx1-EKR-A_8,Jxx1-EKR-A_8,VAR_EXTERNAL
Jxx1-EKR-A_9,Jxx1-EKR-A_9,VAR_EXTERNAL
Jxx1-EKR-A_10,Jxx1-EKR-A_10,VAR_EXTERNAL
Jxx1-EK-TE_1,Jxx1-EK-TE_1,VAR_EXTERNAL
Jxx1-EK-TE_2,Jxx1-EK-TE_2,VAR_EXTERNAL
Jxx1-EK-TE_3,Jxx1-EK-TE_3,VAR_EXTERNAL
Jxx1-EK-TE_4,Jxx1-EK-TE_4,VAR_EXTERNAL
Jxx1-EK-TE_5,Jxx1-EK-TE_5,VAR_EXTERNAL
Jxx1-EK-TE_6,Jxx1-EK-TE_6,VAR_EXTERNAL
Jxx1-EK-TE_7,Jxx1-EK-TE_7,VAR_EXTERNAL
Jxx1-EK-TE_8,Jxx1-EK-TE_8,VAR_EXTERNAL
Jxx1-EK-TE_9,Jxx1-EK-TE_9,VAR_EXTERNAL
Jxx1-EK-TE_10,Jxx1-EK-TE_10,VAR_EXTERNAL
Jxx1-FAIL-A_1,Jxx1-FAIL-A_1,VAR_EXTERNAL
Jxx1-FAIL-A_2,Jxx1-FAIL-A_2,VAR_EXTERNAL
Jxx1-FAIL-A_3,Jxx1-FAIL-A_3,VAR_EXTERNAL
Jxx1-FAIL-A_4,Jxx1-FAIL-A_4,VAR_EXTERNAL
Jxx1-FAIL-A_5,Jxx1-FAIL-A_5,VAR_EXTERNAL
Jxx1-FAIL-A_6,Jxx1-FAIL-A_6,VAR_EXTERNAL
Jxx1-FAIL-A_7,Jxx1-FAIL-A_7,VAR_EXTERNAL
Jxx1-FAIL-A_8,Jxx1-FAIL-A_8,VAR_EXTERNAL
