Name,New Name,Type
AA-CTRL,AA-CTRL,VAR_EXTERNAL
Dxx-FAIL_1,Dxx-FAIL_1,VAR_EXTERNAL
Dxx-FAIL_2,Dxx-FAIL_2,VAR_EXTERNAL
Dxx-FAIL_3,Dxx-FAIL_3,VAR_EXTERNAL
Dxx-FAIL_4,Dxx-FAIL_4,VAR_EXTERNAL
Dxx-FAIL_5,Dxx-FAIL_5,VAR_EXTERNAL
Dxx-FAIL_6,Dxx-FAIL_6,VAR_EXTERNAL
Dxx-FAIL_7,Dxx-FAIL_7,VAR_EXTERNAL
Dxx-FAIL_8,Dxx-FAIL_8,VAR_EXTERNAL
Dxx-FAIL_9,Dxx-FAIL_9,VAR_EXTERNAL
Dxx-FAIL_10,Dxx-FAIL_10,VAR_EXTERNAL
Dxx-FAIL-A_1,Dxx-FAIL-A_1,VAR_EXTERNAL
Dxx-FAIL-A_2,Dxx-FAIL-A_2,VAR_EXTERNAL
Dxx-FAIL-A_3,Dxx-FAIL-A_3,VAR_EXTERNAL
Dxx-FAIL-A_4,Dxx-FAIL-A_4,VAR_EXTERNAL
Dxx-FAIL-A_5,Dxx-FAIL-A_5,VAR_EXTERNAL
Dxx-FAIL-A_6,Dxx-FAIL-A_6,VAR_EXTERNAL
Dxx-FAIL-A_7,Dxx-FAIL-A_7,VAR_EXTERNAL
Dxx-FAIL-A_8,Dxx-FAIL-A_8,VAR_EXTERNAL
Dxx-FAIL-A_9,Dxx-FAIL-A_9,VAR_EXTERNAL
Dxx-FAIL-A_10,Dxx-FAIL-A_10,VAR_EXTERNAL
Dxx-FAIL-ACK_1,Dxx-FAIL-ACK_1,VAR_EXTERNAL
Dxx-FAIL-ACK_2,Dxx-FAIL-ACK_2,VAR_EXTERNAL
Dxx-FAIL-ACK_3,Dxx-FAIL-ACK_3,VAR_EXTERNAL
Dxx-FAIL-ACK_4,Dxx-FAIL-ACK_4,VAR_EXTERNAL
Dxx-FAIL-ACK_5,Dxx-FAIL-ACK_5,VAR_EXTERNAL
Dxx-FAIL-ACK_6,Dxx-FAIL-ACK_6,VAR_EXTERNAL
Dxx-FAIL-ACK_7,Dxx-FAIL-ACK_7,VAR_EXTERNAL
Dxx-FAIL-ACK_8,Dxx-FAIL-ACK_8,VAR_EXTERNAL
Dxx-FAIL-ACK_9,Dxx-FAIL-ACK_9,VAR_EXTERNAL
Dxx-FAIL-ACK_10,Dxx-FAIL-ACK_10,VAR_EXTERNAL
Dxx-NP_1,Dxx-NP_1,VAR_EXTERNAL
Dxx-NP_2,Dxx-NP_2,VAR_EXTERNAL
Dxx-NP_3,Dxx-NP_3,VAR_EXTERNAL
Dxx-NP_4,Dxx-NP_4,VAR_EXTERNAL
Dxx-NP_5,Dxx-NP_5,VAR_EXTERNAL
Dxx-NP_6,Dxx-NP_6,VAR_EXTERNAL
Dxx-NP_7,Dxx-NP_7,VAR_EXTERNAL
Dxx-NP_8,Dxx-NP_8,VAR_EXTERNAL
Dxx-NP_9,Dxx-NP_9,VAR_EXTERNAL
Dxx-NP_10,Dxx-NP_10,VAR_EXTERNAL
Dxx-REL-REQ_1,Dxx-REL-REQ_1,VAR_EXTERNAL
Dxx-REL-REQ_2,Dxx-REL-REQ_2,VAR_EXTERNAL
Dxx-REL-REQ_3,Dxx-REL-REQ_3,VAR_EXTERNAL
Dxx-REL-REQ_4,Dxx-REL-REQ_4,VAR_EXTERNAL
Dxx-REL-REQ_5,Dxx-REL-REQ_5,VAR_EXTERNAL
Dxx-REL-REQ_6,Dxx-REL-REQ_6,VAR_EXTERNAL
Dxx-REL-REQ_7,Dxx-REL-REQ_7,VAR_EXTERNAL
Dxx-REL-REQ_8,Dxx-REL-REQ_8,VAR_EXTERNAL
Dxx-REL-REQ_9,Dxx-REL-REQ_9,VAR_EXTERNAL
Dxx-REL-REQ_10,Dxx-REL-REQ_10,VAR_EXTERNAL
Dxx-R-OK_1,Dxx-R-OK_1,VAR_EXTERNAL
Dxx-R-OK_2,Dxx-R-OK_2,VAR_EXTERNAL
Dxx-R-OK_3,Dxx-R-OK_3,VAR_EXTERNAL
Dxx-R-OK_4,Dxx-R-OK_4,VAR_EXTERNAL
Dxx-R-OK_5,Dxx-R-OK_5,VAR_EXTERNAL
Dxx-R-OK_6,Dxx-R-OK_6,VAR_EXTERNAL
Dxx-R-OK_7,Dxx-R-OK_7,VAR_EXTERNAL
Dxx-R-OK_8,Dxx-R-OK_8,VAR_EXTERNAL
Dxx-R-OK_9,Dxx-R-OK_9,VAR_EXTERNAL
Dxx-R-OK_10,Dxx-R-OK_10,VAR_EXTERNAL
Dxx-RP_1,Dxx-RP_1,VAR_EXTERNAL
Dxx-RP_2,Dxx-RP_2,VAR_EXTERNAL
Dxx-RP_3,Dxx-RP_3,VAR_EXTERNAL
Dxx-RP_4,Dxx-RP_4,VAR_EXTERNAL
Dxx-RP_5,Dxx-RP_5,VAR_EXTERNAL
Dxx-RP_6,Dxx-RP_6,VAR_EXTERNAL
Dxx-RP_7,Dxx-RP_7,VAR_EXTERNAL
Dxx-RP_8,Dxx-RP_8,VAR_EXTERNAL
Dxx-RP_9,Dxx-RP_9,VAR_EXTERNAL
Dxx-RP_10,Dxx-RP_10,VAR_EXTERNAL
nFC70 DERAILEUR FAIL,nFC70 DERAILEUR FAIL,nFC70 DERAILEUR FAIL
nFC70 DERAILEUR FAIL_1,nFC70 DERAILEUR FAIL_1,nFC70 DERAILEUR FAIL
nFC70 DERAILEUR FAIL_2,nFC70 DERAILEUR FAIL_2,nFC70 DERAILEUR FAIL
nFC70 DERAILEUR FAIL_3,nFC70 DERAILEUR FAIL_3,nFC70 DERAILEUR FAIL
nFC70 DERAILEUR FAIL_4,nFC70 DERAILEUR FAIL_4,nFC70 DERAILEUR FAIL
nFC70 DERAILEUR FAIL_5,nFC70 DERAILEUR FAIL_5,nFC70 DERAILEUR FAIL
nFC70 DERAILEUR FAIL_6,nFC70 DERAILEUR FAIL_6,nFC70 DERAILEUR FAIL
nFC70 DERAILEUR FAIL_7,nFC70 DERAILEUR FAIL_7,nFC70 DERAILEUR FAIL
nFC70 DERAILEUR FAIL_8,nFC70 DERAILEUR FAIL_8,nFC70 DERAILEUR FAIL
nFC70 DERAILEUR FAIL_9,nFC70 DERAILEUR FAIL_9,nFC70 DERAILEUR FAIL
