Name,New Name,Type
AA-CTRL,AA-CTRL,VAR_EXTERNAL
Wxx,Wxx,nFC70 SW FAIL
Wxx_1,Wxx_1,nFC70 SW FAIL
Wxx_2,Wxx_2,nFC70 SW FAIL
Wxx_3,Wxx_3,nFC70 SW FAIL
Wxx_4,Wxx_4,nFC70 SW FAIL
Wxx_5,Wxx_5,nFC70 SW FAIL
Wxx_6,Wxx_6,nFC70 SW FAIL
Wxx_7,Wxx_7,nFC70 SW FAIL
Wxx_8,Wxx_8,nFC70 SW FAIL
Wxx_9,Wxx_9,nFC70 SW FAIL
Wxx-BACK-TO-N_1,Wxx-BACK-TO-N_1,VAR_EXTERNAL
Wxx-BACK-TO-N_2,Wxx-BACK-TO-N_2,VAR_EXTERNAL
Wxx-BACK-TO-N_3,Wxx-BACK-TO-N_3,VAR_EXTERNAL
Wxx-BACK-TO-N_4,Wxx-BACK-TO-N_4,VAR_EXTERNAL
Wxx-BACK-TO-N_5,Wxx-BACK-TO-N_5,VAR_EXTERNAL
Wxx-BACK-TO-N_6,Wxx-BACK-TO-N_6,VAR_EXTERNAL
Wxx-BACK-TO-N_7,Wxx-BACK-TO-N_7,VAR_EXTERNAL
Wxx-BACK-TO-N_8,Wxx-BACK-TO-N_8,VAR_EXTERNAL
Wxx-BACK-TO-N_9,Wxx-BACK-TO-N_9,VAR_EXTERNAL
Wxx-BACK-TO-N_10,Wxx-BACK-TO-N_10,VAR_EXTERNAL
Wxx-BACK-TO-R_1,Wxx-BACK-TO-R_1,VAR_EXTERNAL
Wxx-BACK-TO-R_2,Wxx-BACK-TO-R_2,VAR_EXTERNAL
Wxx-BACK-TO-R_3,Wxx-BACK-TO-R_3,VAR_EXTERNAL
Wxx-BACK-TO-R_4,Wxx-BACK-TO-R_4,VAR_EXTERNAL
Wxx-BACK-TO-R_5,Wxx-BACK-TO-R_5,VAR_EXTERNAL
Wxx-BACK-TO-R_6,Wxx-BACK-TO-R_6,VAR_EXTERNAL
Wxx-BACK-TO-R_7,Wxx-BACK-TO-R_7,VAR_EXTERNAL
Wxx-BACK-TO-R_8,Wxx-BACK-TO-R_8,VAR_EXTERNAL
Wxx-BACK-TO-R_9,Wxx-BACK-TO-R_9,VAR_EXTERNAL
Wxx-BACK-TO-R_10,Wxx-BACK-TO-R_10,VAR_EXTERNAL
Wxx-BLOCK_1,Wxx-BLOCK_1,VAR_EXTERNAL
Wxx-BLOCK_2,Wxx-BLOCK_2,VAR_EXTERNAL
Wxx-BLOCK_3,Wxx-BLOCK_3,VAR_EXTERNAL
Wxx-BLOCK_4,Wxx-BLOCK_4,VAR_EXTERNAL
Wxx-BLOCK_5,Wxx-BLOCK_5,VAR_EXTERNAL
Wxx-BLOCK_6,Wxx-BLOCK_6,VAR_EXTERNAL
Wxx-BLOCK_7,Wxx-BLOCK_7,VAR_EXTERNAL
Wxx-BLOCK_8,Wxx-BLOCK_8,VAR_EXTERNAL
Wxx-BLOCK_9,Wxx-BLOCK_9,VAR_EXTERNAL
Wxx-BLOCK_10,Wxx-BLOCK_10,VAR_EXTERNAL
Wxx-LS_1,Wxx-LS_1,VAR_EXTERNAL
Wxx-LS_2,Wxx-LS_2,VAR_EXTERNAL
Wxx-LS_3,Wxx-LS_3,VAR_EXTERNAL
Wxx-LS_4,Wxx-LS_4,VAR_EXTERNAL
Wxx-LS_5,Wxx-LS_5,VAR_EXTERNAL
Wxx-LS_6,Wxx-LS_6,VAR_EXTERNAL
Wxx-LS_7,Wxx-LS_7,VAR_EXTERNAL
Wxx-LS_8,Wxx-LS_8,VAR_EXTERNAL
Wxx-LS_9,Wxx-LS_9,VAR_EXTERNAL
Wxx-LS_10,Wxx-LS_10,VAR_EXTERNAL
Wxx-N-BLOCK_1,Wxx-N-BLOCK_1,VAR_EXTERNAL
Wxx-N-BLOCK_2,Wxx-N-BLOCK_2,VAR_EXTERNAL
Wxx-N-BLOCK_3,Wxx-N-BLOCK_3,VAR_EXTERNAL
Wxx-N-BLOCK_4,Wxx-N-BLOCK_4,VAR_EXTERNAL
Wxx-N-BLOCK_5,Wxx-N-BLOCK_5,VAR_EXTERNAL
Wxx-N-BLOCK_6,Wxx-N-BLOCK_6,VAR_EXTERNAL
Wxx-N-BLOCK_7,Wxx-N-BLOCK_7,VAR_EXTERNAL
Wxx-N-BLOCK_8,Wxx-N-BLOCK_8,VAR_EXTERNAL
Wxx-N-BLOCK_9,Wxx-N-BLOCK_9,VAR_EXTERNAL
