Name,New Name,Type
J/JL/Lxx-ER-DO_1,J/JL/Lxx-ER-DO_1,VAR_EXTERNAL
J/JL/Lxx-ER-DO_2,J/JL/Lxx-ER-DO_2,VAR_EXTERNAL
J/JL/Lxx-ER-DO_3,J/JL/Lxx-ER-DO_3,VAR_EXTERNAL
J/JL/Lxx-ER-DO_4,J/JL/Lxx-ER-DO_4,VAR_EXTERNAL
J/JL/Lxx-ER-DO_5,J/JL/Lxx-ER-DO_5,VAR_EXTERNAL
J/JL/Lxx-ER-DO_6,J/JL/Lxx-ER-DO_6,VAR_EXTERNAL
J/JL/Lxx-ER-DO_7,J/JL/Lxx-ER-DO_7,VAR_EXTERNAL
J/JL/Lxx-ER-DO_8,J/JL/Lxx-ER-DO_8,VAR_EXTERNAL
J/JL/Lxx-ER-DO_9,J/JL/Lxx-ER-DO_9,VAR_EXTERNAL
J/JL/Lxx-ER-DO_10,J/JL/Lxx-ER-DO_10,VAR_EXTERNAL
J/JL/Lxx-GR-DO_1,J/JL/Lxx-GR-DO_1,VAR_EXTERNAL
J/JL/Lxx-GR-DO_2,J/JL/Lxx-GR-DO_2,VAR_EXTERNAL
J/JL/Lxx-GR-DO_3,J/JL/Lxx-GR-DO_3,VAR_EXTERNAL
J/JL/Lxx-GR-DO_4,J/JL/Lxx-GR-DO_4,VAR_EXTERNAL
J/JL/Lxx-GR-DO_5,J/JL/Lxx-GR-DO_5,VAR_EXTERNAL
J/JL/Lxx-GR-DO_6,J/JL/Lxx-GR-DO_6,VAR_EXTERNAL
J/JL/Lxx-GR-DO_7,J/JL/Lxx-GR-DO_7,VAR_EXTERNAL
J/JL/Lxx-GR-DO_8,J/JL/Lxx-GR-DO_8,VAR_EXTERNAL
J/JL/Lxx-GR-DO_9,J/JL/Lxx-GR-DO_9,VAR_EXTERNAL
J/JL/Lxx-GR-DO_10,J/JL/Lxx-GR-DO_10,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_1,J/JL/Lxx-HR/DR-DO_1,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_2,J/JL/Lxx-HR/DR-DO_2,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_3,J/JL/Lxx-HR/DR-DO_3,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_4,J/JL/Lxx-HR/DR-DO_4,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_5,J/JL/Lxx-HR/DR-DO_5,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_6,J/JL/Lxx-HR/DR-DO_6,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_7,J/JL/Lxx-HR/DR-DO_7,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_8,J/JL/Lxx-HR/DR-DO_8,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_9,J/JL/Lxx-HR/DR-DO_9,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_10,J/JL/Lxx-HR/DR-DO_10,VAR_EXTERNAL
J/JL/Lxx-RRLS_1,J/JL/Lxx-RRLS_1,VAR_EXTERNAL
J/JL/Lxx-RRLS_2,J/JL/Lxx-RRLS_2,VAR_EXTERNAL
J/JL/Lxx-RRLS_3,J/JL/Lxx-RRLS_3,VAR_EXTERNAL
J/JL/Lxx-RRLS_4,J/JL/Lxx-RRLS_4,VAR_EXTERNAL
J/JL/Lxx-RRLS_5,J/JL/Lxx-RRLS_5,VAR_EXTERNAL
J/JL/Lxx-RRLS_6,J/JL/Lxx-RRLS_6,VAR_EXTERNAL
J/JL/Lxx-RRLS_7,J/JL/Lxx-RRLS_7,VAR_EXTERNAL
J/JL/Lxx-RRLS_8,J/JL/Lxx-RRLS_8,VAR_EXTERNAL
J/JL/Lxx-RRLS_9,J/JL/Lxx-RRLS_9,VAR_EXTERNAL
J/JL/Lxx-RRLS_10,J/JL/Lxx-RRLS_10,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_1,J/JL/Lxx-RRLS-CT_1,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_2,J/JL/Lxx-RRLS-CT_2,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_3,J/JL/Lxx-RRLS-CT_3,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_4,J/JL/Lxx-RRLS-CT_4,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_5,J/JL/Lxx-RRLS-CT_5,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_6,J/JL/Lxx-RRLS-CT_6,VAR_EXTERNAL
