Name,New Name,Type
J/JL/Lxx-GR-DO_1,J/JL/Lxx-GR-DO_1,VAR_EXTERNAL
J/JL/Lxx-GR-DO_2,J/JL/Lxx-GR-DO_2,VAR_EXTERNAL
J/JL/Lxx-GR-DO_3,J/JL/Lxx-GR-DO_3,VAR_EXTERNAL
J/JL/Lxx-GR-DO_4,J/JL/Lxx-GR-DO_4,VAR_EXTERNAL
J/JL/Lxx-GR-DO_5,J/JL/Lxx-GR-DO_5,VAR_EXTERNAL
J/JL/Lxx-GR-DO_6,J/JL/Lxx-GR-DO_6,VAR_EXTERNAL
J/JL/Lxx-GR-DO_7,J/JL/Lxx-GR-DO_7,VAR_EXTERNAL
J/JL/Lxx-GR-DO_8,J/JL/Lxx-GR-DO_8,VAR_EXTERNAL
J/JL/Lxx-GR-DO_9,J/JL/Lxx-GR-DO_9,VAR_EXTERNAL
J/JL/Lxx-GR-DO_10,J/JL/Lxx-GR-DO_10,VAR_EXTERNAL
J/JL/Lxx-RRLS_1,J/JL/Lxx-RRLS_1,VAR_EXTERNAL
J/JL/Lxx-RRLS_2,J/JL/Lxx-RRLS_2,VAR_EXTERNAL
J/JL/Lxx-RRLS_3,J/JL/Lxx-RRLS_3,VAR_EXTERNAL
J/JL/Lxx-RRLS_4,J/JL/Lxx-RRLS_4,VAR_EXTERNAL
J/JL/Lxx-RRLS_5,J/JL/Lxx-RRLS_5,VAR_EXTERNAL
J/JL/Lxx-RRLS_6,J/JL/Lxx-RRLS_6,VAR_EXTERNAL
J/JL/Lxx-RRLS_7,J/JL/Lxx-RRLS_7,VAR_EXTERNAL
J/JL/Lxx-RRLS_8,J/JL/Lxx-RRLS_8,VAR_EXTERNAL
J/JL/Lxx-RRLS_9,J/JL/Lxx-RRLS_9,VAR_EXTERNAL
J/JL/Lxx-RRLS_10,J/JL/Lxx-RRLS_10,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_1,J/JL/Lxx-RRLS-CT_1,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_2,J/JL/Lxx-RRLS-CT_2,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_3,J/JL/Lxx-RRLS-CT_3,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_4,J/JL/Lxx-RRLS-CT_4,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_5,J/JL/Lxx-RRLS-CT_5,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_6,J/JL/Lxx-RRLS-CT_6,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_7,J/JL/Lxx-RRLS-CT_7,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_8,J/JL/Lxx-RRLS-CT_8,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_9,J/JL/Lxx-RRLS-CT_9,VAR_EXTERNAL
J/JL/Lxx-RRLS-CT_10,J/JL/Lxx-RRLS-CT_10,VAR_EXTERNAL
J/JL/Lxx-RST-CT_1,J/JL/Lxx-RST-CT_1,VAR_EXTERNAL
J/JL/Lxx-RST-CT_2,J/JL/Lxx-RST-CT_2,VAR_EXTERNAL
J/JL/Lxx-RST-CT_3,J/JL/Lxx-RST-CT_3,VAR_EXTERNAL
J/JL/Lxx-RST-CT_4,J/JL/Lxx-RST-CT_4,VAR_EXTERNAL
J/JL/Lxx-RST-CT_5,J/JL/Lxx-RST-CT_5,VAR_EXTERNAL
J/JL/Lxx-RST-CT_6,J/JL/Lxx-RST-CT_6,VAR_EXTERNAL
J/JL/Lxx-RST-CT_7,J/JL/Lxx-RST-CT_7,VAR_EXTERNAL
J/JL/Lxx-RST-CT_8,J/JL/Lxx-RST-CT_8,VAR_EXTERNAL
J/JL/Lxx-RST-CT_9,J/JL/Lxx-RST-CT_9,VAR_EXTERNAL
J/JL/Lxx-RST-CT_10,J/JL/Lxx-RST-CT_10,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_1,J/JL/Lxx-RST-CTRL_1,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_2,J/JL/Lxx-RST-CTRL_2,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_3,J/JL/Lxx-RST-CTRL_3,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_4,J/JL/Lxx-RST-CTRL_4,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_5,J/JL/Lxx-RST-CTRL_5,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_6,J/JL/Lxx-RST-CTRL_6,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_7,J/JL/Lxx-RST-CTRL_7,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_8,J/JL/Lxx-RST-CTRL_8,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_9,J/JL/Lxx-RST-CTRL_9,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_10,J/JL/Lxx-RST-CTRL_10,VAR_EXTERNAL
X20_1,X20_1,nFC75 SYS PPR L
X20_2,X20_2,nFC75 SYS PPR L
X20_3,X20_3,nFC75 SYS PPR L
X20_4,X20_4,nFC75 SYS PPR L
X20_5,X20_5,nFC75 SYS PPR L
X20_6,X20_6,nFC75 SYS PPR L
X20_7,X20_7,nFC75 SYS PPR L
X20_8,X20_8,nFC75 SYS PPR L
X20_9,X20_9,nFC75 SYS PPR L
X20_10,X20_10,nFC75 SYS PPR L
