Name,New Name,Type
AA-CTRL,AA-CTRL,VAR_EXTERNAL
FLASH,FLASH,VAR_EXTERNAL
INPUT1,INPUT1,VAR_EXTERNAL
INPUT2,INPUT2,VAR_EXTERNAL
INPUT3,INPUT3,VAR_EXTERNAL
INPUT4,INPUT4,VAR_EXTERNAL
INPUT5,INPUT5,VAR_EXTERNAL
INPUT6,INPUT6,VAR_EXTERNAL
INPUT7,INPUT7,VAR_EXTERNAL
INPUT8,INPUT8,VAR_EXTERNAL
INPUT9,INPUT9,VAR_EXTERNAL
INPUT10,INPUT10,VAR_EXTERNAL
INPUT11,INPUT11,VAR_EXTERNAL
INPUT12,INPUT12,VAR_EXTERNAL
INPUT13,INPUT13,VAR_EXTERNAL
INPUT14,INPUT14,VAR_EXTERNAL
INPUT15,INPUT15,VAR_EXTERNAL
INPUT16,INPUT16,VAR_EXTERNAL
INPUT17,INPUT17,VAR_EXTERNAL
INPUT18,INPUT18,VAR_EXTERNAL
INPUT19,INPUT19,VAR_EXTERNAL
INPUT20,INPUT20,VAR_EXTERNAL
INPUT21,INPUT21,VAR_EXTERNAL
INPUT22,INPUT22,VAR_EXTERNAL
INPUT23,INPUT23,VAR_EXTERNAL
INPUT24,INPUT24,VAR_EXTERNAL
INPUT25,INPUT25,VAR_EXTERNAL
INPUT26,INPUT26,VAR_EXTERNAL
INPUT27,INPUT27,VAR_EXTERNAL
INPUT28,INPUT28,VAR_EXTERNAL
INPUT29,INPUT29,VAR_EXTERNAL
INPUT30,INPUT30,VAR_EXTERNAL
INPUT31,INPUT31,VAR_EXTERNAL
INPUT32,INPUT32,VAR_EXTERNAL
INPUT33,INPUT33,VAR_EXTERNAL
INPUT34,INPUT34,VAR_EXTERNAL
INPUT35,INPUT35,VAR_EXTERNAL
INPUT36,INPUT36,VAR_EXTERNAL
INPUT37,INPUT37,VAR_EXTERNAL
INPUT38,INPUT38,VAR_EXTERNAL
INPUT39,INPUT39,VAR_EXTERNAL
INPUT40,INPUT40,VAR_EXTERNAL
INPUT41,INPUT41,VAR_EXTERNAL
INPUT42,INPUT42,VAR_EXTERNAL
INPUT43,INPUT43,VAR_EXTERNAL
INPUT44,INPUT44,VAR_EXTERNAL
INPUT45,INPUT45,VAR_EXTERNAL
INPUT46,INPUT46,VAR_EXTERNAL
INPUT47,INPUT47,VAR_EXTERNAL
INPUT48,INPUT48,VAR_EXTERNAL
INPUT49,INPUT49,VAR_EXTERNAL
INPUT50,INPUT50,VAR_EXTERNAL
INPUT51,INPUT51,VAR_EXTERNAL
INPUT52,INPUT52,VAR_EXTERNAL
INPUT53,INPUT53,VAR_EXTERNAL
INPUT54,INPUT54,VAR_EXTERNAL
INPUT55,INPUT55,VAR_EXTERNAL
INPUT56,INPUT56,VAR_EXTERNAL
INPUT57,INPUT57,VAR_EXTERNAL
INPUT58,INPUT58,VAR_EXTERNAL
INPUT59,INPUT59,VAR_EXTERNAL
INPUT60,INPUT60,VAR_EXTERNAL
INPUT61,INPUT61,VAR_EXTERNAL
INPUT62,INPUT62,VAR_EXTERNAL
INPUT63,INPUT63,VAR_EXTERNAL
INPUT64,INPUT64,VAR_EXTERNAL
INPUT65,INPUT65,VAR_EXTERNAL
INPUT66,INPUT66,VAR_EXTERNAL
INPUT67,INPUT67,VAR_EXTERNAL
INPUT68,INPUT68,VAR_EXTERNAL
INPUT69,INPUT69,VAR_EXTERNAL
INPUT70,INPUT70,VAR_EXTERNAL
INPUT71,INPUT71,VAR_EXTERNAL
INPUT72,INPUT72,VAR_EXTERNAL
INPUT73,INPUT73,VAR_EXTERNAL
INPUT74,INPUT74,VAR_EXTERNAL
INPUT75,INPUT75,VAR_EXTERNAL
INPUT76,INPUT76,VAR_EXTERNAL
INPUT77,INPUT77,VAR_EXTERNAL
INPUT78,INPUT78,VAR_EXTERNAL
INPUT79,INPUT79,VAR_EXTERNAL
INPUT80,INPUT80,VAR_EXTERNAL
INPUT81,INPUT81,VAR_EXTERNAL
INPUT82,INPUT82,VAR_EXTERNAL
INPUT83,INPUT83,VAR_EXTERNAL
INPUT84,INPUT84,VAR_EXTERNAL
INPUT85,INPUT85,VAR_EXTERNAL
INPUT86,INPUT86,VAR_EXTERNAL
INPUT87,INPUT87,VAR_EXTERNAL
INPUT88,INPUT88,VAR_EXTERNAL
INPUT89,INPUT89,VAR_EXTERNAL
INPUT90,INPUT90,VAR_EXTERNAL
INPUT91,INPUT91,VAR_EXTERNAL
INPUT92,INPUT92,VAR_EXTERNAL
INPUT93,INPUT93,VAR_EXTERNAL
INPUT94,INPUT94,VAR_EXTERNAL
INPUT95,INPUT95,VAR_EXTERNAL
INPUT96,INPUT96,VAR_EXTERNAL
INPUT97,INPUT97,VAR_EXTERNAL
INPUT98,INPUT98,VAR_EXTERNAL
INPUT99,INPUT99,VAR_EXTERNAL
INPUT100,INPUT100,VAR_EXTERNAL
INPUT101,INPUT101,VAR_EXTERNAL
INPUT102,INPUT102,VAR_EXTERNAL
INPUT103,INPUT103,VAR_EXTERNAL
INPUT104,INPUT104,VAR_EXTERNAL
INPUT105,INPUT105,VAR_EXTERNAL
INPUT106,INPUT106,VAR_EXTERNAL
INPUT107,INPUT107,VAR_EXTERNAL
INPUT108,INPUT108,VAR_EXTERNAL
INPUT109,INPUT109,VAR_EXTERNAL
INPUT110,INPUT110,VAR_EXTERNAL
INPUT111,INPUT111,VAR_EXTERNAL
INPUT112,INPUT112,VAR_EXTERNAL
INPUT113,INPUT113,VAR_EXTERNAL
INPUT114,INPUT114,VAR_EXTERNAL
INPUT115,INPUT115,VAR_EXTERNAL
INPUT116,INPUT116,VAR_EXTERNAL
INPUT117,INPUT117,VAR_EXTERNAL
INPUT118,INPUT118,VAR_EXTERNAL
INPUT119,INPUT119,VAR_EXTERNAL
INPUT120,INPUT120,VAR_EXTERNAL
INPUT121,INPUT121,VAR_EXTERNAL
INPUT122,INPUT122,VAR_EXTERNAL
INPUT123,INPUT123,VAR_EXTERNAL
INPUT124,INPUT124,VAR_EXTERNAL
INPUT125,INPUT125,VAR_EXTERNAL
INPUT126,INPUT126,VAR_EXTERNAL
INPUT127,INPUT127,VAR_EXTERNAL
INPUT128,INPUT128,VAR_EXTERNAL
INPUT129,INPUT129,VAR_EXTERNAL
INPUT130,INPUT130,VAR_EXTERNAL
INPUT131,INPUT131,VAR_EXTERNAL
INPUT132,INPUT132,VAR_EXTERNAL
INPUT133,INPUT133,VAR_EXTERNAL
INPUT134,INPUT134,VAR_EXTERNAL
INPUT135,INPUT135,VAR_EXTERNAL
INPUT136,INPUT136,VAR_EXTERNAL
INPUT137,INPUT137,VAR_EXTERNAL
INPUT138,INPUT138,VAR_EXTERNAL
INPUT139,INPUT139,VAR_EXTERNAL
INPUT140,INPUT140,VAR_EXTERNAL
INPUT141,INPUT141,VAR_EXTERNAL
INPUT142,INPUT142,VAR_EXTERNAL
INPUT143,INPUT143,VAR_EXTERNAL
INPUT144,INPUT144,VAR_EXTERNAL
INPUT145,INPUT145,VAR_EXTERNAL
INPUT146,INPUT146,VAR_EXTERNAL
INPUT147,INPUT147,VAR_EXTERNAL
INPUT148,INPUT148,VAR_EXTERNAL
INPUT149,INPUT149,VAR_EXTERNAL
INPUT150,INPUT150,VAR_EXTERNAL
INPUT151,INPUT151,VAR_EXTERNAL
INPUT152,INPUT152,VAR_EXTERNAL
INPUT153,INPUT153,VAR_EXTERNAL
INPUT154,INPUT154,VAR_EXTERNAL
INPUT155,INPUT155,VAR_EXTERNAL
INPUT156,INPUT156,VAR_EXTERNAL
INPUT157,INPUT157,VAR_EXTERNAL
INPUT158,INPUT158,VAR_EXTERNAL
INPUT159,INPUT159,VAR_EXTERNAL
INPUT160,INPUT160,VAR_EXTERNAL
INPUT161,INPUT161,VAR_EXTERNAL
INPUT162,INPUT162,VAR_EXTERNAL
INPUT163,INPUT163,VAR_EXTERNAL
INPUT164,INPUT164,VAR_EXTERNAL
INPUT165,INPUT165,VAR_EXTERNAL
INPUT166,INPUT166,VAR_EXTERNAL
INPUT167,INPUT167,VAR_EXTERNAL
INPUT168,INPUT168,VAR_EXTERNAL
INPUT169,INPUT169,VAR_EXTERNAL
INPUT170,INPUT170,VAR_EXTERNAL
INPUT171,INPUT171,VAR_EXTERNAL
INPUT172,INPUT172,VAR_EXTERNAL
INPUT173,INPUT173,VAR_EXTERNAL
INPUT174,INPUT174,VAR_EXTERNAL
INPUT175,INPUT175,VAR_EXTERNAL
INPUT176,INPUT176,VAR_EXTERNAL
INPUT177,INPUT177,VAR_EXTERNAL
INPUT178,INPUT178,VAR_EXTERNAL
INPUT179,INPUT179,VAR_EXTERNAL
INPUT180,INPUT180,VAR_EXTERNAL
INPUT181,INPUT181,VAR_EXTERNAL
INPUT182,INPUT182,VAR_EXTERNAL
INPUT183,INPUT183,VAR_EXTERNAL
INPUT184,INPUT184,VAR_EXTERNAL
INPUT185,INPUT185,VAR_EXTERNAL
INPUT186,INPUT186,VAR_EXTERNAL
INPUT187,INPUT187,VAR_EXTERNAL
INPUT188,INPUT188,VAR_EXTERNAL
