Name,New Name,Type
AA-CTRL,AA-CTRL,VAR_EXTERNAL
FLASH,FLASH,VAR_EXTERNAL
JPLxx-AA-F,JPLxx-AA-F,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-1,JPLxx-E/Wxx-ACCNV_1-1,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-2,JPLxx-E/Wxx-ACCNV_1-2,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-3,JPLxx-E/Wxx-ACCNV_1-3,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-4,JPLxx-E/Wxx-ACCNV_1-4,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-5,JPLxx-E/Wxx-ACCNV_1-5,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-6,JPLxx-E/Wxx-ACCNV_1-6,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-7,JPLxx-E/Wxx-ACCNV_1-7,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-8,JPLxx-E/Wxx-ACCNV_1-8,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-9,JPLxx-E/Wxx-ACCNV_1-9,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-10,JPLxx-E/Wxx-ACCNV_1-10,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-11,JPLxx-E/Wxx-ACCNV_1-11,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-12,JPLxx-E/Wxx-ACCNV_1-12,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-13,JPLxx-E/Wxx-ACCNV_1-13,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-14,JPLxx-E/Wxx-ACCNV_1-14,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-15,JPLxx-E/Wxx-ACCNV_1-15,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-16,JPLxx-E/Wxx-ACCNV_1-16,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-17,JPLxx-E/Wxx-ACCNV_1-17,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-18,JPLxx-E/Wxx-ACCNV_1-18,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-19,JPLxx-E/Wxx-ACCNV_1-19,VAR_EXTERNAL
JPLxx-E/Wxx-ACCNV_1-20,JPLxx-E/Wxx-ACCNV_1-20,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-1,JPLxx-E/Wxx-L_1-1,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-2,JPLxx-E/Wxx-L_1-2,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-3,JPLxx-E/Wxx-L_1-3,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-4,JPLxx-E/Wxx-L_1-4,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-5,JPLxx-E/Wxx-L_1-5,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-6,JPLxx-E/Wxx-L_1-6,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-7,JPLxx-E/Wxx-L_1-7,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-8,JPLxx-E/Wxx-L_1-8,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-9,JPLxx-E/Wxx-L_1-9,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-10,JPLxx-E/Wxx-L_1-10,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-11,JPLxx-E/Wxx-L_1-11,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-12,JPLxx-E/Wxx-L_1-12,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-13,JPLxx-E/Wxx-L_1-13,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-14,JPLxx-E/Wxx-L_1-14,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-15,JPLxx-E/Wxx-L_1-15,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-16,JPLxx-E/Wxx-L_1-16,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-17,JPLxx-E/Wxx-L_1-17,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-18,JPLxx-E/Wxx-L_1-18,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-19,JPLxx-E/Wxx-L_1-19,VAR_EXTERNAL
JPLxx-E/Wxx-L_1-20,JPLxx-E/Wxx-L_1-20,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-1,JPLxx-E/Wxx-START_1-1,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-2,JPLxx-E/Wxx-START_1-2,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-3,JPLxx-E/Wxx-START_1-3,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-4,JPLxx-E/Wxx-START_1-4,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-5,JPLxx-E/Wxx-START_1-5,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-6,JPLxx-E/Wxx-START_1-6,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-7,JPLxx-E/Wxx-START_1-7,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-8,JPLxx-E/Wxx-START_1-8,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-9,JPLxx-E/Wxx-START_1-9,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-10,JPLxx-E/Wxx-START_1-10,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-11,JPLxx-E/Wxx-START_1-11,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-12,JPLxx-E/Wxx-START_1-12,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-13,JPLxx-E/Wxx-START_1-13,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-14,JPLxx-E/Wxx-START_1-14,VAR_EXTERNAL
JPLxx-E/Wxx-START_1-15,JPLxx-E/Wxx-START_1-15,VAR_EXTERNAL
JPLxx-PB-DI_1,JPLxx-PB-DI_1,VAR_EXTERNAL
JPLxx-PBE_1,JPLxx-PBE_1,VAR_EXTERNAL
JPLxx-PBE-DO_1,JPLxx-PBE-DO_1,VAR_EXTERNAL
JPLxx-PBE-F_1,JPLxx-PBE-F_1,VAR_EXTERNAL
JPLxx-PB-ERR_1,JPLxx-PB-ERR_1,VAR_EXTERNAL
LAMP-PB,LAMP-PB,VAR_EXTERNAL
LAMPTEST,LAMPTEST,VAR_EXTERNAL
LX PBE_1,LX PBE_1,nFC93 LX PBE
