Name,New Name,Type
EAST-AS,EAST-AS,VAR_EXTERNAL
J/JL/L-T/E/S-AS_1,J/JL/L-T/E/S-AS_1,VAR_EXTERNAL
J/JL/L-T/E/S-AS_2,J/JL/L-T/E/S-AS_2,VAR_EXTERNAL
J/JL/L-T/E/S-AS_3,J/JL/L-T/E/S-AS_3,VAR_EXTERNAL
J/JL/L-T/E/S-AS_4,J/JL/L-T/E/S-AS_4,VAR_EXTERNAL
J/JL/L-T/E/S-AS_5,J/JL/L-T/E/S-AS_5,VAR_EXTERNAL
J/JL/L-T/E/S-AS_6,J/JL/L-T/E/S-AS_6,VAR_EXTERNAL
J/JL/L-T/E/S-AS_7,J/JL/L-T/E/S-AS_7,VAR_EXTERNAL
J/JL/L-T/E/S-AS_8,J/JL/L-T/E/S-AS_8,VAR_EXTERNAL
J/JL/L-T/E/S-AS_9,J/JL/L-T/E/S-AS_9,VAR_EXTERNAL
J/JL/L-T/E/S-AS_10,J/JL/L-T/E/S-AS_10,VAR_EXTERNAL
J/JL/L-T/E/S-AS_11,J/JL/L-T/E/S-AS_11,VAR_EXTERNAL
J/JL/L-T/E/S-AS_12,J/JL/L-T/E/S-AS_12,VAR_EXTERNAL
J/JL/L-T/E/S-AS_13,J/JL/L-T/E/S-AS_13,VAR_EXTERNAL
J/JL/L-T/E/S-AS_14,J/JL/L-T/E/S-AS_14,VAR_EXTERNAL
J/JL/L-T/E/S-AS_15,J/JL/L-T/E/S-AS_15,VAR_EXTERNAL
J/JL/L-T/E/S-AS_16,J/JL/L-T/E/S-AS_16,VAR_EXTERNAL
J/JL/L-T/E/S-AS_17,J/JL/L-T/E/S-AS_17,VAR_EXTERNAL
J/JL/L-T/E/S-AS_18,J/JL/L-T/E/S-AS_18,VAR_EXTERNAL
J/JL/L-T/E/S-AS_19,J/JL/L-T/E/S-AS_19,VAR_EXTERNAL
J/JL/L-T/E/S-AS_20,J/JL/L-T/E/S-AS_20,VAR_EXTERNAL
J/JL/L-T/E/S-AS_21,J/JL/L-T/E/S-AS_21,VAR_EXTERNAL
J/JL/L-T/E/S-AS_22,J/JL/L-T/E/S-AS_22,VAR_EXTERNAL
J/JL/L-T/E/S-AS_23,J/JL/L-T/E/S-AS_23,VAR_EXTERNAL
J/JL/L-T/E/S-AS_24,J/JL/L-T/E/S-AS_24,VAR_EXTERNAL
J/JL/L-T/E/S-AS_25,J/JL/L-T/E/S-AS_25,VAR_EXTERNAL
J/JL/L-T/E/S-AS_26,J/JL/L-T/E/S-AS_26,VAR_EXTERNAL
J/JL/L-T/E/S-AS_27,J/JL/L-T/E/S-AS_27,VAR_EXTERNAL
J/JL/L-T/E/S-AS_28,J/JL/L-T/E/S-AS_28,VAR_EXTERNAL
J/JL/L-T/E/S-AS_29,J/JL/L-T/E/S-AS_29,VAR_EXTERNAL
J/JL/L-T/E/S-AS_30,J/JL/L-T/E/S-AS_30,VAR_EXTERNAL
J/JL/L-T/E/S-AS_31,J/JL/L-T/E/S-AS_31,VAR_EXTERNAL
J/JL/L-T/E/S-AS_32,J/JL/L-T/E/S-AS_32,VAR_EXTERNAL
J/JL/L-T/E/S-AS_33,J/JL/L-T/E/S-AS_33,VAR_EXTERNAL
J/JL/L-T/E/S-AS_34,J/JL/L-T/E/S-AS_34,VAR_EXTERNAL
J/JL/L-T/E/S-AS_35,J/JL/L-T/E/S-AS_35,VAR_EXTERNAL
J/JL/L-T/E/S-AS_36,J/JL/L-T/E/S-AS_36,VAR_EXTERNAL
J/JL/L-T/E/S-AS_37,J/JL/L-T/E/S-AS_37,VAR_EXTERNAL
J/JL/L-T/E/S-AS_38,J/JL/L-T/E/S-AS_38,VAR_EXTERNAL
J/JL/L-T/E/S-AS_39,J/JL/L-T/E/S-AS_39,VAR_EXTERNAL
J/JL/L-T/E/S-AS_40,J/JL/L-T/E/S-AS_40,VAR_EXTERNAL
J/JL/L-T/E/S-AS_41,J/JL/L-T/E/S-AS_41,VAR_EXTERNAL
J/JL/L-T/E/S-AS_42,J/JL/L-T/E/S-AS_42,VAR_EXTERNAL
J/JL/L-T/E/S-AS_43,J/JL/L-T/E/S-AS_43,VAR_EXTERNAL
J/JL/L-T/E/S-AS_44,J/JL/L-T/E/S-AS_44,VAR_EXTERNAL
J/JL/L-T/E/S-AS_45,J/JL/L-T/E/S-AS_45,VAR_EXTERNAL
J/JL/L-T/E/S-AS_46,J/JL/L-T/E/S-AS_46,VAR_EXTERNAL
J/JL/L-T/E/S-AS_47,J/JL/L-T/E/S-AS_47,VAR_EXTERNAL
J/JL/L-T/E/S-AS_48,J/JL/L-T/E/S-AS_48,VAR_EXTERNAL
J/JL/L-T/E/S-AS_49,J/JL/L-T/E/S-AS_49,VAR_EXTERNAL
J/JL/L-T/E/S-AS_50,J/JL/L-T/E/S-AS_50,VAR_EXTERNAL
J/JL/L-T/E/S-AS_51,J/JL/L-T/E/S-AS_51,VAR_EXTERNAL
J/JL/L-T/E/S-AS_52,J/JL/L-T/E/S-AS_52,VAR_EXTERNAL
J/JL/L-T/E/S-AS_53,J/JL/L-T/E/S-AS_53,VAR_EXTERNAL
J/JL/L-T/E/S-AS_54,J/JL/L-T/E/S-AS_54,VAR_EXTERNAL
J/JL/L-T/E/S-AS_55,J/JL/L-T/E/S-AS_55,VAR_EXTERNAL
J/JL/L-T/E/S-AS_56,J/JL/L-T/E/S-AS_56,VAR_EXTERNAL
J/JL/L-T/E/S-AS_57,J/JL/L-T/E/S-AS_57,VAR_EXTERNAL
J/JL/L-T/E/S-AS_58,J/JL/L-T/E/S-AS_58,VAR_EXTERNAL
J/JL/L-T/E/S-AS_59,J/JL/L-T/E/S-AS_59,VAR_EXTERNAL
J/JL/L-T/E/S-AS_60,J/JL/L-T/E/S-AS_60,VAR_EXTERNAL
J/JL/L-T/E/S-AS_61,J/JL/L-T/E/S-AS_61,VAR_EXTERNAL
J/JL/L-T/E/S-AS_62,J/JL/L-T/E/S-AS_62,VAR_EXTERNAL
J/JL/L-T/E/S-AS_63,J/JL/L-T/E/S-AS_63,VAR_EXTERNAL
J/JL/L-T/E/S-AS_64,J/JL/L-T/E/S-AS_64,VAR_EXTERNAL
J/JL/L-T/E/S-AS_65,J/JL/L-T/E/S-AS_65,VAR_EXTERNAL
J/JL/L-T/E/S-AS_66,J/JL/L-T/E/S-AS_66,VAR_EXTERNAL
J/JL/L-T/E/S-AS_67,J/JL/L-T/E/S-AS_67,VAR_EXTERNAL
J/JL/L-T/E/S-AS_68,J/JL/L-T/E/S-AS_68,VAR_EXTERNAL
J/JL/L-T/E/S-AS_69,J/JL/L-T/E/S-AS_69,VAR_EXTERNAL
J/JL/L-T/E/S-AS_70,J/JL/L-T/E/S-AS_70,VAR_EXTERNAL
J/JL/L-T/E/S-AS_71,J/JL/L-T/E/S-AS_71,VAR_EXTERNAL
J/JL/L-T/E/S-AS_72,J/JL/L-T/E/S-AS_72,VAR_EXTERNAL
