Name,New Name,Type
J/JL/Lxx-B_1,J/JL/Lxx-B_1,VAR_EXTERNAL
J/JL/Lxx-B_2,J/JL/Lxx-B_2,VAR_EXTERNAL
J/JL/Lxx-B_3,J/JL/Lxx-B_3,VAR_EXTERNAL
J/JL/Lxx-B_4,J/JL/Lxx-B_4,VAR_EXTERNAL
J/JL/Lxx-B_5,J/JL/Lxx-B_5,VAR_EXTERNAL
J/JL/Lxx-B_6,J/JL/Lxx-B_6,VAR_EXTERNAL
J/JL/Lxx-B_7,J/JL/Lxx-B_7,VAR_EXTERNAL
J/JL/Lxx-B_8,J/JL/Lxx-B_8,VAR_EXTERNAL
J/JL/Lxx-B_9,J/JL/Lxx-B_9,VAR_EXTERNAL
J/JL/Lxx-B_10,J/JL/Lxx-B_10,VAR_EXTERNAL
J/JL/Lxx-ECR_1,J/JL/Lxx-ECR_1,VAR_EXTERNAL
J/JL/Lxx-ECR_2,J/JL/Lxx-ECR_2,VAR_EXTERNAL
J/JL/Lxx-ECR_3,J/JL/Lxx-ECR_3,VAR_EXTERNAL
J/JL/Lxx-ECR_4,J/JL/Lxx-ECR_4,VAR_EXTERNAL
J/JL/Lxx-ECR_5,J/JL/Lxx-ECR_5,VAR_EXTERNAL
J/JL/Lxx-ECR_6,J/JL/Lxx-ECR_6,VAR_EXTERNAL
J/JL/Lxx-ECR_7,J/JL/Lxx-ECR_7,VAR_EXTERNAL
J/JL/Lxx-ECR_8,J/JL/Lxx-ECR_8,VAR_EXTERNAL
J/JL/Lxx-ECR_9,J/JL/Lxx-ECR_9,VAR_EXTERNAL
J/JL/Lxx-ECR_10,J/JL/Lxx-ECR_10,VAR_EXTERNAL
J/JL/Lxx-F-RS_1,J/JL/Lxx-F-RS_1,VAR_EXTERNAL
J/JL/Lxx-F-RS_2,J/JL/Lxx-F-RS_2,VAR_EXTERNAL
J/JL/Lxx-F-RS_3,J/JL/Lxx-F-RS_3,VAR_EXTERNAL
J/JL/Lxx-F-RS_4,J/JL/Lxx-F-RS_4,VAR_EXTERNAL
J/JL/Lxx-F-RS_5,J/JL/Lxx-F-RS_5,VAR_EXTERNAL
J/JL/Lxx-F-RS_6,J/JL/Lxx-F-RS_6,VAR_EXTERNAL
J/JL/Lxx-F-RS_7,J/JL/Lxx-F-RS_7,VAR_EXTERNAL
J/JL/Lxx-F-RS_8,J/JL/Lxx-F-RS_8,VAR_EXTERNAL
J/JL/Lxx-F-RS_9,J/JL/Lxx-F-RS_9,VAR_EXTERNAL
J/JL/Lxx-F-RS_10,J/JL/Lxx-F-RS_10,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_1,J/JL/Lxx-HR/DR-DO_1,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_2,J/JL/Lxx-HR/DR-DO_2,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_3,J/JL/Lxx-HR/DR-DO_3,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_4,J/JL/Lxx-HR/DR-DO_4,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_5,J/JL/Lxx-HR/DR-DO_5,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_6,J/JL/Lxx-HR/DR-DO_6,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_7,J/JL/Lxx-HR/DR-DO_7,VAR_EXTERNAL
J/JL/Lxx-HR/DR-DO_8,J/JL/Lxx-HR/DR-DO_8,VAR_EXTERNAL
