Name,New Name,Type
J/JL/Lxx-xx-RSN_1-1,J/JL/Lxx-xx-RSN_1-1,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-2,J/JL/Lxx-xx-RSN_1-2,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-3,J/JL/Lxx-xx-RSN_1-3,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-4,J/JL/Lxx-xx-RSN_1-4,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-5,J/JL/Lxx-xx-RSN_1-5,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-6,J/JL/Lxx-xx-RSN_1-6,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-7,J/JL/Lxx-xx-RSN_1-7,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-8,J/JL/Lxx-xx-RSN_1-8,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-9,J/JL/Lxx-xx-RSN_1-9,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-10,J/JL/Lxx-xx-RSN_1-10,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-11,J/JL/Lxx-xx-RSN_1-11,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-12,J/JL/Lxx-xx-RSN_1-12,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-13,J/JL/Lxx-xx-RSN_1-13,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-14,J/JL/Lxx-xx-RSN_1-14,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-15,J/JL/Lxx-xx-RSN_1-15,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-16,J/JL/Lxx-xx-RSN_1-16,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-17,J/JL/Lxx-xx-RSN_1-17,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-18,J/JL/Lxx-xx-RSN_1-18,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-19,J/JL/Lxx-xx-RSN_1-19,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-20,J/JL/Lxx-xx-RSN_1-20,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-21,J/JL/Lxx-xx-RSN_1-21,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-22,J/JL/Lxx-xx-RSN_1-22,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-23,J/JL/Lxx-xx-RSN_1-23,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-24,J/JL/Lxx-xx-RSN_1-24,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-25,J/JL/Lxx-xx-RSN_1-25,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-26,J/JL/Lxx-xx-RSN_1-26,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-27,J/JL/Lxx-xx-RSN_1-27,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-28,J/JL/Lxx-xx-RSN_1-28,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-29,J/JL/Lxx-xx-RSN_1-29,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-30,J/JL/Lxx-xx-RSN_1-30,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-31,J/JL/Lxx-xx-RSN_1-31,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-32,J/JL/Lxx-xx-RSN_1-32,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-33,J/JL/Lxx-xx-RSN_1-33,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-34,J/JL/Lxx-xx-RSN_1-34,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-35,J/JL/Lxx-xx-RSN_1-35,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-36,J/JL/Lxx-xx-RSN_1-36,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-37,J/JL/Lxx-xx-RSN_1-37,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-38,J/JL/Lxx-xx-RSN_1-38,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-39,J/JL/Lxx-xx-RSN_1-39,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-40,J/JL/Lxx-xx-RSN_1-40,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-41,J/JL/Lxx-xx-RSN_1-41,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-42,J/JL/Lxx-xx-RSN_1-42,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-43,J/JL/Lxx-xx-RSN_1-43,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-44,J/JL/Lxx-xx-RSN_1-44,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-45,J/JL/Lxx-xx-RSN_1-45,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-46,J/JL/Lxx-xx-RSN_1-46,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-47,J/JL/Lxx-xx-RSN_1-47,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-48,J/JL/Lxx-xx-RSN_1-48,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-49,J/JL/Lxx-xx-RSN_1-49,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-50,J/JL/Lxx-xx-RSN_1-50,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-1,J/JL/Lxx-xx-RSN_2-1,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-2,J/JL/Lxx-xx-RSN_2-2,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-3,J/JL/Lxx-xx-RSN_2-3,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-4,J/JL/Lxx-xx-RSN_2-4,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-5,J/JL/Lxx-xx-RSN_2-5,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-6,J/JL/Lxx-xx-RSN_2-6,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-7,J/JL/Lxx-xx-RSN_2-7,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-8,J/JL/Lxx-xx-RSN_2-8,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-9,J/JL/Lxx-xx-RSN_2-9,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-10,J/JL/Lxx-xx-RSN_2-10,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-11,J/JL/Lxx-xx-RSN_2-11,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-12,J/JL/Lxx-xx-RSN_2-12,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-13,J/JL/Lxx-xx-RSN_2-13,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-14,J/JL/Lxx-xx-RSN_2-14,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-15,J/JL/Lxx-xx-RSN_2-15,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-16,J/JL/Lxx-xx-RSN_2-16,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-17,J/JL/Lxx-xx-RSN_2-17,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-18,J/JL/Lxx-xx-RSN_2-18,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_2-19,J/JL/Lxx-xx-RSN_2-19,VAR_EXTERNAL
