Name,New Name,Type
Dxx-B-CTRL_1,Dxx-B-CTRL_1,VAR_EXTERNAL
Dxx-B-CTRL_2,Dxx-B-CTRL_2,VAR_EXTERNAL
Dxx-B-CTRL_3,Dxx-B-CTRL_3,VAR_EXTERNAL
Dxx-B-CTRL_4,Dxx-B-CTRL_4,VAR_EXTERNAL
Dxx-B-CTRL_5,Dxx-B-CTRL_5,VAR_EXTERNAL
Dxx-NP_1,Dxx-NP_1,VAR_EXTERNAL
Dxx-NP_2,Dxx-NP_2,VAR_EXTERNAL
Dxx-NP_3,Dxx-NP_3,VAR_EXTERNAL
Dxx-NP_4,Dxx-NP_4,VAR_EXTERNAL
Dxx-NP_5,Dxx-NP_5,VAR_EXTERNAL
Dxx-REL-REQ_1,Dxx-REL-REQ_1,VAR_EXTERNAL
Dxx-REL-REQ_2,Dxx-REL-REQ_2,VAR_EXTERNAL
Dxx-REL-REQ_3,Dxx-REL-REQ_3,VAR_EXTERNAL
Dxx-REL-REQ_4,Dxx-REL-REQ_4,VAR_EXTERNAL
Dxx-REL-REQ_5,Dxx-REL-REQ_5,VAR_EXTERNAL
Dxx-R-N_1,Dxx-R-N_1,VAR_EXTERNAL
Dxx-R-N_2,Dxx-R-N_2,VAR_EXTERNAL
Dxx-R-N_3,Dxx-R-N_3,VAR_EXTERNAL
Dxx-R-N_4,Dxx-R-N_4,VAR_EXTERNAL
Dxx-R-N_5,Dxx-R-N_5,VAR_EXTERNAL
Dxx-R-OK_1,Dxx-R-OK_1,VAR_EXTERNAL
Dxx-R-OK_2,Dxx-R-OK_2,VAR_EXTERNAL
Dxx-R-OK_3,Dxx-R-OK_3,VAR_EXTERNAL
Dxx-R-OK_4,Dxx-R-OK_4,VAR_EXTERNAL
Dxx-R-OK_5,Dxx-R-OK_5,VAR_EXTERNAL
Dxx-RP_1,Dxx-RP_1,VAR_EXTERNAL
Dxx-RP_2,Dxx-RP_2,VAR_EXTERNAL
Dxx-RP_3,Dxx-RP_3,VAR_EXTERNAL
Dxx-RP_4,Dxx-RP_4,VAR_EXTERNAL
Dxx-RP_5,Dxx-RP_5,VAR_EXTERNAL
Dxx-RST-CTRL_1,Dxx-RST-CTRL_1,VAR_EXTERNAL
Dxx-RST-CTRL_2,Dxx-RST-CTRL_2,VAR_EXTERNAL
Dxx-RST-CTRL_3,Dxx-RST-CTRL_3,VAR_EXTERNAL
Dxx-RST-CTRL_4,Dxx-RST-CTRL_4,VAR_EXTERNAL
Dxx-RST-CTRL_5,Dxx-RST-CTRL_5,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-1,J/JL/Lxx-xx-RSN_1-1,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-2,J/JL/Lxx-xx-RSN_1-2,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-3,J/JL/Lxx-xx-RSN_1-3,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-4,J/JL/Lxx-xx-RSN_1-4,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-5,J/JL/Lxx-xx-RSN_1-5,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-6,J/JL/Lxx-xx-RSN_1-6,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-7,J/JL/Lxx-xx-RSN_1-7,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-8,J/JL/Lxx-xx-RSN_1-8,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-9,J/JL/Lxx-xx-RSN_1-9,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-10,J/JL/Lxx-xx-RSN_1-10,VAR_EXTERNAL
J/JL/Lxx-xx-RSN_1-11,J/JL/Lxx-xx-RSN_1-11,VAR_EXTERNAL
