Name,New Name,Type
J/JL/Lxx-D-B_1,J/JL/Lxx-D-B_1,VAR_EXTERNAL
J/JL/Lxx-D-B_2,J/JL/Lxx-D-B_2,VAR_EXTERNAL
J/JL/Lxx-D-B_3,J/JL/Lxx-D-B_3,VAR_EXTERNAL
J/JL/Lxx-D-B_4,J/JL/Lxx-D-B_4,VAR_EXTERNAL
J/JL/Lxx-D-B_5,J/JL/Lxx-D-B_5,VAR_EXTERNAL
J/JL/Lxx-D-B_6,J/JL/Lxx-D-B_6,VAR_EXTERNAL
J/JL/Lxx-D-B_7,J/JL/Lxx-D-B_7,VAR_EXTERNAL
J/JL/Lxx-D-B_8,J/JL/Lxx-D-B_8,VAR_EXTERNAL
J/JL/Lxx-D-B_9,J/JL/Lxx-D-B_9,VAR_EXTERNAL
J/JL/Lxx-D-B_10,J/JL/Lxx-D-B_10,VAR_EXTERNAL
J/JL/Lxx-HR-DI_1,J/JL/Lxx-HR-DI_1,VAR_EXTERNAL
J/JL/Lxx-HR-DI_2,J/JL/Lxx-HR-DI_2,VAR_EXTERNAL
J/JL/Lxx-HR-DI_3,J/JL/Lxx-HR-DI_3,VAR_EXTERNAL
J/JL/Lxx-HR-DI_4,J/JL/Lxx-HR-DI_4,VAR_EXTERNAL
J/JL/Lxx-HR-DI_5,J/JL/Lxx-HR-DI_5,VAR_EXTERNAL
J/JL/Lxx-HR-DI_6,J/JL/Lxx-HR-DI_6,VAR_EXTERNAL
J/JL/Lxx-HR-DI_7,J/JL/Lxx-HR-DI_7,VAR_EXTERNAL
J/JL/Lxx-HR-DI_8,J/JL/Lxx-HR-DI_8,VAR_EXTERNAL
J/JL/Lxx-HR-DI_9,J/JL/Lxx-HR-DI_9,VAR_EXTERNAL
J/JL/Lxx-HR-DI_10,J/JL/Lxx-HR-DI_10,VAR_EXTERNAL
J/JL/Lxx-xx-D-REQ_1,J/JL/Lxx-xx-D-REQ_1,VAR_EXTERNAL
J/JL/Lxx-xx-D-REQ_2,J/JL/Lxx-xx-D-REQ_2,VAR_EXTERNAL
J/JL/Lxx-xx-D-REQ_3,J/JL/Lxx-xx-D-REQ_3,VAR_EXTERNAL
J/JL/Lxx-xx-D-REQ_4,J/JL/Lxx-xx-D-REQ_4,VAR_EXTERNAL
J/JL/Lxx-xx-D-REQ_5,J/JL/Lxx-xx-D-REQ_5,VAR_EXTERNAL
J/JL/Lxx-xx-D-REQ_6,J/JL/Lxx-xx-D-REQ_6,VAR_EXTERNAL
J/JL/Lxx-xx-D-REQ_7,J/JL/Lxx-xx-D-REQ_7,VAR_EXTERNAL
J/JL/Lxx-xx-D-REQ_8,J/JL/Lxx-xx-D-REQ_8,VAR_EXTERNAL
J/JL/Lxx-xx-D-REQ_9,J/JL/Lxx-xx-D-REQ_9,VAR_EXTERNAL
J/JL/Lxx-xx-D-REQ_10,J/JL/Lxx-xx-D-REQ_10,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_1,J/JL/Lxx-xx-T-REQ_1,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_2,J/JL/Lxx-xx-T-REQ_2,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_3,J/JL/Lxx-xx-T-REQ_3,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_4,J/JL/Lxx-xx-T-REQ_4,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_5,J/JL/Lxx-xx-T-REQ_5,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_6,J/JL/Lxx-xx-T-REQ_6,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_7,J/JL/Lxx-xx-T-REQ_7,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_8,J/JL/Lxx-xx-T-REQ_8,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_9,J/JL/Lxx-xx-T-REQ_9,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_10,J/JL/Lxx-xx-T-REQ_10,VAR_EXTERNAL
