Name,New Name,Type
J/JL/Lxx-B_1,J/JL/Lxx-B_1,VAR_EXTERNAL
J/JL/Lxx-B_2,J/JL/Lxx-B_2,VAR_EXTERNAL
J/JL/Lxx-B_3,J/JL/Lxx-B_3,VAR_EXTERNAL
J/JL/Lxx-B_4,J/JL/Lxx-B_4,VAR_EXTERNAL
J/JL/Lxx-F-CTRL_1,J/JL/Lxx-F-CTRL_1,VAR_EXTERNAL
J/JL/Lxx-F-CTRL_2,J/JL/Lxx-F-CTRL_2,VAR_EXTERNAL
J/JL/Lxx-F-CTRL_3,J/JL/Lxx-F-CTRL_3,VAR_EXTERNAL
J/JL/Lxx-F-CTRL_4,J/JL/Lxx-F-CTRL_4,VAR_EXTERNAL
J/JL/Lxx-F-RS_1,J/JL/Lxx-F-RS_1,VAR_EXTERNAL
J/JL/Lxx-F-RS_2,J/JL/Lxx-F-RS_2,VAR_EXTERNAL
J/JL/Lxx-F-RS_3,J/JL/Lxx-F-RS_3,VAR_EXTERNAL
J/JL/Lxx-F-RS_4,J/JL/Lxx-F-RS_4,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_1,J/JL/Lxx-RST-CTRL_1,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_2,J/JL/Lxx-RST-CTRL_2,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_3,J/JL/Lxx-RST-CTRL_3,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_4,J/JL/Lxx-RST-CTRL_4,VAR_EXTERNAL
J/JL/Lxx-TUR-DO_1,J/JL/Lxx-TUR-DO_1,VAR_EXTERNAL
J/JL/Lxx-TUR-DO_2,J/JL/Lxx-TUR-DO_2,VAR_EXTERNAL
J/JL/Lxx-TUR-DO_3,J/JL/Lxx-TUR-DO_3,VAR_EXTERNAL
J/JL/Lxx-TUR-DO_4,J/JL/Lxx-TUR-DO_4,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_1,J/JL/Lxx-xx-T-REQ_1,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_2,J/JL/Lxx-xx-T-REQ_2,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_3,J/JL/Lxx-xx-T-REQ_3,VAR_EXTERNAL
J/JL/Lxx-xx-T-REQ_4,J/JL/Lxx-xx-T-REQ_4,VAR_EXTERNAL
nFC103 F_RS,nFC103 F_RS,nFC103 F_RS
nFC103 F_RS_1,nFC103 F_RS_1,nFC103 F_RS
nFC103 F_RS_2,nFC103 F_RS_2,nFC103 F_RS
nFC103 F_RS_3,nFC103 F_RS_3,nFC103 F_RS
