Name,New Name,Type
J/JL/Lxx-B_1,J/JL/Lxx-B_1,VAR_EXTERNAL
J/JL/Lxx-B_2,J/JL/Lxx-B_2,VAR_EXTERNAL
J/JL/Lxx-B_3,J/JL/Lxx-B_3,VAR_EXTERNAL
J/JL/Lxx-B_4,J/JL/Lxx-B_4,VAR_EXTERNAL
J/JL/Lxx-B_5,J/JL/Lxx-B_5,VAR_EXTERNAL
J/JL/Lxx-B_6,J/JL/Lxx-B_6,VAR_EXTERNAL
J/JL/Lxx-B_7,J/JL/Lxx-B_7,VAR_EXTERNAL
J/JL/Lxx-B_8,J/JL/Lxx-B_8,VAR_EXTERNAL
J/JL/Lxx-B_9,J/JL/Lxx-B_9,VAR_EXTERNAL
J/JL/Lxx-B_10,J/JL/Lxx-B_10,VAR_EXTERNAL
J/JL/Lxx-E-B_1,J/JL/Lxx-E-B_1,VAR_EXTERNAL
J/JL/Lxx-E-B_2,J/JL/Lxx-E-B_2,VAR_EXTERNAL
J/JL/Lxx-E-B_3,J/JL/Lxx-E-B_3,VAR_EXTERNAL
J/JL/Lxx-E-B_4,J/JL/Lxx-E-B_4,VAR_EXTERNAL
J/JL/Lxx-E-B_5,J/JL/Lxx-E-B_5,VAR_EXTERNAL
J/JL/Lxx-E-B_6,J/JL/Lxx-E-B_6,VAR_EXTERNAL
J/JL/Lxx-E-B_7,J/JL/Lxx-E-B_7,VAR_EXTERNAL
J/JL/Lxx-E-B_8,J/JL/Lxx-E-B_8,VAR_EXTERNAL
J/JL/Lxx-E-B_9,J/JL/Lxx-E-B_9,VAR_EXTERNAL
J/JL/Lxx-E-B_10,J/JL/Lxx-E-B_10,VAR_EXTERNAL
J/JL/Lxx-E-CTRL_1,J/JL/Lxx-E-CTRL_1,VAR_EXTERNAL
J/JL/Lxx-E-CTRL_2,J/JL/Lxx-E-CTRL_2,VAR_EXTERNAL
J/JL/Lxx-E-CTRL_3,J/JL/Lxx-E-CTRL_3,VAR_EXTERNAL
J/JL/Lxx-E-CTRL_4,J/JL/Lxx-E-CTRL_4,VAR_EXTERNAL
J/JL/Lxx-E-CTRL_5,J/JL/Lxx-E-CTRL_5,VAR_EXTERNAL
J/JL/Lxx-E-CTRL_6,J/JL/Lxx-E-CTRL_6,VAR_EXTERNAL
J/JL/Lxx-E-CTRL_7,J/JL/Lxx-E-CTRL_7,VAR_EXTERNAL
J/JL/Lxx-E-CTRL_8,J/JL/Lxx-E-CTRL_8,VAR_EXTERNAL
J/JL/Lxx-E-CTRL_9,J/JL/Lxx-E-CTRL_9,VAR_EXTERNAL
J/JL/Lxx-E-CTRL_10,J/JL/Lxx-E-CTRL_10,VAR_EXTERNAL
J/JL/Lxx-F-RS_1,J/JL/Lxx-F-RS_1,VAR_EXTERNAL
J/JL/Lxx-F-RS_2,J/JL/Lxx-F-RS_2,VAR_EXTERNAL
J/JL/Lxx-F-RS_3,J/JL/Lxx-F-RS_3,VAR_EXTERNAL
J/JL/Lxx-F-RS_4,J/JL/Lxx-F-RS_4,VAR_EXTERNAL
J/JL/Lxx-F-RS_5,J/JL/Lxx-F-RS_5,VAR_EXTERNAL
J/JL/Lxx-F-RS_6,J/JL/Lxx-F-RS_6,VAR_EXTERNAL
J/JL/Lxx-F-RS_7,J/JL/Lxx-F-RS_7,VAR_EXTERNAL
J/JL/Lxx-F-RS_8,J/JL/Lxx-F-RS_8,VAR_EXTERNAL
