Name,New Name,Type
W11A/21A_N_2,W11A/21A_N_2,nFC96 SW FUNCTION
W11A/21A_N_3,W11A/21A_N_3,nFC96 SW FUNCTION
W11A/21A_N_4,W11A/21A_N_4,nFC96 SW FUNCTION
W11A/21A_N_5,W11A/21A_N_5,nFC96 SW FUNCTION
W11A/21A_N_6,W11A/21A_N_6,nFC96 SW FUNCTION
W11A/21A_N_7,W11A/21A_N_7,nFC96 SW FUNCTION
W11A/21A_N_8,W11A/21A_N_8,nFC96 SW FUNCTION
W11A/21A_N_9,W11A/21A_N_9,nFC96 SW FUNCTION
W11A/21A_N_10,W11A/21A_N_10,nFC96 SW FUNCTION
W11A/21A_N_11,W11A/21A_N_11,nFC96 SW FUNCTION
W11A/21A_N_12,W11A/21A_N_12,nFC96 SW FUNCTION
W11A/21A_N_13,W11A/21A_N_13,nFC96 SW FUNCTION
W11A/21A_N_14,W11A/21A_N_14,nFC96 SW FUNCTION
W11A/21A_N_15,W11A/21A_N_15,nFC96 SW FUNCTION
W11A/21A_N_16,W11A/21A_N_16,nFC96 SW FUNCTION
W11A/21A_N_17,W11A/21A_N_17,nFC96 SW FUNCTION
W11A/21A_N_18,W11A/21A_N_18,nFC96 SW FUNCTION
W11A/21A_N_19,W11A/21A_N_19,nFC96 SW FUNCTION
W11A/21A_N_20,W11A/21A_N_20,nFC96 SW FUNCTION
W11A/21A_N_21,W11A/21A_N_21,nFC96 SW FUNCTION
Wxx-L_1,Wxx-L_1,VAR_EXTERNAL
Wxx-L_2,Wxx-L_2,VAR_EXTERNAL
Wxx-L_3,Wxx-L_3,VAR_EXTERNAL
Wxx-L_4,Wxx-L_4,VAR_EXTERNAL
Wxx-L_5,Wxx-L_5,VAR_EXTERNAL
Wxx-L_6,Wxx-L_6,VAR_EXTERNAL
Wxx-L_7,Wxx-L_7,VAR_EXTERNAL
Wxx-L_8,Wxx-L_8,VAR_EXTERNAL
Wxx-L_9,Wxx-L_9,VAR_EXTERNAL
Wxx-L_10,Wxx-L_10,VAR_EXTERNAL
Wxx-N_1,Wxx-N_1,VAR_EXTERNAL
Wxx-N_2,Wxx-N_2,VAR_EXTERNAL
Wxx-N_3,Wxx-N_3,VAR_EXTERNAL
Wxx-N_4,Wxx-N_4,VAR_EXTERNAL
Wxx-N_5,Wxx-N_5,VAR_EXTERNAL
Wxx-N_6,Wxx-N_6,VAR_EXTERNAL
Wxx-N_7,Wxx-N_7,VAR_EXTERNAL
Wxx-N_8,Wxx-N_8,VAR_EXTERNAL
Wxx-N_9,Wxx-N_9,VAR_EXTERNAL
Wxx-N_10,Wxx-N_10,VAR_EXTERNAL
Wxx-NWZ_1,Wxx-NWZ_1,VAR_EXTERNAL
Wxx-NWZ_2,Wxx-NWZ_2,VAR_EXTERNAL
Wxx-NWZ_3,Wxx-NWZ_3,VAR_EXTERNAL
Wxx-NWZ_4,Wxx-NWZ_4,VAR_EXTERNAL
Wxx-NWZ_5,Wxx-NWZ_5,VAR_EXTERNAL
Wxx-NWZ_6,Wxx-NWZ_6,VAR_EXTERNAL
Wxx-NWZ_7,Wxx-NWZ_7,VAR_EXTERNAL
Wxx-NWZ_8,Wxx-NWZ_8,VAR_EXTERNAL
Wxx-NWZ_9,Wxx-NWZ_9,VAR_EXTERNAL
Wxx-NWZ_10,Wxx-NWZ_10,VAR_EXTERNAL
Wxx-OOC_1,Wxx-OOC_1,VAR_EXTERNAL
Wxx-OOC_2,Wxx-OOC_2,VAR_EXTERNAL
Wxx-OOC_3,Wxx-OOC_3,VAR_EXTERNAL
Wxx-OOC_4,Wxx-OOC_4,VAR_EXTERNAL
Wxx-OOC_5,Wxx-OOC_5,VAR_EXTERNAL
Wxx-OOC_6,Wxx-OOC_6,VAR_EXTERNAL
Wxx-OOC_7,Wxx-OOC_7,VAR_EXTERNAL
Wxx-OOC_8,Wxx-OOC_8,VAR_EXTERNAL
Wxx-OOC_9,Wxx-OOC_9,VAR_EXTERNAL
Wxx-OOC_10,Wxx-OOC_10,VAR_EXTERNAL
Wxx-P-N_1,Wxx-P-N_1,VAR_EXTERNAL
Wxx-P-N_2,Wxx-P-N_2,VAR_EXTERNAL
Wxx-P-N_3,Wxx-P-N_3,VAR_EXTERNAL
Wxx-P-N_4,Wxx-P-N_4,VAR_EXTERNAL
Wxx-P-N_5,Wxx-P-N_5,VAR_EXTERNAL
Wxx-P-N_6,Wxx-P-N_6,VAR_EXTERNAL
Wxx-P-N_7,Wxx-P-N_7,VAR_EXTERNAL
Wxx-P-N_8,Wxx-P-N_8,VAR_EXTERNAL
Wxx-P-N_9,Wxx-P-N_9,VAR_EXTERNAL
Wxx-P-N_10,Wxx-P-N_10,VAR_EXTERNAL
Wxx-P-R_1,Wxx-P-R_1,VAR_EXTERNAL
Wxx-P-R_2,Wxx-P-R_2,VAR_EXTERNAL
Wxx-P-R_3,Wxx-P-R_3,VAR_EXTERNAL
Wxx-P-R_4,Wxx-P-R_4,VAR_EXTERNAL
Wxx-P-R_5,Wxx-P-R_5,VAR_EXTERNAL
Wxx-P-R_6,Wxx-P-R_6,VAR_EXTERNAL
Wxx-P-R_7,Wxx-P-R_7,VAR_EXTERNAL
Wxx-P-R_8,Wxx-P-R_8,VAR_EXTERNAL
Wxx-P-R_9,Wxx-P-R_9,VAR_EXTERNAL
