Name,New Name,Type
Dxx-B-N_1-1,Dxx-B-N_1-1,VAR_EXTERNAL
Dxx-B-N_1-2,Dxx-B-N_1-2,VAR_EXTERNAL
Dxx-B-N_1-3,Dxx-B-N_1-3,VAR_EXTERNAL
Dxx-B-N_1-4,Dxx-B-N_1-4,VAR_EXTERNAL
Dxx-B-N_1-5,Dxx-B-N_1-5,VAR_EXTERNAL
Dxx-B-N_1-6,Dxx-B-N_1-6,VAR_EXTERNAL
Dxx-B-N_1-7,Dxx-B-N_1-7,VAR_EXTERNAL
Dxx-B-N_1-8,Dxx-B-N_1-8,VAR_EXTERNAL
Dxx-B-N_1-9,Dxx-B-N_1-9,VAR_EXTERNAL
Dxx-B-N_1-10,Dxx-B-N_1-10,VAR_EXTERNAL
Dxx-B-N_2-1,Dxx-B-N_2-1,VAR_EXTERNAL
Dxx-B-N_2-2,Dxx-B-N_2-2,VAR_EXTERNAL
Dxx-B-N_2-3,Dxx-B-N_2-3,VAR_EXTERNAL
Dxx-B-N_2-4,Dxx-B-N_2-4,VAR_EXTERNAL
Dxx-B-N_2-5,Dxx-B-N_2-5,VAR_EXTERNAL
Dxx-B-N_2-6,Dxx-B-N_2-6,VAR_EXTERNAL
Dxx-B-N_2-7,Dxx-B-N_2-7,VAR_EXTERNAL
Dxx-B-N_2-8,Dxx-B-N_2-8,VAR_EXTERNAL
Dxx-B-N_2-9,Dxx-B-N_2-9,VAR_EXTERNAL
Dxx-B-N_2-10,Dxx-B-N_2-10,VAR_EXTERNAL
Dxx-B-N_3-1,Dxx-B-N_3-1,VAR_EXTERNAL
Dxx-B-N_3-2,Dxx-B-N_3-2,VAR_EXTERNAL
Dxx-B-N_3-3,Dxx-B-N_3-3,VAR_EXTERNAL
Dxx-B-N_3-4,Dxx-B-N_3-4,VAR_EXTERNAL
Dxx-B-N_3-5,Dxx-B-N_3-5,VAR_EXTERNAL
Dxx-B-N_3-6,Dxx-B-N_3-6,VAR_EXTERNAL
Dxx-B-N_3-7,Dxx-B-N_3-7,VAR_EXTERNAL
Dxx-B-N_3-8,Dxx-B-N_3-8,VAR_EXTERNAL
Dxx-B-N_3-9,Dxx-B-N_3-9,VAR_EXTERNAL
Dxx-B-N_3-10,Dxx-B-N_3-10,VAR_EXTERNAL
Dxx-B-N_4-1,Dxx-B-N_4-1,VAR_EXTERNAL
Dxx-B-N_4-2,Dxx-B-N_4-2,VAR_EXTERNAL
Dxx-B-N_4-3,Dxx-B-N_4-3,VAR_EXTERNAL
Dxx-B-N_4-4,Dxx-B-N_4-4,VAR_EXTERNAL
Dxx-B-N_4-5,Dxx-B-N_4-5,VAR_EXTERNAL
Dxx-B-N_4-6,Dxx-B-N_4-6,VAR_EXTERNAL
Dxx-B-N_4-7,Dxx-B-N_4-7,VAR_EXTERNAL
Dxx-B-N_4-8,Dxx-B-N_4-8,VAR_EXTERNAL
Dxx-B-N_4-9,Dxx-B-N_4-9,VAR_EXTERNAL
Dxx-B-N_4-10,Dxx-B-N_4-10,VAR_EXTERNAL
Dxx-B-N_5-1,Dxx-B-N_5-1,VAR_EXTERNAL
Dxx-B-N_5-2,Dxx-B-N_5-2,VAR_EXTERNAL
Dxx-B-N_5-3,Dxx-B-N_5-3,VAR_EXTERNAL
Dxx-B-N_5-4,Dxx-B-N_5-4,VAR_EXTERNAL
Dxx-B-N_5-5,Dxx-B-N_5-5,VAR_EXTERNAL
Dxx-B-N_5-6,Dxx-B-N_5-6,VAR_EXTERNAL
Dxx-B-N_5-7,Dxx-B-N_5-7,VAR_EXTERNAL
Dxx-B-N_5-8,Dxx-B-N_5-8,VAR_EXTERNAL
Dxx-B-N_5-9,Dxx-B-N_5-9,VAR_EXTERNAL
Dxx-B-N_5-10,Dxx-B-N_5-10,VAR_EXTERNAL
Dxx-B-N_6-1,Dxx-B-N_6-1,VAR_EXTERNAL
Dxx-B-N_6-2,Dxx-B-N_6-2,VAR_EXTERNAL
Dxx-B-N_6-3,Dxx-B-N_6-3,VAR_EXTERNAL
Dxx-B-N_6-4,Dxx-B-N_6-4,VAR_EXTERNAL
Dxx-B-N_6-5,Dxx-B-N_6-5,VAR_EXTERNAL
Dxx-B-N_6-6,Dxx-B-N_6-6,VAR_EXTERNAL
Dxx-B-N_6-7,Dxx-B-N_6-7,VAR_EXTERNAL
Dxx-B-N_6-8,Dxx-B-N_6-8,VAR_EXTERNAL
Dxx-B-N_6-9,Dxx-B-N_6-9,VAR_EXTERNAL
