Name,New Name,Type
FLASH,FLASH,VAR_EXTERNAL
J134_3,J134_3,nFC58 S IND MASUK
J134_4,J134_4,nFC58 S IND MASUK
J134_5,J134_5,nFC58 S IND MASUK
J134_6,J134_6,nFC58 S IND MASUK
J134_7,J134_7,nFC58 S IND MASUK
J134_8,J134_8,nFC58 S IND MASUK
J134_9,J134_9,nFC58 S IND MASUK
J134_10,J134_10,nFC58 S IND MASUK
J134_11,J134_11,nFC58 S IND MASUK
J134_12,J134_12,nFC58 S IND MASUK
J/JL/Lxx-CGE_1,J/JL/Lxx-CGE_1,VAR_EXTERNAL
J/JL/Lxx-CGE_2,J/JL/Lxx-CGE_2,VAR_EXTERNAL
J/JL/Lxx-CGE_3,J/JL/Lxx-CGE_3,VAR_EXTERNAL
J/JL/Lxx-CGE_4,J/JL/Lxx-CGE_4,VAR_EXTERNAL
J/JL/Lxx-CGE_5,J/JL/Lxx-CGE_5,VAR_EXTERNAL
J/JL/Lxx-CGE_6,J/JL/Lxx-CGE_6,VAR_EXTERNAL
J/JL/Lxx-CGE_7,J/JL/Lxx-CGE_7,VAR_EXTERNAL
J/JL/Lxx-CGE_8,J/JL/Lxx-CGE_8,VAR_EXTERNAL
J/JL/Lxx-CGE_9,J/JL/Lxx-CGE_9,VAR_EXTERNAL
J/JL/Lxx-CGE_10,J/JL/Lxx-CGE_10,VAR_EXTERNAL
J/JL/Lxx-CGE-DO_1,J/JL/Lxx-CGE-DO_1,VAR_EXTERNAL
J/JL/Lxx-CGE-DO_2,J/JL/Lxx-CGE-DO_2,VAR_EXTERNAL
J/JL/Lxx-CGE-DO_3,J/JL/Lxx-CGE-DO_3,VAR_EXTERNAL
J/JL/Lxx-CGE-DO_4,J/JL/Lxx-CGE-DO_4,VAR_EXTERNAL
J/JL/Lxx-CGE-DO_5,J/JL/Lxx-CGE-DO_5,VAR_EXTERNAL
J/JL/Lxx-CGE-DO_6,J/JL/Lxx-CGE-DO_6,VAR_EXTERNAL
J/JL/Lxx-CGE-DO_7,J/JL/Lxx-CGE-DO_7,VAR_EXTERNAL
J/JL/Lxx-CGE-DO_8,J/JL/Lxx-CGE-DO_8,VAR_EXTERNAL
J/JL/Lxx-CGE-DO_9,J/JL/Lxx-CGE-DO_9,VAR_EXTERNAL
J/JL/Lxx-CGE-DO_10,J/JL/Lxx-CGE-DO_10,VAR_EXTERNAL
J/JL/Lxx-CGE-F_1,J/JL/Lxx-CGE-F_1,VAR_EXTERNAL
J/JL/Lxx-CGE-F_2,J/JL/Lxx-CGE-F_2,VAR_EXTERNAL
J/JL/Lxx-CGE-F_3,J/JL/Lxx-CGE-F_3,VAR_EXTERNAL
J/JL/Lxx-CGE-F_4,J/JL/Lxx-CGE-F_4,VAR_EXTERNAL
J/JL/Lxx-CGE-F_5,J/JL/Lxx-CGE-F_5,VAR_EXTERNAL
J/JL/Lxx-CGE-F_6,J/JL/Lxx-CGE-F_6,VAR_EXTERNAL
J/JL/Lxx-CGE-F_7,J/JL/Lxx-CGE-F_7,VAR_EXTERNAL
J/JL/Lxx-CGE-F_8,J/JL/Lxx-CGE-F_8,VAR_EXTERNAL
J/JL/Lxx-CGE-F_9,J/JL/Lxx-CGE-F_9,VAR_EXTERNAL
