Name,New Name,Type
J/JL/Lxx-GR-DO_1,J/JL/Lxx-GR-DO_1,VAR_EXTERNAL
J/JL/Lxx-GR-DO_2,J/JL/Lxx-GR-DO_2,VAR_EXTERNAL
J/JL/Lxx-GR-DO_3,J/JL/Lxx-GR-DO_3,VAR_EXTERNAL
J/JL/Lxx-GR-DO_4,J/JL/Lxx-GR-DO_4,VAR_EXTERNAL
J/JL/Lxx-GR-DO_5,J/JL/Lxx-GR-DO_5,VAR_EXTERNAL
J/JL/Lxx-GR-DO_6,J/JL/Lxx-GR-DO_6,VAR_EXTERNAL
J/JL/Lxx-GR-DO_7,J/JL/Lxx-GR-DO_7,VAR_EXTERNAL
J/JL/Lxx-GR-DO_8,J/JL/Lxx-GR-DO_8,VAR_EXTERNAL
J/JL/Lxx-GR-DO_9,J/JL/Lxx-GR-DO_9,VAR_EXTERNAL
J/JL/Lxx-GR-DO_10,J/JL/Lxx-GR-DO_10,VAR_EXTERNAL
J/JL/Lxx-RGE-DO_1,J/JL/Lxx-RGE-DO_1,VAR_EXTERNAL
J/JL/Lxx-RGE-DO_2,J/JL/Lxx-RGE-DO_2,VAR_EXTERNAL
J/JL/Lxx-RGE-DO_3,J/JL/Lxx-RGE-DO_3,VAR_EXTERNAL
J/JL/Lxx-RGE-DO_4,J/JL/Lxx-RGE-DO_4,VAR_EXTERNAL
J/JL/Lxx-RGE-DO_5,J/JL/Lxx-RGE-DO_5,VAR_EXTERNAL
J/JL/Lxx-RGE-DO_6,J/JL/Lxx-RGE-DO_6,VAR_EXTERNAL
J/JL/Lxx-RGE-DO_7,J/JL/Lxx-RGE-DO_7,VAR_EXTERNAL
J/JL/Lxx-RGE-DO_8,J/JL/Lxx-RGE-DO_8,VAR_EXTERNAL
J/JL/Lxx-RGE-DO_9,J/JL/Lxx-RGE-DO_9,VAR_EXTERNAL
J/JL/Lxx-RGE-DO_10,J/JL/Lxx-RGE-DO_10,VAR_EXTERNAL
J/JL/Lxx-WGE-DO_1,J/JL/Lxx-WGE-DO_1,VAR_EXTERNAL
J/JL/Lxx-WGE-DO_2,J/JL/Lxx-WGE-DO_2,VAR_EXTERNAL
J/JL/Lxx-WGE-DO_3,J/JL/Lxx-WGE-DO_3,VAR_EXTERNAL
J/JL/Lxx-WGE-DO_4,J/JL/Lxx-WGE-DO_4,VAR_EXTERNAL
J/JL/Lxx-WGE-DO_5,J/JL/Lxx-WGE-DO_5,VAR_EXTERNAL
J/JL/Lxx-WGE-DO_6,J/JL/Lxx-WGE-DO_6,VAR_EXTERNAL
J/JL/Lxx-WGE-DO_7,J/JL/Lxx-WGE-DO_7,VAR_EXTERNAL
J/JL/Lxx-WGE-DO_8,J/JL/Lxx-WGE-DO_8,VAR_EXTERNAL
J/JL/Lxx-WGE-DO_9,J/JL/Lxx-WGE-DO_9,VAR_EXTERNAL
J/JL/Lxx-WGE-DO_10,J/JL/Lxx-WGE-DO_10,VAR_EXTERNAL
L20,L20,nFC60 S IND SHUNT
L20_1,L20_1,nFC60 S IND SHUNT
L20_2,L20_2,nFC60 S IND SHUNT
L20_3,L20_3,nFC60 S IND SHUNT
L20_4,L20_4,nFC60 S IND SHUNT
L20_5,L20_5,nFC60 S IND SHUNT
L20_6,L20_6,nFC60 S IND SHUNT
L20_7,L20_7,nFC60 S IND SHUNT
L20_8,L20_8,nFC60 S IND SHUNT
L20_9,L20_9,nFC60 S IND SHUNT
LAMP-R,LAMP-R,VAR_EXTERNAL
LAMPTEST,LAMPTEST,VAR_EXTERNAL
LAMP-W,LAMP-W,VAR_EXTERNAL
VDR-DI,VDR-DI,VAR_EXTERNAL
