Name,New Name,Type
FLASH,FLASH,VAR_EXTERNAL
FLASH-500MS,FLASH-500MS,VAR_EXTERNAL
LAMP-R,LAMP-R,VAR_EXTERNAL
LAMPTEST,LAMPTEST,VAR_EXTERNAL
LAMP-Y,LAMP-Y,VAR_EXTERNAL
Wxx,Wxx,nFC61 POINT IND_VDU
Wxx_1,Wxx_1,nFC61 POINT IND_VDU
Wxx_2,Wxx_2,nFC61 POINT IND_VDU
Wxx_3,Wxx_3,nFC61 POINT IND_VDU
Wxx_4,Wxx_4,nFC61 POINT IND_VDU
Wxx-BE_1,Wxx-BE_1,VAR_EXTERNAL
Wxx-BE_2,Wxx-BE_2,VAR_EXTERNAL
Wxx-BE_3,Wxx-BE_3,VAR_EXTERNAL
Wxx-BE_4,Wxx-BE_4,VAR_EXTERNAL
Wxx-BE_5,Wxx-BE_5,VAR_EXTERNAL
Wxx-BE-DO_1,Wxx-BE-DO_1,VAR_EXTERNAL
Wxx-BE-DO_2,Wxx-BE-DO_2,VAR_EXTERNAL
Wxx-BE-DO_3,Wxx-BE-DO_3,VAR_EXTERNAL
Wxx-BE-DO_4,Wxx-BE-DO_4,VAR_EXTERNAL
Wxx-BE-DO_5,Wxx-BE-DO_5,VAR_EXTERNAL
Wxx-BE-F_1,Wxx-BE-F_1,VAR_EXTERNAL
Wxx-BE-F_2,Wxx-BE-F_2,VAR_EXTERNAL
Wxx-BE-F_3,Wxx-BE-F_3,VAR_EXTERNAL
Wxx-BE-F_4,Wxx-BE-F_4,VAR_EXTERNAL
Wxx-BE-F_5,Wxx-BE-F_5,VAR_EXTERNAL
Wxx-BLOCK_1,Wxx-BLOCK_1,VAR_EXTERNAL
Wxx-BLOCK_2,Wxx-BLOCK_2,VAR_EXTERNAL
Wxx-BLOCK_3,Wxx-BLOCK_3,VAR_EXTERNAL
Wxx-BLOCK_4,Wxx-BLOCK_4,VAR_EXTERNAL
Wxx-BLOCK_5,Wxx-BLOCK_5,VAR_EXTERNAL
Wxx-L_1,Wxx-L_1,VAR_EXTERNAL
Wxx-L_2,Wxx-L_2,VAR_EXTERNAL
Wxx-L_3,Wxx-L_3,VAR_EXTERNAL
Wxx-L_4,Wxx-L_4,VAR_EXTERNAL
Wxx-L_5,Wxx-L_5,VAR_EXTERNAL
Wxx-LE_1,Wxx-LE_1,VAR_EXTERNAL
Wxx-LE_2,Wxx-LE_2,VAR_EXTERNAL
Wxx-LE_3,Wxx-LE_3,VAR_EXTERNAL
Wxx-LE_4,Wxx-LE_4,VAR_EXTERNAL
Wxx-LE_5,Wxx-LE_5,VAR_EXTERNAL
Wxx-LE-DO_1,Wxx-LE-DO_1,VAR_EXTERNAL
Wxx-LE-DO_2,Wxx-LE-DO_2,VAR_EXTERNAL
Wxx-LE-DO_3,Wxx-LE-DO_3,VAR_EXTERNAL
Wxx-LE-DO_4,Wxx-LE-DO_4,VAR_EXTERNAL
Wxx-LE-DO_5,Wxx-LE-DO_5,VAR_EXTERNAL
Wxx-LE-F_1,Wxx-LE-F_1,VAR_EXTERNAL
Wxx-LE-F_2,Wxx-LE-F_2,VAR_EXTERNAL
Wxx-LE-F_3,Wxx-LE-F_3,VAR_EXTERNAL
Wxx-LE-F_4,Wxx-LE-F_4,VAR_EXTERNAL
Wxx-LE-F_5,Wxx-LE-F_5,VAR_EXTERNAL
Wxx-LS_1,Wxx-LS_1,VAR_EXTERNAL
Wxx-LS_2,Wxx-LS_2,VAR_EXTERNAL
Wxx-LS_3,Wxx-LS_3,VAR_EXTERNAL
Wxx-LS_4,Wxx-LS_4,VAR_EXTERNAL
Wxx-LS_5,Wxx-LS_5,VAR_EXTERNAL
Wxx-N/RWP-BACK_1-1,Wxx-N/RWP-BACK_1-1,VAR_EXTERNAL
Wxx-N/RWP-BACK_1-2,Wxx-N/RWP-BACK_1-2,VAR_EXTERNAL
Wxx-N/RWP-BACK_1-3,Wxx-N/RWP-BACK_1-3,VAR_EXTERNAL
Wxx-N/RWP-BACK_1-4,Wxx-N/RWP-BACK_1-4,VAR_EXTERNAL
Wxx-N/RWP-BACK_1-5,Wxx-N/RWP-BACK_1-5,VAR_EXTERNAL
Wxx-N/RWP-BACK_1-6,Wxx-N/RWP-BACK_1-6,VAR_EXTERNAL
Wxx-N/RWP-BACK_1-7,Wxx-N/RWP-BACK_1-7,VAR_EXTERNAL
Wxx-N/RWP-BACK_1-8,Wxx-N/RWP-BACK_1-8,VAR_EXTERNAL
Wxx-N/RWP-BACK_1-9,Wxx-N/RWP-BACK_1-9,VAR_EXTERNAL
Wxx-N/RWP-BACK_1-10,Wxx-N/RWP-BACK_1-10,VAR_EXTERNAL
Wxx-N/RWP-BACK_2-1,Wxx-N/RWP-BACK_2-1,VAR_EXTERNAL
Wxx-N/RWP-BACK_2-2,Wxx-N/RWP-BACK_2-2,VAR_EXTERNAL
Wxx-N/RWP-BACK_2-3,Wxx-N/RWP-BACK_2-3,VAR_EXTERNAL
Wxx-N/RWP-BACK_2-4,Wxx-N/RWP-BACK_2-4,VAR_EXTERNAL
Wxx-N/RWP-BACK_2-5,Wxx-N/RWP-BACK_2-5,VAR_EXTERNAL
Wxx-N/RWP-BACK_2-6,Wxx-N/RWP-BACK_2-6,VAR_EXTERNAL
Wxx-N/RWP-BACK_2-7,Wxx-N/RWP-BACK_2-7,VAR_EXTERNAL
Wxx-N/RWP-BACK_2-8,Wxx-N/RWP-BACK_2-8,VAR_EXTERNAL
Wxx-N/RWP-BACK_2-9,Wxx-N/RWP-BACK_2-9,VAR_EXTERNAL
Wxx-N/RWP-BACK_2-10,Wxx-N/RWP-BACK_2-10,VAR_EXTERNAL
Wxx-N/RWP-BACK_3-1,Wxx-N/RWP-BACK_3-1,VAR_EXTERNAL
Wxx-N/RWP-BACK_3-2,Wxx-N/RWP-BACK_3-2,VAR_EXTERNAL
Wxx-N/RWP-BACK_3-3,Wxx-N/RWP-BACK_3-3,VAR_EXTERNAL
Wxx-N/RWP-BACK_3-4,Wxx-N/RWP-BACK_3-4,VAR_EXTERNAL
Wxx-N/RWP-BACK_3-5,Wxx-N/RWP-BACK_3-5,VAR_EXTERNAL
Wxx-N/RWP-BACK_3-6,Wxx-N/RWP-BACK_3-6,VAR_EXTERNAL
Wxx-N/RWP-BACK_3-7,Wxx-N/RWP-BACK_3-7,VAR_EXTERNAL
Wxx-N/RWP-BACK_3-8,Wxx-N/RWP-BACK_3-8,VAR_EXTERNAL
Wxx-N/RWP-BACK_3-9,Wxx-N/RWP-BACK_3-9,VAR_EXTERNAL
