Name,New Name,Type
Dxx-BE_1,Dxx-BE_1,VAR_EXTERNAL
Dxx-BE_2,Dxx-BE_2,VAR_EXTERNAL
Dxx-BE_3,Dxx-BE_3,VAR_EXTERNAL
Dxx-BE_4,Dxx-BE_4,VAR_EXTERNAL
Dxx-BE_5,Dxx-BE_5,VAR_EXTERNAL
Dxx-BE_6,Dxx-BE_6,VAR_EXTERNAL
Dxx-BE_7,Dxx-BE_7,VAR_EXTERNAL
Dxx-BE_8,Dxx-BE_8,VAR_EXTERNAL
Dxx-BE_9,Dxx-BE_9,VAR_EXTERNAL
Dxx-BE_10,Dxx-BE_10,VAR_EXTERNAL
Dxx-BE-DO_1,Dxx-BE-DO_1,VAR_EXTERNAL
Dxx-BE-DO_2,Dxx-BE-DO_2,VAR_EXTERNAL
Dxx-BE-DO_3,Dxx-BE-DO_3,VAR_EXTERNAL
Dxx-BE-DO_4,Dxx-BE-DO_4,VAR_EXTERNAL
Dxx-BE-DO_5,Dxx-BE-DO_5,VAR_EXTERNAL
Dxx-BE-DO_6,Dxx-BE-DO_6,VAR_EXTERNAL
Dxx-BE-DO_7,Dxx-BE-DO_7,VAR_EXTERNAL
Dxx-BE-DO_8,Dxx-BE-DO_8,VAR_EXTERNAL
Dxx-BE-DO_9,Dxx-BE-DO_9,VAR_EXTERNAL
Dxx-BE-DO_10,Dxx-BE-DO_10,VAR_EXTERNAL
Dxx-BE-F_1,Dxx-BE-F_1,VAR_EXTERNAL
Dxx-BE-F_2,Dxx-BE-F_2,VAR_EXTERNAL
Dxx-BE-F_3,Dxx-BE-F_3,VAR_EXTERNAL
Dxx-BE-F_4,Dxx-BE-F_4,VAR_EXTERNAL
Dxx-BE-F_5,Dxx-BE-F_5,VAR_EXTERNAL
Dxx-BE-F_6,Dxx-BE-F_6,VAR_EXTERNAL
Dxx-BE-F_7,Dxx-BE-F_7,VAR_EXTERNAL
Dxx-BE-F_8,Dxx-BE-F_8,VAR_EXTERNAL
Dxx-BE-F_9,Dxx-BE-F_9,VAR_EXTERNAL
