Name,New Name,Type
LAMP-R,LAMP-R,VAR_EXTERNAL
LAMPTEST,LAMPTEST,VAR_EXTERNAL
LAMP-Y,LAMP-Y,VAR_EXTERNAL
T IND EMPL,T IND EMPL,nFC80 T IND EMPL
T IND EMPL_1,T IND EMPL_1,nFC80 T IND EMPL
T IND EMPL_2,T IND EMPL_2,nFC80 T IND EMPL
T IND EMPL_3,T IND EMPL_3,nFC80 T IND EMPL
T IND EMPL_4,T IND EMPL_4,nFC80 T IND EMPL
T IND EMPL_5,T IND EMPL_5,nFC80 T IND EMPL
T IND EMPL_6,T IND EMPL_6,nFC80 T IND EMPL
T IND EMPL_7,T IND EMPL_7,nFC80 T IND EMPL
T IND EMPL_8,T IND EMPL_8,nFC80 T IND EMPL
T IND EMPL_9,T IND EMPL_9,nFC80 T IND EMPL
Wxx-NWZ/RWZ-ES_1-1,Wxx-NWZ/RWZ-ES_1-1,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-2,Wxx-NWZ/RWZ-ES_1-2,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-3,Wxx-NWZ/RWZ-ES_1-3,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-4,Wxx-NWZ/RWZ-ES_1-4,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-5,Wxx-NWZ/RWZ-ES_1-5,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-6,Wxx-NWZ/RWZ-ES_1-6,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-7,Wxx-NWZ/RWZ-ES_1-7,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-8,Wxx-NWZ/RWZ-ES_1-8,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-9,Wxx-NWZ/RWZ-ES_1-9,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-10,Wxx-NWZ/RWZ-ES_1-10,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-1,Wxx-NWZ/RWZ-ES_2-1,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-2,Wxx-NWZ/RWZ-ES_2-2,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-3,Wxx-NWZ/RWZ-ES_2-3,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-4,Wxx-NWZ/RWZ-ES_2-4,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-5,Wxx-NWZ/RWZ-ES_2-5,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-6,Wxx-NWZ/RWZ-ES_2-6,VAR_EXTERNAL
