Name,New Name,Type
A10T_57,A10T_57,nFC81 T IND
A10T_58,A10T_58,nFC81 T IND
A10T_59,A10T_59,nFC81 T IND
A10T_60,A10T_60,nFC81 T IND
A10T_61,A10T_61,nFC81 T IND
A10T_62,A10T_62,nFC81 T IND
A10T_63,A10T_63,nFC81 T IND
A10T_64,A10T_64,nFC81 T IND
A10T_65,A10T_65,nFC81 T IND
A10T_66,A10T_66,nFC81 T IND
LAMP-R,LAMP-R,VAR_EXTERNAL
LAMPTEST,LAMPTEST,VAR_EXTERNAL
LAMP-Y,LAMP-Y,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-1,Wxx-NWZ/RWZ-ES_1-1,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-2,Wxx-NWZ/RWZ-ES_1-2,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-3,Wxx-NWZ/RWZ-ES_1-3,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-4,Wxx-NWZ/RWZ-ES_1-4,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-5,Wxx-NWZ/RWZ-ES_1-5,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-6,Wxx-NWZ/RWZ-ES_1-6,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-7,Wxx-NWZ/RWZ-ES_1-7,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-8,Wxx-NWZ/RWZ-ES_1-8,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-9,Wxx-NWZ/RWZ-ES_1-9,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_1-10,Wxx-NWZ/RWZ-ES_1-10,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-1,Wxx-NWZ/RWZ-ES_2-1,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-2,Wxx-NWZ/RWZ-ES_2-2,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-3,Wxx-NWZ/RWZ-ES_2-3,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-4,Wxx-NWZ/RWZ-ES_2-4,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-5,Wxx-NWZ/RWZ-ES_2-5,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-6,Wxx-NWZ/RWZ-ES_2-6,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-7,Wxx-NWZ/RWZ-ES_2-7,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-8,Wxx-NWZ/RWZ-ES_2-8,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-9,Wxx-NWZ/RWZ-ES_2-9,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_2-10,Wxx-NWZ/RWZ-ES_2-10,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_3-1,Wxx-NWZ/RWZ-ES_3-1,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_3-2,Wxx-NWZ/RWZ-ES_3-2,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_3-3,Wxx-NWZ/RWZ-ES_3-3,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_3-4,Wxx-NWZ/RWZ-ES_3-4,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_3-5,Wxx-NWZ/RWZ-ES_3-5,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_3-6,Wxx-NWZ/RWZ-ES_3-6,VAR_EXTERNAL
Wxx-NWZ/RWZ-ES_3-7,Wxx-NWZ/RWZ-ES_3-7,VAR_EXTERNAL
