Name,New Name,Type
0_MODBUS_FROM_VDU1_1,0_MODBUS_FROM_VDU1_1,VAR_EXTERNAL
0_MODBUS_FROM_VDU1_2,0_MODBUS_FROM_VDU1_2,VAR_EXTERNAL
0_MODBUS_FROM_VDU1_3,0_MODBUS_FROM_VDU1_3,VAR_EXTERNAL
0_MODBUS_FROM_VDU1_4,0_MODBUS_FROM_VDU1_4,VAR_EXTERNAL
0_MODBUS_FROM_VDU1_5,0_MODBUS_FROM_VDU1_5,VAR_EXTERNAL
0_MODBUS_FROM_VDU1_6,0_MODBUS_FROM_VDU1_6,VAR_EXTERNAL
0_MODBUS_FROM_VDU1_7,0_MODBUS_FROM_VDU1_7,VAR_EXTERNAL
0_MODBUS_FROM_VDU2_1,0_MODBUS_FROM_VDU2_1,VAR_EXTERNAL
0_MODBUS_FROM_VDU2_2,0_MODBUS_FROM_VDU2_2,VAR_EXTERNAL
0_MODBUS_FROM_VDU2_3,0_MODBUS_FROM_VDU2_3,VAR_EXTERNAL
0_MODBUS_FROM_VDU2_4,0_MODBUS_FROM_VDU2_4,VAR_EXTERNAL
0_MODBUS_FROM_VDU2_5,0_MODBUS_FROM_VDU2_5,VAR_EXTERNAL
0_MODBUS_FROM_VDU2_6,0_MODBUS_FROM_VDU2_6,VAR_EXTERNAL
0_MODBUS_FROM_VDU2_7,0_MODBUS_FROM_VDU2_7,VAR_EXTERNAL
CS1-COMM-OK,CS1-COMM-OK,VAR_EXTERNAL
CS2-COMM-OK,CS2-COMM-OK,VAR_EXTERNAL
IN1-COMM-OK,IN1-COMM-OK,VAR_EXTERNAL
IN2-COMM-OK,IN2-COMM-OK,VAR_EXTERNAL
INPUT1,INPUT1,VAR_EXTERNAL
INPUT2,INPUT2,VAR_EXTERNAL
INPUT3,INPUT3,VAR_EXTERNAL
INPUT4,INPUT4,VAR_EXTERNAL
INPUT5,INPUT5,VAR_EXTERNAL
INPUT6,INPUT6,VAR_EXTERNAL
INPUT7,INPUT7,VAR_EXTERNAL
INPUT8,INPUT8,VAR_EXTERNAL
INPUT9,INPUT9,VAR_EXTERNAL
INPUT10,INPUT10,VAR_EXTERNAL
INPUT11,INPUT11,VAR_EXTERNAL
