Name,New Name,Type
J/JL/L/A/Xxx-RRLS_1,J/JL/L/A/Xxx-RRLS_1,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_2,J/JL/L/A/Xxx-RRLS_2,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_3,J/JL/L/A/Xxx-RRLS_3,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_4,J/JL/L/A/Xxx-RRLS_4,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_5,J/JL/L/A/Xxx-RRLS_5,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_6,J/JL/L/A/Xxx-RRLS_6,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_7,J/JL/L/A/Xxx-RRLS_7,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_8,J/JL/L/A/Xxx-RRLS_8,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_9,J/JL/L/A/Xxx-RRLS_9,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_10,J/JL/L/A/Xxx-RRLS_10,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_11,J/JL/L/A/Xxx-RRLS_11,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_12,J/JL/L/A/Xxx-RRLS_12,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_13,J/JL/L/A/Xxx-RRLS_13,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_14,J/JL/L/A/Xxx-RRLS_14,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_15,J/JL/L/A/Xxx-RRLS_15,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_16,J/JL/L/A/Xxx-RRLS_16,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_17,J/JL/L/A/Xxx-RRLS_17,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_18,J/JL/L/A/Xxx-RRLS_18,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_19,J/JL/L/A/Xxx-RRLS_19,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_20,J/JL/L/A/Xxx-RRLS_20,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_21,J/JL/L/A/Xxx-RRLS_21,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_22,J/JL/L/A/Xxx-RRLS_22,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_23,J/JL/L/A/Xxx-RRLS_23,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_24,J/JL/L/A/Xxx-RRLS_24,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_25,J/JL/L/A/Xxx-RRLS_25,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_26,J/JL/L/A/Xxx-RRLS_26,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_27,J/JL/L/A/Xxx-RRLS_27,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_28,J/JL/L/A/Xxx-RRLS_28,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_29,J/JL/L/A/Xxx-RRLS_29,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_30,J/JL/L/A/Xxx-RRLS_30,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_31,J/JL/L/A/Xxx-RRLS_31,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_32,J/JL/L/A/Xxx-RRLS_32,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS_33,J/JL/L/A/Xxx-RRLS_33,VAR_EXTERNAL
