Name,New Name,Type
J/JL/Lxx-xx-E/T/S-AS-SR_1-1,J/JL/Lxx-xx-E/T/S-AS-SR_1-1,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-2,J/JL/Lxx-xx-E/T/S-AS-SR_1-2,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-3,J/JL/Lxx-xx-E/T/S-AS-SR_1-3,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-4,J/JL/Lxx-xx-E/T/S-AS-SR_1-4,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-5,J/JL/Lxx-xx-E/T/S-AS-SR_1-5,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-6,J/JL/Lxx-xx-E/T/S-AS-SR_1-6,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-7,J/JL/Lxx-xx-E/T/S-AS-SR_1-7,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-8,J/JL/Lxx-xx-E/T/S-AS-SR_1-8,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-9,J/JL/Lxx-xx-E/T/S-AS-SR_1-9,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-10,J/JL/Lxx-xx-E/T/S-AS-SR_1-10,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-11,J/JL/Lxx-xx-E/T/S-AS-SR_1-11,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-12,J/JL/Lxx-xx-E/T/S-AS-SR_1-12,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-13,J/JL/Lxx-xx-E/T/S-AS-SR_1-13,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-14,J/JL/Lxx-xx-E/T/S-AS-SR_1-14,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-15,J/JL/Lxx-xx-E/T/S-AS-SR_1-15,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-16,J/JL/Lxx-xx-E/T/S-AS-SR_1-16,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-17,J/JL/Lxx-xx-E/T/S-AS-SR_1-17,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-18,J/JL/Lxx-xx-E/T/S-AS-SR_1-18,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-19,J/JL/Lxx-xx-E/T/S-AS-SR_1-19,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-AS-SR_1-20,J/JL/Lxx-xx-E/T/S-AS-SR_1-20,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-L_1-1,J/JL/Lxx-xx-E/T/S-L_1-1,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-L_1-2,J/JL/Lxx-xx-E/T/S-L_1-2,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-L_1-3,J/JL/Lxx-xx-E/T/S-L_1-3,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-L_1-4,J/JL/Lxx-xx-E/T/S-L_1-4,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-L_1-5,J/JL/Lxx-xx-E/T/S-L_1-5,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-L_1-6,J/JL/Lxx-xx-E/T/S-L_1-6,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-L_1-7,J/JL/Lxx-xx-E/T/S-L_1-7,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-L_1-8,J/JL/Lxx-xx-E/T/S-L_1-8,VAR_EXTERNAL
J/JL/Lxx-xx-E/T/S-L_1-9,J/JL/Lxx-xx-E/T/S-L_1-9,VAR_EXTERNAL
