Name,New Name,Type
J/JLxx-ECR_1,J/JLxx-ECR_1,VAR_EXTERNAL
J/JLxx-ECR_2,J/JLxx-ECR_2,VAR_EXTERNAL
J/JLxx-ECR_3,J/JLxx-ECR_3,VAR_EXTERNAL
J/JLxx-ECR_4,J/JLxx-ECR_4,VAR_EXTERNAL
J/JLxx-ECR_5,J/JLxx-ECR_5,VAR_EXTERNAL
J/JLxx-ECR_6,J/JLxx-ECR_6,VAR_EXTERNAL
J/JLxx-ECR_7,J/JLxx-ECR_7,VAR_EXTERNAL
J/JLxx-ECR_8,J/JLxx-ECR_8,VAR_EXTERNAL
J/JLxx-ECR_9,J/JLxx-ECR_9,VAR_EXTERNAL
J/JLxx-ECR_10,J/JLxx-ECR_10,VAR_EXTERNAL
J/JLxx-ECR_11,J/JLxx-ECR_11,VAR_EXTERNAL
J/JLxx-ECR_12,J/JLxx-ECR_12,VAR_EXTERNAL
J/JLxx-ECR_13,J/JLxx-ECR_13,VAR_EXTERNAL
J/JLxx-ECR_14,J/JLxx-ECR_14,VAR_EXTERNAL
J/JLxx-ECR_15,J/JLxx-ECR_15,VAR_EXTERNAL
J/JLxx-ECR_16,J/JLxx-ECR_16,VAR_EXTERNAL
J/JLxx-ECR_17,J/JLxx-ECR_17,VAR_EXTERNAL
J/JLxx-ECR_18,J/JLxx-ECR_18,VAR_EXTERNAL
J/JLxx-ECR_19,J/JLxx-ECR_19,VAR_EXTERNAL
J/JLxx-ECR_20,J/JLxx-ECR_20,VAR_EXTERNAL
J/JLxx-ECR-DI_1,J/JLxx-ECR-DI_1,VAR_EXTERNAL
J/JLxx-ECR-DI_2,J/JLxx-ECR-DI_2,VAR_EXTERNAL
J/JLxx-ECR-DI_3,J/JLxx-ECR-DI_3,VAR_EXTERNAL
J/JLxx-ECR-DI_4,J/JLxx-ECR-DI_4,VAR_EXTERNAL
J/JLxx-ECR-DI_5,J/JLxx-ECR-DI_5,VAR_EXTERNAL
J/JLxx-ECR-DI_6,J/JLxx-ECR-DI_6,VAR_EXTERNAL
J/JLxx-ECR-DI_7,J/JLxx-ECR-DI_7,VAR_EXTERNAL
J/JLxx-ECR-DI_8,J/JLxx-ECR-DI_8,VAR_EXTERNAL
J/JLxx-ECR-DI_9,J/JLxx-ECR-DI_9,VAR_EXTERNAL
J/JLxx-ECR-DI_10,J/JLxx-ECR-DI_10,VAR_EXTERNAL
J/JLxx-ECR-DI_11,J/JLxx-ECR-DI_11,VAR_EXTERNAL
J/JLxx-ECR-DI_12,J/JLxx-ECR-DI_12,VAR_EXTERNAL
J/JLxx-ECR-DI_13,J/JLxx-ECR-DI_13,VAR_EXTERNAL
J/JLxx-ECR-DI_14,J/JLxx-ECR-DI_14,VAR_EXTERNAL
J/JLxx-ECR-DI_15,J/JLxx-ECR-DI_15,VAR_EXTERNAL
J/JLxx-ECR-DI_16,J/JLxx-ECR-DI_16,VAR_EXTERNAL
J/JLxx-ECR-DI_17,J/JLxx-ECR-DI_17,VAR_EXTERNAL
J/JLxx-ECR-DI_18,J/JLxx-ECR-DI_18,VAR_EXTERNAL
J/JLxx-ECR-DI_19,J/JLxx-ECR-DI_19,VAR_EXTERNAL
J/JLxx-ECR-DI_20,J/JLxx-ECR-DI_20,VAR_EXTERNAL
J/JLxx-HR/DR-DI_1,J/JLxx-HR/DR-DI_1,VAR_EXTERNAL
J/JLxx-HR/DR-DI_2,J/JLxx-HR/DR-DI_2,VAR_EXTERNAL
J/JLxx-HR/DR-DI_3,J/JLxx-HR/DR-DI_3,VAR_EXTERNAL
J/JLxx-HR/DR-DI_4,J/JLxx-HR/DR-DI_4,VAR_EXTERNAL
J/JLxx-HR/DR-DI_5,J/JLxx-HR/DR-DI_5,VAR_EXTERNAL
J/JLxx-HR/DR-DI_6,J/JLxx-HR/DR-DI_6,VAR_EXTERNAL
J/JLxx-HR/DR-DI_7,J/JLxx-HR/DR-DI_7,VAR_EXTERNAL
J/JLxx-HR/DR-DI_8,J/JLxx-HR/DR-DI_8,VAR_EXTERNAL
J/JLxx-HR/DR-DI_9,J/JLxx-HR/DR-DI_9,VAR_EXTERNAL
J/JLxx-HR/DR-DI_10,J/JLxx-HR/DR-DI_10,VAR_EXTERNAL
J/JLxx-HR/DR-DI_11,J/JLxx-HR/DR-DI_11,VAR_EXTERNAL
J/JLxx-HR/DR-DI_12,J/JLxx-HR/DR-DI_12,VAR_EXTERNAL
J/JLxx-HR/DR-DI_13,J/JLxx-HR/DR-DI_13,VAR_EXTERNAL
J/JLxx-HR/DR-DI_14,J/JLxx-HR/DR-DI_14,VAR_EXTERNAL
J/JLxx-HR/DR-DI_15,J/JLxx-HR/DR-DI_15,VAR_EXTERNAL
J/JLxx-HR/DR-DI_16,J/JLxx-HR/DR-DI_16,VAR_EXTERNAL
J/JLxx-HR/DR-DI_17,J/JLxx-HR/DR-DI_17,VAR_EXTERNAL
