Name,New Name,Type
J/JL/L/A/Xxx-RRLS-TE_1-1,J/JL/L/A/Xxx-RRLS-TE_1-1,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-2,J/JL/L/A/Xxx-RRLS-TE_1-2,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-3,J/JL/L/A/Xxx-RRLS-TE_1-3,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-4,J/JL/L/A/Xxx-RRLS-TE_1-4,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-5,J/JL/L/A/Xxx-RRLS-TE_1-5,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-6,J/JL/L/A/Xxx-RRLS-TE_1-6,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-7,J/JL/L/A/Xxx-RRLS-TE_1-7,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-8,J/JL/L/A/Xxx-RRLS-TE_1-8,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-9,J/JL/L/A/Xxx-RRLS-TE_1-9,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-10,J/JL/L/A/Xxx-RRLS-TE_1-10,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-11,J/JL/L/A/Xxx-RRLS-TE_1-11,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_1-12,J/JL/L/A/Xxx-RRLS-TE_1-12,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-1,J/JL/L/A/Xxx-RRLS-TE_2-1,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-2,J/JL/L/A/Xxx-RRLS-TE_2-2,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-3,J/JL/L/A/Xxx-RRLS-TE_2-3,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-4,J/JL/L/A/Xxx-RRLS-TE_2-4,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-5,J/JL/L/A/Xxx-RRLS-TE_2-5,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-6,J/JL/L/A/Xxx-RRLS-TE_2-6,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-7,J/JL/L/A/Xxx-RRLS-TE_2-7,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-8,J/JL/L/A/Xxx-RRLS-TE_2-8,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-9,J/JL/L/A/Xxx-RRLS-TE_2-9,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-10,J/JL/L/A/Xxx-RRLS-TE_2-10,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-11,J/JL/L/A/Xxx-RRLS-TE_2-11,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_2-12,J/JL/L/A/Xxx-RRLS-TE_2-12,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_3-1,J/JL/L/A/Xxx-RRLS-TE_3-1,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_3-2,J/JL/L/A/Xxx-RRLS-TE_3-2,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_3-3,J/JL/L/A/Xxx-RRLS-TE_3-3,VAR_EXTERNAL
J/JL/L/A/Xxx-RRLS-TE_3-4,J/JL/L/A/Xxx-RRLS-TE_3-4,VAR_EXTERNAL
