Name,New Name,Type
52-T,52-T,vFC 58 OVL APPR LOCK
52-T_1,52-T_1,vFC 58 OVL APPR LOCK
52-T_2,52-T_2,vFC 58 OVL APPR LOCK
52-T_3,52-T_3,vFC 58 OVL APPR LOCK
52-T_4,52-T_4,vFC 58 OVL APPR LOCK
52-T_5,52-T_5,vFC 58 OVL APPR LOCK
52-T_6,52-T_6,vFC 58 OVL APPR LOCK
52-T_7,52-T_7,vFC 58 OVL APPR LOCK
52-T_8,52-T_8,vFC 58 OVL APPR LOCK
52-T_9,52-T_9,vFC 58 OVL APPR LOCK
VDR-DI,VDR-DI,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-1,Wxx-NWZ/RWZ_1-1,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-2,Wxx-NWZ/RWZ_1-2,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-3,Wxx-NWZ/RWZ_1-3,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-4,Wxx-NWZ/RWZ_1-4,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-5,Wxx-NWZ/RWZ_1-5,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-6,Wxx-NWZ/RWZ_1-6,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-7,Wxx-NWZ/RWZ_1-7,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-8,Wxx-NWZ/RWZ_1-8,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-9,Wxx-NWZ/RWZ_1-9,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-10,Wxx-NWZ/RWZ_1-10,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-11,Wxx-NWZ/RWZ_1-11,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-12,Wxx-NWZ/RWZ_1-12,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-13,Wxx-NWZ/RWZ_1-13,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-14,Wxx-NWZ/RWZ_1-14,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-15,Wxx-NWZ/RWZ_1-15,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-16,Wxx-NWZ/RWZ_1-16,VAR_EXTERNAL
Wxx-NWZ/RWZ_1-17,Wxx-NWZ/RWZ_1-17,VAR_EXTERNAL
