Name,New Name,Type
J/JL/Lxx-E-AS_1,J/JL/Lxx-E-AS_1,VAR_EXTERNAL
J/JL/Lxx-E-AS_2,J/JL/Lxx-E-AS_2,VAR_EXTERNAL
J/JL/Lxx-E-AS_3,J/JL/Lxx-E-AS_3,VAR_EXTERNAL
J/JL/Lxx-E-AS_4,J/JL/Lxx-E-AS_4,VAR_EXTERNAL
J/JL/Lxx-E-AS_5,J/JL/Lxx-E-AS_5,VAR_EXTERNAL
J/JL/Lxx-E-AS_6,J/JL/Lxx-E-AS_6,VAR_EXTERNAL
J/JL/Lxx-E-AS_7,J/JL/Lxx-E-AS_7,VAR_EXTERNAL
J/JL/Lxx-E-AS_8,J/JL/Lxx-E-AS_8,VAR_EXTERNAL
J/JL/Lxx-E-AS_9,J/JL/Lxx-E-AS_9,VAR_EXTERNAL
J/JL/Lxx-E-AS_10,J/JL/Lxx-E-AS_10,VAR_EXTERNAL
J/JL/Lxx-ER-DO_1,J/JL/Lxx-ER-DO_1,VAR_EXTERNAL
J/JL/Lxx-ER-DO_2,J/JL/Lxx-ER-DO_2,VAR_EXTERNAL
J/JL/Lxx-ER-DO_3,J/JL/Lxx-ER-DO_3,VAR_EXTERNAL
J/JL/Lxx-ER-DO_4,J/JL/Lxx-ER-DO_4,VAR_EXTERNAL
J/JL/Lxx-ER-DO_5,J/JL/Lxx-ER-DO_5,VAR_EXTERNAL
J/JL/Lxx-ER-DO_6,J/JL/Lxx-ER-DO_6,VAR_EXTERNAL
J/JL/Lxx-ER-DO_7,J/JL/Lxx-ER-DO_7,VAR_EXTERNAL
J/JL/Lxx-ER-DO_8,J/JL/Lxx-ER-DO_8,VAR_EXTERNAL
J/JL/Lxx-ER-DO_9,J/JL/Lxx-ER-DO_9,VAR_EXTERNAL
J/JL/Lxx-ER-DO_10,J/JL/Lxx-ER-DO_10,VAR_EXTERNAL
J/JL/Lxx-GR-DO_1,J/JL/Lxx-GR-DO_1,VAR_EXTERNAL
J/JL/Lxx-GR-DO_2,J/JL/Lxx-GR-DO_2,VAR_EXTERNAL
J/JL/Lxx-GR-DO_3,J/JL/Lxx-GR-DO_3,VAR_EXTERNAL
J/JL/Lxx-GR-DO_4,J/JL/Lxx-GR-DO_4,VAR_EXTERNAL
J/JL/Lxx-GR-DO_5,J/JL/Lxx-GR-DO_5,VAR_EXTERNAL
J/JL/Lxx-GR-DO_6,J/JL/Lxx-GR-DO_6,VAR_EXTERNAL
J/JL/Lxx-GR-DO_7,J/JL/Lxx-GR-DO_7,VAR_EXTERNAL
J/JL/Lxx-GR-DO_8,J/JL/Lxx-GR-DO_8,VAR_EXTERNAL
J/JL/Lxx-GR-DO_9,J/JL/Lxx-GR-DO_9,VAR_EXTERNAL
J/JL/Lxx-GR-DO_10,J/JL/Lxx-GR-DO_10,VAR_EXTERNAL
J/JL/Lxx-HR-DO_1,J/JL/Lxx-HR-DO_1,VAR_EXTERNAL
J/JL/Lxx-HR-DO_2,J/JL/Lxx-HR-DO_2,VAR_EXTERNAL
J/JL/Lxx-HR-DO_3,J/JL/Lxx-HR-DO_3,VAR_EXTERNAL
J/JL/Lxx-HR-DO_4,J/JL/Lxx-HR-DO_4,VAR_EXTERNAL
J/JL/Lxx-HR-DO_5,J/JL/Lxx-HR-DO_5,VAR_EXTERNAL
J/JL/Lxx-HR-DO_6,J/JL/Lxx-HR-DO_6,VAR_EXTERNAL
J/JL/Lxx-HR-DO_7,J/JL/Lxx-HR-DO_7,VAR_EXTERNAL
J/JL/Lxx-HR-DO_8,J/JL/Lxx-HR-DO_8,VAR_EXTERNAL
J/JL/Lxx-HR-DO_9,J/JL/Lxx-HR-DO_9,VAR_EXTERNAL
J/JL/Lxx-HR-DO_10,J/JL/Lxx-HR-DO_10,VAR_EXTERNAL
