Name,New Name,Type
J/JL/Lxx-GR-DO_1,J/JL/Lxx-GR-DO_1,VAR_EXTERNAL
J/JL/Lxx-GR-DO_2,J/JL/Lxx-GR-DO_2,VAR_EXTERNAL
J/JL/Lxx-GR-DO_3,J/JL/Lxx-GR-DO_3,VAR_EXTERNAL
J/JL/Lxx-GR-DO_4,J/JL/Lxx-GR-DO_4,VAR_EXTERNAL
J/JL/Lxx-GR-DO_5,J/JL/Lxx-GR-DO_5,VAR_EXTERNAL
J/JL/Lxx-GR-DO_6,J/JL/Lxx-GR-DO_6,VAR_EXTERNAL
J/JL/Lxx-GR-DO_7,J/JL/Lxx-GR-DO_7,VAR_EXTERNAL
J/JL/Lxx-GR-DO_8,J/JL/Lxx-GR-DO_8,VAR_EXTERNAL
J/JL/Lxx-GR-DO_9,J/JL/Lxx-GR-DO_9,VAR_EXTERNAL
J/JL/Lxx-GR-DO_10,J/JL/Lxx-GR-DO_10,VAR_EXTERNAL
J/JL/Lxx-INT-AS_1,J/JL/Lxx-INT-AS_1,VAR_EXTERNAL
J/JL/Lxx-INT-AS_2,J/JL/Lxx-INT-AS_2,VAR_EXTERNAL
J/JL/Lxx-INT-AS_3,J/JL/Lxx-INT-AS_3,VAR_EXTERNAL
J/JL/Lxx-INT-AS_4,J/JL/Lxx-INT-AS_4,VAR_EXTERNAL
J/JL/Lxx-INT-AS_5,J/JL/Lxx-INT-AS_5,VAR_EXTERNAL
J/JL/Lxx-INT-AS_6,J/JL/Lxx-INT-AS_6,VAR_EXTERNAL
J/JL/Lxx-INT-AS_7,J/JL/Lxx-INT-AS_7,VAR_EXTERNAL
J/JL/Lxx-INT-AS_8,J/JL/Lxx-INT-AS_8,VAR_EXTERNAL
J/JL/Lxx-INT-AS_9,J/JL/Lxx-INT-AS_9,VAR_EXTERNAL
J/JL/Lxx-INT-AS_10,J/JL/Lxx-INT-AS_10,VAR_EXTERNAL
J/JL/Lxx-S-AS_1,J/JL/Lxx-S-AS_1,VAR_EXTERNAL
J/JL/Lxx-S-AS_2,J/JL/Lxx-S-AS_2,VAR_EXTERNAL
J/JL/Lxx-S-AS_3,J/JL/Lxx-S-AS_3,VAR_EXTERNAL
J/JL/Lxx-S-AS_4,J/JL/Lxx-S-AS_4,VAR_EXTERNAL
J/JL/Lxx-S-AS_5,J/JL/Lxx-S-AS_5,VAR_EXTERNAL
J/JL/Lxx-S-AS_6,J/JL/Lxx-S-AS_6,VAR_EXTERNAL
J/JL/Lxx-S-AS_7,J/JL/Lxx-S-AS_7,VAR_EXTERNAL
J/JL/Lxx-S-AS_8,J/JL/Lxx-S-AS_8,VAR_EXTERNAL
J/JL/Lxx-S-AS_9,J/JL/Lxx-S-AS_9,VAR_EXTERNAL
J/JL/Lxx-S-AS_10,J/JL/Lxx-S-AS_10,VAR_EXTERNAL
L20_36,L20_36,vFC 60 APPR LOCK (SHUNT)
L20_37,L20_37,vFC 60 APPR LOCK (SHUNT)
L20_39,L20_39,vFC 60 APPR LOCK (SHUNT)
L20_40,L20_40,vFC 60 APPR LOCK (SHUNT)
L20_43,L20_43,vFC 60 APPR LOCK (SHUNT)
L20_44,L20_44,vFC 60 APPR LOCK (SHUNT)
L20_45,L20_45,vFC 60 APPR LOCK (SHUNT)
L20_46,L20_46,vFC 60 APPR LOCK (SHUNT)
L20_47,L20_47,vFC 60 APPR LOCK (SHUNT)
L20_48,L20_48,vFC 60 APPR LOCK (SHUNT)
RR,RR,VAR_EXTERNAL
VDR-DI,VDR-DI,VAR_EXTERNAL
xx-TPB_1,xx-TPB_1,VAR_EXTERNAL
xx-TPB_2,xx-TPB_2,VAR_EXTERNAL
xx-TPB_3,xx-TPB_3,VAR_EXTERNAL
xx-TPB_4,xx-TPB_4,VAR_EXTERNAL
xx-TPB_5,xx-TPB_5,VAR_EXTERNAL
xx-TPB_6,xx-TPB_6,VAR_EXTERNAL
xx-TPB_7,xx-TPB_7,VAR_EXTERNAL
xx-TPB_8,xx-TPB_8,VAR_EXTERNAL
xx-TPB_9,xx-TPB_9,VAR_EXTERNAL
xx-TPB_10,xx-TPB_10,VAR_EXTERNAL
xx-TPF_1,xx-TPF_1,VAR_EXTERNAL
xx-TPF_2,xx-TPF_2,VAR_EXTERNAL
xx-TPF_3,xx-TPF_3,VAR_EXTERNAL
xx-TPF_4,xx-TPF_4,VAR_EXTERNAL
xx-TPF_5,xx-TPF_5,VAR_EXTERNAL
xx-TPF_6,xx-TPF_6,VAR_EXTERNAL
xx-TPF_7,xx-TPF_7,VAR_EXTERNAL
xx-TPF_8,xx-TPF_8,VAR_EXTERNAL
xx-TPF_9,xx-TPF_9,VAR_EXTERNAL
xx-TPF_10,xx-TPF_10,VAR_EXTERNAL
