Name,New Name,Type
Dxx-B-N/R_1-1,Dxx-B-N/R_1-1,VAR_EXTERNAL
Dxx-B-N/R_1-2,Dxx-B-N/R_1-2,VAR_EXTERNAL
Dxx-B-N/R_1-3,Dxx-B-N/R_1-3,VAR_EXTERNAL
Dxx-B-N/R_1-4,Dxx-B-N/R_1-4,VAR_EXTERNAL
Dxx-B-N/R_1-5,Dxx-B-N/R_1-5,VAR_EXTERNAL
Dxx-B-N/R_1-6,Dxx-B-N/R_1-6,VAR_EXTERNAL
Dxx-B-N/R_1-7,Dxx-B-N/R_1-7,VAR_EXTERNAL
Dxx-B-N/R_1-8,Dxx-B-N/R_1-8,VAR_EXTERNAL
Dxx-B-N/R_1-9,Dxx-B-N/R_1-9,VAR_EXTERNAL
Dxx-B-N/R_1-10,Dxx-B-N/R_1-10,VAR_EXTERNAL
Dxx-B-N/R_2-1,Dxx-B-N/R_2-1,VAR_EXTERNAL
Dxx-B-N/R_2-2,Dxx-B-N/R_2-2,VAR_EXTERNAL
Dxx-B-N/R_2-3,Dxx-B-N/R_2-3,VAR_EXTERNAL
Dxx-B-N/R_2-4,Dxx-B-N/R_2-4,VAR_EXTERNAL
Dxx-B-N/R_2-5,Dxx-B-N/R_2-5,VAR_EXTERNAL
Dxx-B-N/R_2-6,Dxx-B-N/R_2-6,VAR_EXTERNAL
Dxx-B-N/R_2-7,Dxx-B-N/R_2-7,VAR_EXTERNAL
Dxx-B-N/R_2-8,Dxx-B-N/R_2-8,VAR_EXTERNAL
Dxx-B-N/R_2-9,Dxx-B-N/R_2-9,VAR_EXTERNAL
Dxx-B-N/R_2-10,Dxx-B-N/R_2-10,VAR_EXTERNAL
Dxx-B-N/R_3-1,Dxx-B-N/R_3-1,VAR_EXTERNAL
Dxx-B-N/R_3-2,Dxx-B-N/R_3-2,VAR_EXTERNAL
Dxx-B-N/R_3-3,Dxx-B-N/R_3-3,VAR_EXTERNAL
Dxx-B-N/R_3-4,Dxx-B-N/R_3-4,VAR_EXTERNAL
Dxx-B-N/R_3-5,Dxx-B-N/R_3-5,VAR_EXTERNAL
Dxx-B-N/R_3-6,Dxx-B-N/R_3-6,VAR_EXTERNAL
Dxx-B-N/R_3-7,Dxx-B-N/R_3-7,VAR_EXTERNAL
Dxx-B-N/R_3-8,Dxx-B-N/R_3-8,VAR_EXTERNAL
Dxx-B-N/R_3-9,Dxx-B-N/R_3-9,VAR_EXTERNAL
Dxx-B-N/R_3-10,Dxx-B-N/R_3-10,VAR_EXTERNAL
Dxx-B-N/R_4-1,Dxx-B-N/R_4-1,VAR_EXTERNAL
Dxx-B-N/R_4-2,Dxx-B-N/R_4-2,VAR_EXTERNAL
Dxx-B-N/R_4-3,Dxx-B-N/R_4-3,VAR_EXTERNAL
Dxx-B-N/R_4-4,Dxx-B-N/R_4-4,VAR_EXTERNAL
Dxx-B-N/R_4-5,Dxx-B-N/R_4-5,VAR_EXTERNAL
Dxx-B-N/R_4-6,Dxx-B-N/R_4-6,VAR_EXTERNAL
