Name,New Name,Type
J/JL/Lxx-ER-DO_1,J/JL/Lxx-ER-DO_1,VAR_EXTERNAL
J/JL/Lxx-ER-DO_2,J/JL/Lxx-ER-DO_2,VAR_EXTERNAL
J/JL/Lxx-ER-DO_3,J/JL/Lxx-ER-DO_3,VAR_EXTERNAL
J/JL/Lxx-ER-DO_4,J/JL/Lxx-ER-DO_4,VAR_EXTERNAL
J/JL/Lxx-ER-DO_5,J/JL/Lxx-ER-DO_5,VAR_EXTERNAL
J/JL/Lxx-HR-DO_1,J/JL/Lxx-HR-DO_1,VAR_EXTERNAL
J/JL/Lxx-HR-DO_2,J/JL/Lxx-HR-DO_2,VAR_EXTERNAL
J/JL/Lxx-HR-DO_3,J/JL/Lxx-HR-DO_3,VAR_EXTERNAL
J/JL/Lxx-HR-DO_4,J/JL/Lxx-HR-DO_4,VAR_EXTERNAL
J/JL/Lxx-HR-DO_5,J/JL/Lxx-HR-DO_5,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_1,J/JL/Lxx-RST-CTRL_1,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_2,J/JL/Lxx-RST-CTRL_2,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_3,J/JL/Lxx-RST-CTRL_3,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_4,J/JL/Lxx-RST-CTRL_4,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_5,J/JL/Lxx-RST-CTRL_5,VAR_EXTERNAL
J/JL/Lxx-SECR_1,J/JL/Lxx-SECR_1,VAR_EXTERNAL
J/JL/Lxx-SECR_2,J/JL/Lxx-SECR_2,VAR_EXTERNAL
J/JL/Lxx-SECR_3,J/JL/Lxx-SECR_3,VAR_EXTERNAL
J/JL/Lxx-SECR_4,J/JL/Lxx-SECR_4,VAR_EXTERNAL
J/JL/Lxx-SECR_5,J/JL/Lxx-SECR_5,VAR_EXTERNAL
J/JL/Lxx-xx-INT-PAR_1,J/JL/Lxx-xx-INT-PAR_1,VAR_EXTERNAL
J/JL/Lxx-xx-INT-PAR_2,J/JL/Lxx-xx-INT-PAR_2,VAR_EXTERNAL
J/JL/Lxx-xx-INT-PAR_3,J/JL/Lxx-xx-INT-PAR_3,VAR_EXTERNAL
J/JL/Lxx-xx-INT-PAR_4,J/JL/Lxx-xx-INT-PAR_4,VAR_EXTERNAL
J/JL/Lxx-xx-INT-PAR_5,J/JL/Lxx-xx-INT-PAR_5,VAR_EXTERNAL
J/JL/Lxx-xx-RS_1,J/JL/Lxx-xx-RS_1,VAR_EXTERNAL
J/JL/Lxx-xx-RS_2,J/JL/Lxx-xx-RS_2,VAR_EXTERNAL
J/JL/Lxx-xx-RS_3,J/JL/Lxx-xx-RS_3,VAR_EXTERNAL
J/JL/Lxx-xx-RS_4,J/JL/Lxx-xx-RS_4,VAR_EXTERNAL
J/JL/Lxx-xx-RS_5,J/JL/Lxx-xx-RS_5,VAR_EXTERNAL
J/JL/Lxx-xx-S-2-L_1,J/JL/Lxx-xx-S-2-L_1,VAR_EXTERNAL
J/JL/Lxx-xx-S-2-L_2,J/JL/Lxx-xx-S-2-L_2,VAR_EXTERNAL
J/JL/Lxx-xx-S-2-L_3,J/JL/Lxx-xx-S-2-L_3,VAR_EXTERNAL
J/JL/Lxx-xx-S-2-L_4,J/JL/Lxx-xx-S-2-L_4,VAR_EXTERNAL
J/JL/Lxx-xx-S-2-L_5,J/JL/Lxx-xx-S-2-L_5,VAR_EXTERNAL
J/JL/Lxx-xx-S-2-REQ_1,J/JL/Lxx-xx-S-2-REQ_1,VAR_EXTERNAL
J/JL/Lxx-xx-S-2-REQ_2,J/JL/Lxx-xx-S-2-REQ_2,VAR_EXTERNAL
J/JL/Lxx-xx-S-2-REQ_3,J/JL/Lxx-xx-S-2-REQ_3,VAR_EXTERNAL
J/JL/Lxx-xx-S-2-REQ_4,J/JL/Lxx-xx-S-2-REQ_4,VAR_EXTERNAL
J/JL/Lxx-xx-S-2-REQ_5,J/JL/Lxx-xx-S-2-REQ_5,VAR_EXTERNAL
J/JL/Lxx-xx-T-L_1,J/JL/Lxx-xx-T-L_1,VAR_EXTERNAL
J/JL/Lxx-xx-T-L_2,J/JL/Lxx-xx-T-L_2,VAR_EXTERNAL
J/JL/Lxx-xx-T-L_3,J/JL/Lxx-xx-T-L_3,VAR_EXTERNAL
J/JL/Lxx-xx-T-L_4,J/JL/Lxx-xx-T-L_4,VAR_EXTERNAL
