Name,New Name,Type
vFC 50 TRACK TIMER_5,vFC 50 TRACK TIMER_5,vFC 50 TRACK TIMER_5
vFC 50 TRACK TIMER_5_2,vFC 50 TRACK TIMER_5_2,vFC 50 TRACK TIMER_5
vFC 50 TRACK TIMER_5_4,vFC 50 TRACK TIMER_5_4,vFC 50 TRACK TIMER_5
vFC 50 TRACK TIMER_9,vFC 50 TRACK TIMER_9,vFC 50 TRACK TIMER_5
xx-TP_1-1,xx-TP_1-1,VAR_EXTERNAL
xx-TP_1-2,xx-TP_1-2,VAR_EXTERNAL
xx-TP_1-3,xx-TP_1-3,VAR_EXTERNAL
xx-TP_1-4,xx-TP_1-4,VAR_EXTERNAL
xx-TP_1-5,xx-TP_1-5,VAR_EXTERNAL
xx-TP_1-6,xx-TP_1-6,VAR_EXTERNAL
xx-TP_1-7,xx-TP_1-7,VAR_EXTERNAL
xx-TP_1-8,xx-TP_1-8,VAR_EXTERNAL
xx-TP_1-9,xx-TP_1-9,VAR_EXTERNAL
xx-TP_1-10,xx-TP_1-10,VAR_EXTERNAL
xx-TP_1-11,xx-TP_1-11,VAR_EXTERNAL
xx-TP_1-12,xx-TP_1-12,VAR_EXTERNAL
xx-TP_1-13,xx-TP_1-13,VAR_EXTERNAL
xx-TP_1-14,xx-TP_1-14,VAR_EXTERNAL
xx-TP_1-15,xx-TP_1-15,VAR_EXTERNAL
xx-TP_1-16,xx-TP_1-16,VAR_EXTERNAL
xx-TP_1-17,xx-TP_1-17,VAR_EXTERNAL
xx-TP_1-18,xx-TP_1-18,VAR_EXTERNAL
xx-TP_1-19,xx-TP_1-19,VAR_EXTERNAL
xx-TP_1-20,xx-TP_1-20,VAR_EXTERNAL
xx-TPR-DI_1-1,xx-TPR-DI_1-1,VAR_EXTERNAL
xx-TPR-DI_1-2,xx-TPR-DI_1-2,VAR_EXTERNAL
xx-TPR-DI_1-3,xx-TPR-DI_1-3,VAR_EXTERNAL
xx-TPR-DI_1-4,xx-TPR-DI_1-4,VAR_EXTERNAL
xx-TPR-DI_1-5,xx-TPR-DI_1-5,VAR_EXTERNAL
xx-TPR-DI_1-6,xx-TPR-DI_1-6,VAR_EXTERNAL
xx-TPR-DI_1-7,xx-TPR-DI_1-7,VAR_EXTERNAL
xx-TPR-DI_1-8,xx-TPR-DI_1-8,VAR_EXTERNAL
xx-TPR-DI_1-9,xx-TPR-DI_1-9,VAR_EXTERNAL
xx-TPR-DI_1-10,xx-TPR-DI_1-10,VAR_EXTERNAL
xx-TPR-DI_1-11,xx-TPR-DI_1-11,VAR_EXTERNAL
xx-TPR-DI_1-12,xx-TPR-DI_1-12,VAR_EXTERNAL
xx-TPR-DI_1-13,xx-TPR-DI_1-13,VAR_EXTERNAL
xx-TPR-DI_1-14,xx-TPR-DI_1-14,VAR_EXTERNAL
xx-TPR-DI_1-15,xx-TPR-DI_1-15,VAR_EXTERNAL
xx-TPR-DI_1-16,xx-TPR-DI_1-16,VAR_EXTERNAL
xx-TPR-DI_1-17,xx-TPR-DI_1-17,VAR_EXTERNAL
xx-TPR-DI_1-18,xx-TPR-DI_1-18,VAR_EXTERNAL
xx-TPR-DI_1-19,xx-TPR-DI_1-19,VAR_EXTERNAL
xx-TPR-DI_1-20,xx-TPR-DI_1-20,VAR_EXTERNAL
