Name,New Name,Type
VDR-DI,VDR-DI,VAR_EXTERNAL
Wxx,Wxx,vFC 51 POINT CTRL
Wxx_1,Wxx_1,vFC 51 POINT CTRL
Wxx_2,Wxx_2,vFC 51 POINT CTRL
Wxx_3,Wxx_3,vFC 51 POINT CTRL
Wxx_4,Wxx_4,vFC 51 POINT CTRL
Wxx_5,Wxx_5,vFC 51 POINT CTRL
Wxx_6,Wxx_6,vFC 51 POINT CTRL
Wxx_7,Wxx_7,vFC 51 POINT CTRL
Wxx_8,Wxx_8,vFC 51 POINT CTRL
Wxx_9,Wxx_9,vFC 51 POINT CTRL
Wxx-L_1,Wxx-L_1,VAR_EXTERNAL
Wxx-L_2,Wxx-L_2,VAR_EXTERNAL
Wxx-L_3,Wxx-L_3,VAR_EXTERNAL
Wxx-L_4,Wxx-L_4,VAR_EXTERNAL
Wxx-L_5,Wxx-L_5,VAR_EXTERNAL
Wxx-L_6,Wxx-L_6,VAR_EXTERNAL
Wxx-L_7,Wxx-L_7,VAR_EXTERNAL
Wxx-L_8,Wxx-L_8,VAR_EXTERNAL
Wxx-L_9,Wxx-L_9,VAR_EXTERNAL
Wxx-L_10,Wxx-L_10,VAR_EXTERNAL
Wxx-LS_1,Wxx-LS_1,VAR_EXTERNAL
Wxx-LS_2,Wxx-LS_2,VAR_EXTERNAL
Wxx-LS_3,Wxx-LS_3,VAR_EXTERNAL
Wxx-LS_4,Wxx-LS_4,VAR_EXTERNAL
Wxx-LS_5,Wxx-LS_5,VAR_EXTERNAL
Wxx-LS_6,Wxx-LS_6,VAR_EXTERNAL
Wxx-LS_7,Wxx-LS_7,VAR_EXTERNAL
Wxx-LS_8,Wxx-LS_8,VAR_EXTERNAL
Wxx-LS_9,Wxx-LS_9,VAR_EXTERNAL
Wxx-LS_10,Wxx-LS_10,VAR_EXTERNAL
Wxx-N-REQ_1,Wxx-N-REQ_1,VAR_EXTERNAL
Wxx-N-REQ_2,Wxx-N-REQ_2,VAR_EXTERNAL
Wxx-N-REQ_3,Wxx-N-REQ_3,VAR_EXTERNAL
Wxx-N-REQ_4,Wxx-N-REQ_4,VAR_EXTERNAL
Wxx-N-REQ_5,Wxx-N-REQ_5,VAR_EXTERNAL
Wxx-N-REQ_6,Wxx-N-REQ_6,VAR_EXTERNAL
Wxx-N-REQ_7,Wxx-N-REQ_7,VAR_EXTERNAL
Wxx-N-REQ_8,Wxx-N-REQ_8,VAR_EXTERNAL
Wxx-N-REQ_9,Wxx-N-REQ_9,VAR_EXTERNAL
Wxx-N-REQ_10,Wxx-N-REQ_10,VAR_EXTERNAL
Wxx-NWC_1,Wxx-NWC_1,VAR_EXTERNAL
Wxx-NWC_2,Wxx-NWC_2,VAR_EXTERNAL
Wxx-NWC_3,Wxx-NWC_3,VAR_EXTERNAL
Wxx-NWC_4,Wxx-NWC_4,VAR_EXTERNAL
Wxx-NWC_5,Wxx-NWC_5,VAR_EXTERNAL
Wxx-NWC_6,Wxx-NWC_6,VAR_EXTERNAL
Wxx-NWC_7,Wxx-NWC_7,VAR_EXTERNAL
Wxx-NWC_8,Wxx-NWC_8,VAR_EXTERNAL
Wxx-NWC_9,Wxx-NWC_9,VAR_EXTERNAL
Wxx-NWC_10,Wxx-NWC_10,VAR_EXTERNAL
Wxx-NWP_1,Wxx-NWP_1,VAR_EXTERNAL
Wxx-NWP_2,Wxx-NWP_2,VAR_EXTERNAL
Wxx-NWP_3,Wxx-NWP_3,VAR_EXTERNAL
Wxx-NWP_4,Wxx-NWP_4,VAR_EXTERNAL
Wxx-NWP_5,Wxx-NWP_5,VAR_EXTERNAL
Wxx-NWP_6,Wxx-NWP_6,VAR_EXTERNAL
Wxx-NWP_7,Wxx-NWP_7,VAR_EXTERNAL
Wxx-NWP_8,Wxx-NWP_8,VAR_EXTERNAL
Wxx-NWP_9,Wxx-NWP_9,VAR_EXTERNAL
Wxx-NWP_10,Wxx-NWP_10,VAR_EXTERNAL
Wxx-NWP-DI_1,Wxx-NWP-DI_1,VAR_EXTERNAL
Wxx-NWP-DI_2,Wxx-NWP-DI_2,VAR_EXTERNAL
Wxx-NWP-DI_3,Wxx-NWP-DI_3,VAR_EXTERNAL
Wxx-NWP-DI_4,Wxx-NWP-DI_4,VAR_EXTERNAL
Wxx-NWP-DI_5,Wxx-NWP-DI_5,VAR_EXTERNAL
Wxx-NWP-DI_6,Wxx-NWP-DI_6,VAR_EXTERNAL
Wxx-NWP-DI_7,Wxx-NWP-DI_7,VAR_EXTERNAL
Wxx-NWP-DI_8,Wxx-NWP-DI_8,VAR_EXTERNAL
