Name,New Name,Type
Axx-BLOK-FAIL_1,Axx-BLOK-FAIL_1,VAR_EXTERNAL
Axx-BLOK-FAIL_2,Axx-BLOK-FAIL_2,VAR_EXTERNAL
Axx-BLOK-FAIL_3,Axx-BLOK-FAIL_3,VAR_EXTERNAL
Axx-BLOK-FAIL_4,Axx-BLOK-FAIL_4,VAR_EXTERNAL
Axx-BLOK-FAIL_5,Axx-BLOK-FAIL_5,VAR_EXTERNAL
Axx-E/WFLZR-DI_1,Axx-E/WFLZR-DI_1,VAR_EXTERNAL
Axx-E/WFLZR-DI_2,Axx-E/WFLZR-DI_2,VAR_EXTERNAL
Axx-E/WFLZR-DI_3,Axx-E/WFLZR-DI_3,VAR_EXTERNAL
Axx-E/WFLZR-DI_4,Axx-E/WFLZR-DI_4,VAR_EXTERNAL
Axx-E/WFLZR-DI_5,Axx-E/WFLZR-DI_5,VAR_EXTERNAL
Axx-ECR-DO_1,Axx-ECR-DO_1,VAR_EXTERNAL
Axx-ECR-DO_2,Axx-ECR-DO_2,VAR_EXTERNAL
Axx-ECR-DO_3,Axx-ECR-DO_3,VAR_EXTERNAL
Axx-ECR-DO_4,Axx-ECR-DO_4,VAR_EXTERNAL
Axx-ECR-DO_5,Axx-ECR-DO_5,VAR_EXTERNAL
Axx-ES/WS_1,Axx-ES/WS_1,VAR_EXTERNAL
Axx-ES/WS_2,Axx-ES/WS_2,VAR_EXTERNAL
Axx-ES/WS_3,Axx-ES/WS_3,VAR_EXTERNAL
Axx-ES/WS_4,Axx-ES/WS_4,VAR_EXTERNAL
Axx-ES/WS_5,Axx-ES/WS_5,VAR_EXTERNAL
Axx-RRLS-TE_1,Axx-RRLS-TE_1,VAR_EXTERNAL
Axx-RRLS-TE_2,Axx-RRLS-TE_2,VAR_EXTERNAL
Axx-RRLS-TE_3,Axx-RRLS-TE_3,VAR_EXTERNAL
Axx-RRLS-TE_4,Axx-RRLS-TE_4,VAR_EXTERNAL
Axx-RRLS-TE_5,Axx-RRLS-TE_5,VAR_EXTERNAL
Axx-TBMS_1,Axx-TBMS_1,VAR_EXTERNAL
Axx-TBMS_2,Axx-TBMS_2,VAR_EXTERNAL
Axx-TBMS_3,Axx-TBMS_3,VAR_EXTERNAL
Axx-TBMS_4,Axx-TBMS_4,VAR_EXTERNAL
Axx-TBMS_5,Axx-TBMS_5,VAR_EXTERNAL
Axx-W/EFL-CFR_1,Axx-W/EFL-CFR_1,VAR_EXTERNAL
Axx-W/EFL-CFR_2,Axx-W/EFL-CFR_2,VAR_EXTERNAL
Axx-W/EFL-CFR_3,Axx-W/EFL-CFR_3,VAR_EXTERNAL
Axx-W/EFL-CFR_4,Axx-W/EFL-CFR_4,VAR_EXTERNAL
Axx-W/EFL-CFR_5,Axx-W/EFL-CFR_5,VAR_EXTERNAL
Axx-W/EFLR-DO_1,Axx-W/EFLR-DO_1,VAR_EXTERNAL
Axx-W/EFLR-DO_2,Axx-W/EFLR-DO_2,VAR_EXTERNAL
Axx-W/EFLR-DO_3,Axx-W/EFLR-DO_3,VAR_EXTERNAL
Axx-W/EFLR-DO_4,Axx-W/EFLR-DO_4,VAR_EXTERNAL
Axx-W/EFLR-DO_5,Axx-W/EFLR-DO_5,VAR_EXTERNAL
J/JL/Lxx-ECR_1,J/JL/Lxx-ECR_1,VAR_EXTERNAL
J/JL/Lxx-ECR_2,J/JL/Lxx-ECR_2,VAR_EXTERNAL
J/JL/Lxx-ECR_3,J/JL/Lxx-ECR_3,VAR_EXTERNAL
J/JL/Lxx-ECR_4,J/JL/Lxx-ECR_4,VAR_EXTERNAL
