Name,New Name,Type
J/JL/Lxx-xx-S_1,J/JL/Lxx-xx-S_1,VAR_EXTERNAL
J/JL/Lxx-xx-S_2,J/JL/Lxx-xx-S_2,VAR_EXTERNAL
J/JL/Lxx-xx-S_3,J/JL/Lxx-xx-S_3,VAR_EXTERNAL
J/JL/Lxx-xx-S_4,J/JL/Lxx-xx-S_4,VAR_EXTERNAL
J/JL/Lxx-xx-S_5,J/JL/Lxx-xx-S_5,VAR_EXTERNAL
J/JL/Lxx-xx-S_6,J/JL/Lxx-xx-S_6,VAR_EXTERNAL
J/JL/Lxx-xx-S_7,J/JL/Lxx-xx-S_7,VAR_EXTERNAL
J/JL/Lxx-xx-S_8,J/JL/Lxx-xx-S_8,VAR_EXTERNAL
J/JL/Lxx-xx-S_9,J/JL/Lxx-xx-S_9,VAR_EXTERNAL
J/JL/Lxx-xx-S_10,J/JL/Lxx-xx-S_10,VAR_EXTERNAL
J/JL/Lxx-xx-S-L_1,J/JL/Lxx-xx-S-L_1,VAR_EXTERNAL
J/JL/Lxx-xx-S-L_2,J/JL/Lxx-xx-S-L_2,VAR_EXTERNAL
J/JL/Lxx-xx-S-L_3,J/JL/Lxx-xx-S-L_3,VAR_EXTERNAL
J/JL/Lxx-xx-S-L_4,J/JL/Lxx-xx-S-L_4,VAR_EXTERNAL
J/JL/Lxx-xx-S-L_5,J/JL/Lxx-xx-S-L_5,VAR_EXTERNAL
J/JL/Lxx-xx-S-L_6,J/JL/Lxx-xx-S-L_6,VAR_EXTERNAL
J/JL/Lxx-xx-S-L_7,J/JL/Lxx-xx-S-L_7,VAR_EXTERNAL
J/JL/Lxx-xx-S-L_8,J/JL/Lxx-xx-S-L_8,VAR_EXTERNAL
J/JL/Lxx-xx-S-L_9,J/JL/Lxx-xx-S-L_9,VAR_EXTERNAL
J/JL/Lxx-xx-S-L_10,J/JL/Lxx-xx-S-L_10,VAR_EXTERNAL
J/JL/Lxx-xx-S-REQ_1,J/JL/Lxx-xx-S-REQ_1,VAR_EXTERNAL
J/JL/Lxx-xx-S-REQ_2,J/JL/Lxx-xx-S-REQ_2,VAR_EXTERNAL
J/JL/Lxx-xx-S-REQ_3,J/JL/Lxx-xx-S-REQ_3,VAR_EXTERNAL
J/JL/Lxx-xx-S-REQ_4,J/JL/Lxx-xx-S-REQ_4,VAR_EXTERNAL
J/JL/Lxx-xx-S-REQ_5,J/JL/Lxx-xx-S-REQ_5,VAR_EXTERNAL
J/JL/Lxx-xx-S-REQ_6,J/JL/Lxx-xx-S-REQ_6,VAR_EXTERNAL
J/JL/Lxx-xx-S-REQ_7,J/JL/Lxx-xx-S-REQ_7,VAR_EXTERNAL
J/JL/Lxx-xx-S-REQ_8,J/JL/Lxx-xx-S-REQ_8,VAR_EXTERNAL
J/JL/Lxx-xx-S-REQ_9,J/JL/Lxx-xx-S-REQ_9,VAR_EXTERNAL
J/JL/Lxx-xx-S-REQ_10,J/JL/Lxx-xx-S-REQ_10,VAR_EXTERNAL
JL22A-X20_146,JL22A-X20_146,vFC 55 S ROUTE CHECK
JL22A-X20_147,JL22A-X20_147,vFC 55 S ROUTE CHECK
JL22A-X20_148,JL22A-X20_148,vFC 55 S ROUTE CHECK
JL22A-X20_149,JL22A-X20_149,vFC 55 S ROUTE CHECK
JL22A-X20_150,JL22A-X20_150,vFC 55 S ROUTE CHECK
JL22A-X20_151,JL22A-X20_151,vFC 55 S ROUTE CHECK
JL22A-X20_152,JL22A-X20_152,vFC 55 S ROUTE CHECK
JL22A-X20_153,JL22A-X20_153,vFC 55 S ROUTE CHECK
JL22A-X20_154,JL22A-X20_154,vFC 55 S ROUTE CHECK
JL22A-X20_155,JL22A-X20_155,vFC 55 S ROUTE CHECK
