Name,New Name,Type
J/JL/Lxx-DR-DO_1,J/JL/Lxx-DR-DO_1,VAR_EXTERNAL
J/JL/Lxx-DR-DO_2,J/JL/Lxx-DR-DO_2,VAR_EXTERNAL
J/JL/Lxx-DR-DO_3,J/JL/Lxx-DR-DO_3,VAR_EXTERNAL
J/JL/Lxx-DR-DO_4,J/JL/Lxx-DR-DO_4,VAR_EXTERNAL
J/JL/Lxx-DR-DO_5,J/JL/Lxx-DR-DO_5,VAR_EXTERNAL
J/JL/Lxx-DR-DO_6,J/JL/Lxx-DR-DO_6,VAR_EXTERNAL
J/JL/Lxx-DR-DO_7,J/JL/Lxx-DR-DO_7,VAR_EXTERNAL
J/JL/Lxx-DR-DO_8,J/JL/Lxx-DR-DO_8,VAR_EXTERNAL
J/JL/Lxx-DR-DO_9,J/JL/Lxx-DR-DO_9,VAR_EXTERNAL
J/JL/Lxx-DR-DO_10,J/JL/Lxx-DR-DO_10,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_1,J/JL/Lxx-EC-G-RD_1,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_2,J/JL/Lxx-EC-G-RD_2,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_3,J/JL/Lxx-EC-G-RD_3,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_4,J/JL/Lxx-EC-G-RD_4,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_5,J/JL/Lxx-EC-G-RD_5,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_6,J/JL/Lxx-EC-G-RD_6,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_7,J/JL/Lxx-EC-G-RD_7,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_8,J/JL/Lxx-EC-G-RD_8,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_9,J/JL/Lxx-EC-G-RD_9,VAR_EXTERNAL
J/JL/Lxx-EC-G-RD_10,J/JL/Lxx-EC-G-RD_10,VAR_EXTERNAL
J/JL/Lxx-EC-G-Y-TE_1,J/JL/Lxx-EC-G-Y-TE_1,VAR_EXTERNAL
J/JL/Lxx-EC-G-Y-TE_2,J/JL/Lxx-EC-G-Y-TE_2,VAR_EXTERNAL
J/JL/Lxx-EC-G-Y-TE_3,J/JL/Lxx-EC-G-Y-TE_3,VAR_EXTERNAL
J/JL/Lxx-EC-G-Y-TE_4,J/JL/Lxx-EC-G-Y-TE_4,VAR_EXTERNAL
J/JL/Lxx-EC-G-Y-TE_5,J/JL/Lxx-EC-G-Y-TE_5,VAR_EXTERNAL
J/JL/Lxx-EC-G-Y-TE_6,J/JL/Lxx-EC-G-Y-TE_6,VAR_EXTERNAL
J/JL/Lxx-EC-G-Y-TE_7,J/JL/Lxx-EC-G-Y-TE_7,VAR_EXTERNAL
J/JL/Lxx-EC-G-Y-TE_8,J/JL/Lxx-EC-G-Y-TE_8,VAR_EXTERNAL
J/JL/Lxx-EC-G-Y-TE_9,J/JL/Lxx-EC-G-Y-TE_9,VAR_EXTERNAL
J/JL/Lxx-EC-G-Y-TE_10,J/JL/Lxx-EC-G-Y-TE_10,VAR_EXTERNAL
J/JL/Lxx-ECR_1,J/JL/Lxx-ECR_1,VAR_EXTERNAL
J/JL/Lxx-ECR_2,J/JL/Lxx-ECR_2,VAR_EXTERNAL
J/JL/Lxx-ECR_3,J/JL/Lxx-ECR_3,VAR_EXTERNAL
J/JL/Lxx-ECR_4,J/JL/Lxx-ECR_4,VAR_EXTERNAL
J/JL/Lxx-ECR_5,J/JL/Lxx-ECR_5,VAR_EXTERNAL
J/JL/Lxx-ECR_6,J/JL/Lxx-ECR_6,VAR_EXTERNAL
J/JL/Lxx-ECR_7,J/JL/Lxx-ECR_7,VAR_EXTERNAL
J/JL/Lxx-ECR_8,J/JL/Lxx-ECR_8,VAR_EXTERNAL
J/JL/Lxx-ECR_9,J/JL/Lxx-ECR_9,VAR_EXTERNAL
J/JL/Lxx-ECR_10,J/JL/Lxx-ECR_10,VAR_EXTERNAL
J/JL/Lxx-EC-R-RD_1,J/JL/Lxx-EC-R-RD_1,VAR_EXTERNAL
J/JL/Lxx-EC-R-RD_2,J/JL/Lxx-EC-R-RD_2,VAR_EXTERNAL
J/JL/Lxx-EC-R-RD_3,J/JL/Lxx-EC-R-RD_3,VAR_EXTERNAL
J/JL/Lxx-EC-R-RD_4,J/JL/Lxx-EC-R-RD_4,VAR_EXTERNAL
J/JL/Lxx-EC-R-RD_5,J/JL/Lxx-EC-R-RD_5,VAR_EXTERNAL
J/JL/Lxx-EC-R-RD_6,J/JL/Lxx-EC-R-RD_6,VAR_EXTERNAL
J/JL/Lxx-EC-R-RD_7,J/JL/Lxx-EC-R-RD_7,VAR_EXTERNAL
J/JL/Lxx-EC-R-RD_8,J/JL/Lxx-EC-R-RD_8,VAR_EXTERNAL
J/JL/Lxx-EC-R-RD_9,J/JL/Lxx-EC-R-RD_9,VAR_EXTERNAL
J/JL/Lxx-EC-R-RD_10,J/JL/Lxx-EC-R-RD_10,VAR_EXTERNAL
J/JL/Lxx-EC-Y-RD_1,J/JL/Lxx-EC-Y-RD_1,VAR_EXTERNAL
J/JL/Lxx-EC-Y-RD_2,J/JL/Lxx-EC-Y-RD_2,VAR_EXTERNAL
